,jobname,groupid,error,eta,elapsed,job_runtime,usr_cpu,sys_cpu,ctx,majf,minf,latency_depth,latency_target,latency_percentile,latency_window,job options.name,job options.numjobs,job options.runtime,job options.directory,job options.direct,job options.buffered,job options.rw,job options.unified_rw_reporting,job options.randrepeat,job options.bs,job options.size,job options.ioengine,job options.iodepth,job options.lat_percentiles,mixed.io_bytes,mixed.io_kbytes,mixed.bw_bytes,mixed.bw,mixed.iops,mixed.runtime,mixed.total_ios,mixed.short_ios,mixed.drop_ios,mixed.slat_ns.min,mixed.slat_ns.max,mixed.slat_ns.mean,mixed.slat_ns.stddev,mixed.slat_ns.N,mixed.clat_ns.min,mixed.clat_ns.max,mixed.clat_ns.mean,mixed.clat_ns.stddev,mixed.clat_ns.N,mixed.clat_ns.percentile.1.000000,mixed.clat_ns.percentile.5.000000,mixed.clat_ns.percentile.10.000000,mixed.clat_ns.percentile.20.000000,mixed.clat_ns.percentile.30.000000,mixed.clat_ns.percentile.40.000000,mixed.clat_ns.percentile.50.000000,mixed.clat_ns.percentile.60.000000,mixed.clat_ns.percentile.70.000000,mixed.clat_ns.percentile.80.000000,mixed.clat_ns.percentile.90.000000,mixed.clat_ns.percentile.95.000000,mixed.clat_ns.percentile.99.000000,mixed.clat_ns.percentile.99.500000,mixed.clat_ns.percentile.99.900000,mixed.clat_ns.percentile.99.950000,mixed.clat_ns.percentile.99.990000,mixed.lat_ns.min,mixed.lat_ns.max,mixed.lat_ns.mean,mixed.lat_ns.stddev,mixed.lat_ns.N,mixed.lat_ns.percentile.1.000000,mixed.lat_ns.percentile.5.000000,mixed.lat_ns.percentile.10.000000,mixed.lat_ns.percentile.20.000000,mixed.lat_ns.percentile.30.000000,mixed.lat_ns.percentile.40.000000,mixed.lat_ns.percentile.50.000000,mixed.lat_ns.percentile.60.000000,mixed.lat_ns.percentile.70.000000,mixed.lat_ns.percentile.80.000000,mixed.lat_ns.percentile.90.000000,mixed.lat_ns.percentile.95.000000,mixed.lat_ns.percentile.99.000000,mixed.lat_ns.percentile.99.500000,mixed.lat_ns.percentile.99.900000,mixed.lat_ns.percentile.99.950000,mixed.lat_ns.percentile.99.990000,mixed.bw_min,mixed.bw_max,mixed.bw_agg,mixed.bw_mean,mixed.bw_dev,mixed.bw_samples,mixed.iops_min,mixed.iops_max,mixed.iops_mean,mixed.iops_stddev,mixed.iops_samples,iodepth_level.1,iodepth_level.2,iodepth_level.4,iodepth_level.8,iodepth_level.16,iodepth_level.32,iodepth_level.>=64,iodepth_submit.0,iodepth_submit.4,iodepth_submit.8,iodepth_submit.16,iodepth_submit.32,iodepth_submit.64,iodepth_submit.>=64,iodepth_complete.0,iodepth_complete.4,iodepth_complete.8,iodepth_complete.16,iodepth_complete.32,iodepth_complete.64,iodepth_complete.>=64,latency_ns.2,latency_ns.4,latency_ns.10,latency_ns.20,latency_ns.50,latency_ns.100,latency_ns.250,latency_ns.500,latency_ns.750,latency_ns.1000,latency_us.2,latency_us.4,latency_us.10,latency_us.20,latency_us.50,latency_us.100,latency_us.250,latency_us.500,latency_us.750,latency_us.1000,latency_ms.2,latency_ms.4,latency_ms.10,latency_ms.20,latency_ms.50,latency_ms.100,latency_ms.250,latency_ms.500,latency_ms.750,latency_ms.1000,latency_ms.2000,latency_ms.>=2000,job options.rwmixread,read.io_bytes,read.io_kbytes,read.bw_bytes,read.bw,read.iops,read.runtime,read.total_ios,read.short_ios,read.drop_ios,read.slat_ns.min,read.slat_ns.max,read.slat_ns.mean,read.slat_ns.stddev,read.slat_ns.N,read.clat_ns.min,read.clat_ns.max,read.clat_ns.mean,read.clat_ns.stddev,read.clat_ns.N,read.clat_ns.percentile.1.000000,read.clat_ns.percentile.5.000000,read.clat_ns.percentile.10.000000,read.clat_ns.percentile.20.000000,read.clat_ns.percentile.30.000000,read.clat_ns.percentile.40.000000,read.clat_ns.percentile.50.000000,read.clat_ns.percentile.60.000000,read.clat_ns.percentile.70.000000,read.clat_ns.percentile.80.000000,read.clat_ns.percentile.90.000000,read.clat_ns.percentile.95.000000,read.clat_ns.percentile.99.000000,read.clat_ns.percentile.99.500000,read.clat_ns.percentile.99.900000,read.clat_ns.percentile.99.950000,read.clat_ns.percentile.99.990000,read.lat_ns.min,read.lat_ns.max,read.lat_ns.mean,read.lat_ns.stddev,read.lat_ns.N,read.lat_ns.percentile.1.000000,read.lat_ns.percentile.5.000000,read.lat_ns.percentile.10.000000,read.lat_ns.percentile.20.000000,read.lat_ns.percentile.30.000000,read.lat_ns.percentile.40.000000,read.lat_ns.percentile.50.000000,read.lat_ns.percentile.60.000000,read.lat_ns.percentile.70.000000,read.lat_ns.percentile.80.000000,read.lat_ns.percentile.90.000000,read.lat_ns.percentile.95.000000,read.lat_ns.percentile.99.000000,read.lat_ns.percentile.99.500000,read.lat_ns.percentile.99.900000,read.lat_ns.percentile.99.950000,read.lat_ns.percentile.99.990000,read.bw_min,read.bw_max,read.bw_agg,read.bw_mean,read.bw_dev,read.bw_samples,read.iops_min,read.iops_max,read.iops_mean,read.iops_stddev,read.iops_samples,write.io_bytes,write.io_kbytes,write.bw_bytes,write.bw,write.iops,write.runtime,write.total_ios,write.short_ios,write.drop_ios,write.slat_ns.min,write.slat_ns.max,write.slat_ns.mean,write.slat_ns.stddev,write.slat_ns.N,write.clat_ns.min,write.clat_ns.max,write.clat_ns.mean,write.clat_ns.stddev,write.clat_ns.N,write.lat_ns.min,write.lat_ns.max,write.lat_ns.mean,write.lat_ns.stddev,write.lat_ns.N,write.bw_min,write.bw_max,write.bw_agg,write.bw_mean,write.bw_dev,write.bw_samples,write.iops_min,write.iops_max,write.iops_mean,write.iops_stddev,write.iops_samples,trim.io_bytes,trim.io_kbytes,trim.bw_bytes,trim.bw,trim.iops,trim.runtime,trim.total_ios,trim.short_ios,trim.drop_ios,trim.slat_ns.min,trim.slat_ns.max,trim.slat_ns.mean,trim.slat_ns.stddev,trim.slat_ns.N,trim.clat_ns.min,trim.clat_ns.max,trim.clat_ns.mean,trim.clat_ns.stddev,trim.clat_ns.N,trim.lat_ns.min,trim.lat_ns.max,trim.lat_ns.mean,trim.lat_ns.stddev,trim.lat_ns.N,trim.bw_min,trim.bw_max,trim.bw_agg,trim.bw_mean,trim.bw_dev,trim.bw_samples,trim.iops_min,trim.iops_max,trim.iops_mean,trim.iops_stddev,trim.iops_samples,sync.total_ios,sync.lat_ns.min,sync.lat_ns.max,sync.lat_ns.mean,sync.lat_ns.stddev,sync.lat_ns.N,write.clat_ns.percentile.1.000000,write.clat_ns.percentile.5.000000,write.clat_ns.percentile.10.000000,write.clat_ns.percentile.20.000000,write.clat_ns.percentile.30.000000,write.clat_ns.percentile.40.000000,write.clat_ns.percentile.50.000000,write.clat_ns.percentile.60.000000,write.clat_ns.percentile.70.000000,write.clat_ns.percentile.80.000000,write.clat_ns.percentile.90.000000,write.clat_ns.percentile.95.000000,write.clat_ns.percentile.99.000000,write.clat_ns.percentile.99.500000,write.clat_ns.percentile.99.900000,write.clat_ns.percentile.99.950000,write.clat_ns.percentile.99.990000,write.lat_ns.percentile.1.000000,write.lat_ns.percentile.5.000000,write.lat_ns.percentile.10.000000,write.lat_ns.percentile.20.000000,write.lat_ns.percentile.30.000000,write.lat_ns.percentile.40.000000,write.lat_ns.percentile.50.000000,write.lat_ns.percentile.60.000000,write.lat_ns.percentile.70.000000,write.lat_ns.percentile.80.000000,write.lat_ns.percentile.90.000000,write.lat_ns.percentile.95.000000,write.lat_ns.percentile.99.000000,write.lat_ns.percentile.99.500000,write.lat_ns.percentile.99.900000,write.lat_ns.percentile.99.950000,write.lat_ns.percentile.99.990000
0,SeqBal-1M-64-128,0.0,0.0,0.0,61.0,3840202.0,0.540571,0.081688,179766.0,0.0,1246.0,128.0,0.0,100.0,0.0,SeqBal-1M-64-128,64,60,/tmp/e2sar/rgeorge-fio_test-p3s_SeqBal-1M-64-128,1,0,rw,1,0,1M,128M,pvsync,128,1,187708735488.0,183309312.0,3127749116.0,3054442.0,2982.854001,60014.0,179013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629980.0,829317228.0,21319269.793886,44152016.186869,179013.0,3162112.0,6258688.0,9240576.0,12386304.0,14221312.0,15138816.0,16056320.0,16711680.0,17432576.0,18481152.0,20054016.0,30015488.0,217055232.0,438304768.0,574619648.0,599785472.0,675282944.0,630269.0,829317288.0,21319376.469832,44152023.533959,179013.0,3162112.0,6258688.0,9240576.0,12386304.0,14221312.0,15138816.0,16056320.0,16711680.0,17432576.0,18481152.0,20054016.0,30015488.0,217055232.0,438304768.0,574619648.0,599785472.0,675282944.0,265746.0,7670946.0,100.0,3129289.564618,11638.383129,14840.0,162.0,7455.0,3031.126353,11.39603,14840.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010614,0.021786,0.273165,1.66189,9.970784,78.225045,6.228039,1.898745,0.772011,0.74017,0.196634,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SeqRH-4K-32-1,0.0,0.0,0.0,61.0,1920002.0,0.275677,0.8192699999999999,2969368.0,0.0,707.0,1.0,0.0,100.0,0.0,SeqRH-4K-32-1,32,60,/tmp/e2sar/rgeorge-fio_test-p2s_SeqRH-4K-32-1,1,0,rw,1,0,4K,128M,pvsync,1,1,12161515520.0,11876480.0,202685169.0,197934.0,49483.683877,60002.0,2969120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124650.0,293686652.0,645109.86565,1485154.703418,2969120.0,272384.0,432128.0,497664.0,552960.0,585728.0,610304.0,626688.0,643072.0,659456.0,675840.0,700416.0,724992.0,954368.0,1138688.0,7831552.0,14876672.0,80216064.0,124678.0,293686695.0,645163.707979,1485154.620628,2969120.0,272384.0,432128.0,497664.0,552960.0,585728.0,610304.0,626688.0,643072.0,659456.0,675840.0,700416.0,724992.0,954368.0,1138688.0,7831552.0,14876672.0,80216064.0,94944.0,278384.0,100.0,198190.87395,376.58252,7616.0,23736.0,69596.0,49547.714286,94.145617,7616.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6825589999999999,9.658485,86.697102,2.101666,0.6527189999999999,0.044490999999999996,0.089656,0.041527,0.015189999999999999,0.011451,0.01,0.01,0.0,0.0,0.0,0.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SeqBal-1M-64-4,0.0,0.0,0.0,61.0,3840529.0,0.6430359999999999,0.070042,217743.0,0.0,1053.0,4.0,0.0,100.0,0.0,SeqBal-1M-64-4,64,60,/tmp/e2sar/rgeorge-fio_test-m_SeqBal-1M-64-4,1,0,rw,1,0,1M,128M,pvsync,4,1,227767484416.0,222429184.0,3794923014.0,3705979.0,3619.120612,60019.0,217216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691569.0,251654745.0,17528291.940106,4398831.368832,217216.0,11468800.0,13828096.0,14614528.0,15663104.0,16318464.0,16908288.0,17432576.0,17956864.0,18481152.0,19267584.0,20054016.0,20840448.0,22675456.0,23724032.0,91750400.0,96993280.0,108527616.0,691598.0,251654768.0,17528383.324018,4398828.766331,217216.0,11468800.0,13828096.0,14614528.0,15663104.0,16318464.0,16908288.0,17432576.0,17956864.0,18481152.0,19267584.0,20054016.0,20840448.0,22675456.0,23724032.0,91750400.0,96993280.0,108527616.0,1816576.0,5933056.0,100.0,3708376.411765,5781.685972,15232.0,1774.0,5794.0,3621.445378,5.646266,15232.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.067214,0.068135,0.407429,88.662898,10.492321,0.26056999999999997,0.033607,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,0.0,0.0,0.0,61.0,1920004.0,0.374322,0.9029149999999999,3062608.0,0.0,642.0,4.0,0.0,100.0,0.0,15,32,60,/tmp/e2sar/rgeorge-fio_test-m_15,1,0,rw,1,0,4K,128M,pvsync,4,1,12543488000.0,12249500.0,209051164.0,204151.0,51037.882071,60002.0,3062375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117131.0,282289974.0,624945.286531,1794794.795641,3062375.0,193536.0,284672.0,366592.0,460800.0,501760.0,528384.0,561152.0,585728.0,610304.0,634880.0,675840.0,724992.0,1073152.0,1171456.0,34865152.0,46399488.0,63700992.0,117164.0,282290012.0,625017.006331,1794794.408774,3062375.0,193536.0,284672.0,366592.0,460800.0,501760.0,528384.0,561152.0,585728.0,610304.0,634880.0,675840.0,724992.0,1073152.0,1171456.0,34865152.0,46399488.0,63700992.0,138448.0,253440.0,100.0,204397.277311,315.352994,7616.0,34612.0,63362.0,51099.310924,78.838887,7616.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.256459,26.180758,66.49202,2.514388,1.2835459999999999,0.020277999999999997,0.037193,0.049340999999999996,0.129409,0.03605,0.01,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SeqRH-16K-32-8,0.0,0.0,0.0,62.0,1920058.0,0.35675999999999997,0.925545,2909805.0,0.0,634.0,8.0,0.0,100.0,0.0,SeqRH-16K-32-8,32,60,/tmp/e2sar/rgeorge-fio_test-p2s_SeqRH-16K-32-8,1,0,rw,1,0,16K,128M,pvsync,8,1,47670394880.0,46553120.0,793977263.0,775368.0,48460.526316,60040.0,2909570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124806.0,563108198.0,657794.94194,1992573.27047,2909570.0,228352.0,342016.0,419840.0,501760.0,552960.0,585728.0,610304.0,634880.0,651264.0,675840.0,724992.0,823296.0,1089536.0,1171456.0,15400960.0,38535168.0,87556096.0,124835.0,563108240.0,657856.159727,1992572.93578,2909570.0,228352.0,342016.0,419840.0,501760.0,552960.0,585728.0,610304.0,634880.0,651264.0,675840.0,724992.0,823296.0,1089536.0,1171456.0,15400960.0,38535168.0,87556096.0,331936.0,1008288.0,100.0,777876.214784,1787.17487,7615.0,20746.0,63018.0,48617.234012,111.698446,7615.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.610307,18.039126,73.024502,4.939115,2.103507,0.056538,0.0973,0.045196,0.047979999999999995,0.031585,0.01,0.01,0.01,0.0,0.0,0.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SeqRH-4M-16-64,0.0,0.0,0.0,61.0,960081.0,0.749833,0.232585,192514.0,0.0,277.0,64.0,0.0,100.0,0.0,SeqRH-4M-16-64,16,60,/tmp/e2sar/rgeorge-fio_test-p1s_SeqRH-4M-16-64,1,0,rw,1,0,4M,128M,pvsync,64,1,201746022400.0,197017600.0,3361593308.0,3282805.0,801.4663,60015.0,48100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415110.0,396726110.0,19807069.538732,16569467.900928,48100.0,5865472.0,13697024.0,15007744.0,16187392.0,16908288.0,17694720.0,18219008.0,18743296.0,19267584.0,19791872.0,20578304.0,21626880.0,91750400.0,145752064.0,261095424.0,287309824.0,341835776.0,2415183.0,396726242.0,19807152.098753,16569482.738402,48100.0,5865472.0,13697024.0,15007744.0,16187392.0,16908288.0,17694720.0,18219008.0,18743296.0,19267584.0,19791872.0,20578304.0,21626880.0,91750400.0,145752064.0,261095424.0,287309824.0,341835776.0,441465.0,5347968.0,100.0,3296968.136775,32671.542054,3765.0,76.0,1300.0,790.544455,8.072351,3765.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424116,1.303534,80.929314,15.453222,1.0,0.777547,0.11226599999999999,0.0,0.0,0.0,0.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RandBal-4K-128-1,0.0,0.0,0.0,63.0,7680758.0,0.08279099999999999,0.20332599999999998,2615251.0,0.0,2621.0,1.0,0.0,100.0,0.0,RandBal-4K-128-1,128,60,/tmp/e2sar/rgeorge-fio_test-p4r_RandBal-4K-128-1,1,0,randrw,1,0,4K,128M,pvsync,1,1,10707562496.0,10456604.0,178266253.0,174088.0,43522.034463,60065.0,2614151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173859.0,774751053.0,2878783.647137,11634078.454648,2614151.0,749568.0,1400832.0,1531904.0,1695744.0,1826816.0,1941504.0,2056192.0,2146304.0,2277376.0,2441216.0,2670592.0,3555328.0,16187392.0,36962304.0,183500800.0,325058560.0,450887680.0,173895.0,774751178.0,2878864.858833,11634078.649689,2614151.0,749568.0,1400832.0,1531904.0,1695744.0,1826816.0,1941504.0,2056192.0,2146304.0,2277376.0,2441216.0,2670592.0,3555328.0,16187392.0,36962304.0,183500800.0,325058560.0,450887680.0,9776.0,422848.0,100.0,177210.759117,304.753997,29955.0,2444.0,105712.0,44302.689779,76.188568,29955.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074441,0.484938,0.435476,0.48191599999999996,43.682021,50.665206,2.692117,0.633514,0.5054029999999999,0.219804,0.03657,0.086835,0.01,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RandBal-4K-64-1,0.0,0.0,0.0,61.0,3840015.0,0.16330699999999998,0.36830599999999997,2510146.0,0.0,1310.0,1.0,0.0,100.0,0.0,RandBal-4K-64-1,64,60,/tmp/e2sar/rgeorge-fio_test-p3r_RandBal-4K-64-1,1,0,randrw,1,0,4K,128M,pvsync,1,1,10279661568.0,10038732.0,171319126.0,167303.0,41825.958702,60003.0,2509683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143546.0,720391578.0,1523000.192585,10978663.813537,2509683.0,238592.0,276480.0,329728.0,651264.0,839680.0,954368.0,1044480.0,1122304.0,1204224.0,1286144.0,1433600.0,1613824.0,4554752.0,19791872.0,115867648.0,329252864.0,450887680.0,143594.0,720391611.0,1523076.045324,10978663.396776,2509683.0,238592.0,276480.0,329728.0,651264.0,839680.0,954368.0,1044480.0,1122304.0,1204224.0,1286144.0,1433600.0,1613824.0,4554752.0,19791872.0,115867648.0,329252864.0,450887680.0,4592.0,327720.0,100.0,167564.58051,559.556771,15200.0,1148.0,81930.0,41891.119917,139.889569,15200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067711,14.39644,7.604466,20.558413,54.066868,0.261667,0.320957,0.225128,0.270034,0.123362,0.024145999999999997,0.078576,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SeqBal-4M-32-1,0.0,0.0,0.0,61.0,1920460.0,1.444602,0.27092499999999997,232276.0,0.0,554.0,1.0,0.0,100.0,0.0,SeqBal-4M-32-1,32,60,/tmp/e2sar/rgeorge-fio_test-p2s_SeqBal-4M-32-1,1,0,rw,1,0,4M,128M,pvsync,1,1,243257049088.0,237555712.0,4052393034.0,3957415.0,966.165789,60028.0,57997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160676.0,658579764.0,32595175.988258,19226630.028424,57997.0,17956864.0,22937600.0,24772608.0,26869760.0,28442624.0,29491200.0,30801920.0,31850496.0,32899072.0,34340864.0,36438016.0,39059456.0,109576192.0,166723584.0,299892736.0,329252864.0,446693376.0,3160753.0,658580126.0,32595352.68207,19226635.379775,57997.0,17956864.0,22937600.0,24772608.0,26869760.0,28442624.0,29491200.0,30801920.0,31850496.0,32899072.0,34340864.0,36438016.0,39059456.0,109576192.0,166723584.0,299892736.0,329252864.0,446693376.0,679851.0,6969378.0,100.0,3973149.940176,19379.247103,7596.0,161.0,1693.0,963.572866,4.736413,7596.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.241392,1.506974,96.079108,1.062124,0.867286,0.231046,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SeqWH-4K-16-128,0.0,0.0,0.0,61.0,960013.0,0.978945,1.7776839999999998,4140296.0,0.0,323.0,128.0,0.0,100.0,0.0,SeqWH-4K-16-128,16,60,/tmp/e2sar/rgeorge-fio_test-p1s_SeqWH-4K-16-128,1,0,rw,1,0,4K,128M,pvsync,128,1,16958169088.0,16560712.0,282570218.0,275947.0,68986.86973,60014.0,4140178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111440.0,283169223.0,230385.991701,964059.424726,4140178.0,136192.0,154624.0,164864.0,179200.0,187392.0,195584.0,203776.0,211968.0,224256.0,250880.0,301056.0,325632.0,407552.0,456704.0,1957888.0,3751936.0,25821184.0,111471.0,283169299.0,230435.056654,964059.492544,4140178.0,136192.0,154624.0,164864.0,179200.0,187392.0,195584.0,203776.0,211968.0,224256.0,250880.0,301056.0,325632.0,407552.0,456704.0,1957888.0,3751936.0,25821184.0,82248.0,313256.0,100.0,276303.87395,1372.249018,3808.0,20562.0,78314.0,69075.932773,343.061205,3808.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.860093,19.876875,0.132361,0.01,0.031375,0.042148,0.025457999999999998,0.010483,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
