,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,description,rw-cat,rw_full,bs,bs_num,nj,read_bw_mean_gb,write_bw_mean_gb
4,3,fio-3.23,SeqR-2M-16-taskset-cpu-args,0.0,0.0,2097152.0,3994575.0,1950.0,525.0,0.0,0.0,0.0,0.0,3479.0,17221.0,7858.610778,1752.027769,1.000000%=5668,5.000000%=6127,10.000000%=6389,20.000000%=6651,30.000000%=6914,40.000000%=7110,50.000000%=7307,60.000000%=7569,70.000000%=7962,80.000000%=8978,90.000000%=9895,95.000000%=11599,99.000000%=14614,99.500000%=15269,99.900000%=15663,99.950000%=17170,99.990000%=17170,0%=0,0%=0,0%=0,3479.0,17221.0,7858.650586,1752.040509,3936256.0,3936256.0,98.540045%,3936256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.215543%,0.167645%,2134.0,0.0,183.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,90.82%,8.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-2M-16,SeqR,Sequential Read-only,2M,2097152,16,3.75390625,0.0
9,3,fio-3.23,SeqRH-2M-16-taskset-cpu-args,0.0,0.0,1662976.0,3267143.0,1595.0,509.0,0.0,0.0,0.0,0.0,1014.0,32518.0,6815.805286,2412.131833,1.000000%=1581,5.000000%=3194,10.000000%=4554,20.000000%=5799,30.000000%=6127,40.000000%=6455,50.000000%=6914,60.000000%=7307,70.000000%=7569,80.000000%=7897,90.000000%=8355,95.000000%=8716,99.000000%=15400,99.500000%=25034,99.900000%=32636,99.950000%=32636,99.990000%=32636,0%=0,0%=0,0%=0,1014.0,32518.0,6815.86153,2412.126541,0.0,0.0,0.000000%,0.0,0.0,434176.0,852998.0,416.0,509.0,0.0,0.0,0.0,0.0,2164.0,25309.0,6283.511854,2085.374426,1.000000%=2277,5.000000%=3653,10.000000%=4554,20.000000%=5144,30.000000%=5537,40.000000%=5865,50.000000%=6193,60.000000%=6520,70.000000%=6914,80.000000%=7438,90.000000%=7962,95.000000%=8454,99.000000%=9109,99.500000%=18743,99.900000%=25296,99.950000%=25296,99.990000%=25296,0%=0,0%=0,0%=0,2164.0,25309.0,6283.627113,2085.37188,0.0,0.0,0.000000%,0.0,0.0,0.619112%,0.632571%,2180.0,0.0,186.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.86%,5.57%,91.02%,0.98%,0.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqRH-2M-16,SeqRH,Sequential Read-heavy 4:1,2M,2097152,16,0.0,0.0
14,3,fio-3.23,SeqBal-2M-16-taskset-cpu-args,0.0,0.0,1034240.0,2168218.0,1058.0,477.0,0.0,0.0,0.0,0.0,1527.0,47015.0,7038.105776,3630.346212,1.000000%=1794,5.000000%=2342,10.000000%=3096,20.000000%=5144,30.000000%=5996,40.000000%=6455,50.000000%=6914,60.000000%=7438,70.000000%=7962,80.000000%=8585,90.000000%=9240,95.000000%=10420,99.000000%=20054,99.500000%=28442,99.900000%=46923,99.950000%=46923,99.990000%=46923,0%=0,0%=0,0%=0,1527.0,47015.0,7038.165552,3630.341063,0.0,0.0,0.000000%,0.0,0.0,1062912.0,2228327.0,1088.0,477.0,0.0,0.0,0.0,0.0,1941.0,22546.0,5438.221374,1998.141219,1.000000%=2211,5.000000%=2572,10.000000%=2834,20.000000%=3522,30.000000%=4358,40.000000%=4947,50.000000%=5472,60.000000%=5996,70.000000%=6389,80.000000%=7045,90.000000%=7700,95.000000%=8355,99.000000%=9895,99.500000%=10682,99.900000%=22675,99.950000%=22675,99.990000%=22675,0%=0,0%=0,0%=0,1941.0,22546.0,5438.358056,1998.117629,0.0,0.0,0.000000%,0.0,0.0,2.969055%,0.390298%,2174.0,0.0,189.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.17%,19.34%,75.98%,2.83%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-2M-16,SeqBal,Sequential Balanced 1:1,2M,2097152,16,0.0,0.0
19,3,fio-3.23,SeqWH-2M-16-taskset-cpu-args,0.0,0.0,423936.0,1547211.0,755.0,274.0,0.0,0.0,0.0,0.0,1256.0,24627.0,3814.774643,3391.396477,1.000000%=1286,5.000000%=1515,10.000000%=1679,20.000000%=1957,30.000000%=2146,40.000000%=2408,50.000000%=2703,60.000000%=2965,70.000000%=3227,80.000000%=4292,90.000000%=7962,95.000000%=11730,99.000000%=16187,99.500000%=16449,99.900000%=24510,99.950000%=24510,99.990000%=24510,0%=0,0%=0,0%=0,1256.0,24627.0,3814.853464,3391.396485,0.0,0.0,0.000000%,0.0,0.0,1673216.0,6106627.0,2981.0,274.0,0.0,0.0,0.0,0.0,1751.0,16497.0,2764.564761,1324.664558,1.000000%=1843,5.000000%=1957,10.000000%=2056,20.000000%=2211,30.000000%=2310,40.000000%=2408,50.000000%=2539,60.000000%=2670,70.000000%=2867,80.000000%=3063,90.000000%=3358,95.000000%=3653,99.000000%=11468,99.500000%=14090,99.900000%=16449,99.950000%=16449,99.990000%=16449,0%=0,0%=0,0%=0,1751.0,16497.0,2764.725033,1324.67085,0.0,0.0,0.000000%,0.0,0.0,6.042684%,1.851376%,2199.0,0.0,197.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.77%,83.69%,4.39%,2.05%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqWH-2M-16,SeqWH,Sequential Write-heavy 1:4,2M,2097152,16,0.0,0.0
24,3,fio-3.23,SeqW-2M-16-taskset-cpu-args,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,2097152.0,7796104.0,3806.0,269.0,0.0,0.0,0.0,0.0,1778.0,12959.0,2799.768094,721.395959,1.000000%=1957,5.000000%=2146,10.000000%=2244,20.000000%=2375,30.000000%=2506,40.000000%=2572,50.000000%=2670,60.000000%=2768,70.000000%=2899,80.000000%=3063,90.000000%=3391,95.000000%=3883,99.000000%=4751,99.500000%=5603,99.900000%=12779,99.950000%=12910,99.990000%=12910,0%=0,0%=0,0%=0,1778.0,12959.0,2799.912222,721.405772,0.0,0.0,0.000000%,0.0,0.0,8.604353%,1.357234%,2168.0,0.0,141.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.66%,94.82%,3.32%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqW-2M-16,SeqW,Sequential Write-only,2M,2097152,16,0.0,0.0
29,3,fio-3.23,RandR-2M-16-taskset-cpu-args,0.0,0.0,2097152.0,3705215.0,1809.0,566.0,0.0,0.0,0.0,0.0,2032.0,16714.0,8511.803453,1635.28178,1.000000%=6389,5.000000%=6782,10.000000%=7176,20.000000%=7503,30.000000%=7634,40.000000%=7831,50.000000%=7962,60.000000%=8290,70.000000%=8716,80.000000%=9109,90.000000%=10944,95.000000%=12255,99.000000%=14876,99.500000%=15400,99.900000%=16056,99.950000%=16711,99.990000%=16711,0%=0,0%=0,0%=0,2032.0,16714.0,8511.842802,1635.293999,3604480.0,3604480.0,97.281264%,3604480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.199822%,0.155417%,2133.0,0.0,159.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,87.70%,12.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-2M-16,RandR,Random Read-only,2M,2097152,16,3.4375,0.0
34,3,fio-3.23,RandRH-2M-16-taskset-cpu-args,0.0,0.0,1695744.0,2371669.0,1158.0,715.0,0.0,0.0,0.0,0.0,1478.0,17833.0,10329.492277,2925.749169,1.000000%=1875,5.000000%=5144,10.000000%=6848,20.000000%=8585,30.000000%=9371,40.000000%=9895,50.000000%=10420,60.000000%=10944,70.000000%=11337,80.000000%=12255,90.000000%=13828,95.000000%=15663,99.000000%=17694,99.500000%=17694,99.900000%=17956,99.950000%=17956,99.990000%=17956,0%=0,0%=0,0%=0,1478.0,17833.0,10329.536081,2925.744521,2215649.0,2215649.0,93.421510%,2215649.0,0.0,401408.0,561409.0,274.0,715.0,0.0,0.0,0.0,0.0,1908.0,14343.0,8218.508337,2168.934673,1.000000%=1974,5.000000%=3489,10.000000%=5734,20.000000%=6651,30.000000%=7372,40.000000%=7962,50.000000%=8224,60.000000%=8847,70.000000%=9371,80.000000%=9895,90.000000%=10813,95.000000%=11337,99.000000%=12517,99.500000%=14352,99.900000%=14352,99.950000%=14352,99.990000%=14352,0%=0,0%=0,0%=0,1908.0,14343.0,8218.648781,2168.872972,470982.0,470982.0,83.892848%,470982.0,0.0,0.662793%,0.453968%,2176.0,0.0,157.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.27%,3.03%,45.51%,50.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandRH-2M-16,RandRH,Random Read-heavy 4:1,2M,2097152,16,2.1130075454711914,0.44916343688964844
39,3,fio-3.23,RandBal-2M-16-taskset-cpu-args,0.0,0.0,999424.0,2346065.0,1145.0,426.0,0.0,0.0,0.0,0.0,1319.0,24009.0,4696.129645,2451.01538,1.000000%=1482,5.000000%=1810,10.000000%=1941,20.000000%=2310,30.000000%=2932,40.000000%=3784,50.000000%=4554,60.000000%=5144,70.000000%=5865,80.000000%=6455,90.000000%=7307,95.000000%=9502,99.000000%=10813,99.500000%=12255,99.900000%=23986,99.950000%=23986,99.990000%=23986,0%=0,0%=0,0%=0,1319.0,24009.0,4696.189549,2451.016305,0.0,0.0,0.000000%,0.0,0.0,1097728.0,2576826.0,1258.0,426.0,0.0,0.0,0.0,0.0,1866.0,16187.0,3912.726138,1577.349816,1.000000%=1990,5.000000%=2179,10.000000%=2310,20.000000%=2637,30.000000%=2834,40.000000%=3063,50.000000%=3489,60.000000%=3948,70.000000%=4620,80.000000%=5275,90.000000%=5931,95.000000%=6520,99.000000%=7897,99.500000%=9895,99.900000%=16187,99.950000%=16187,99.990000%=16187,0%=0,0%=0,0%=0,1866.0,16187.0,3912.859646,1577.340538,0.0,0.0,0.000000%,0.0,0.0,3.080529%,0.719906%,2166.0,0.0,164.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,45.80%,46.19%,1.66%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandBal-2M-16,RandBal,Random Balanced 1:1,2M,2097152,16,0.0,0.0
44,3,fio-3.23,RandWH-2M-16-taskset-cpu-args,0.0,0.0,411648.0,1419475.0,693.0,290.0,0.0,0.0,0.0,0.0,1507.0,20244.0,3755.322179,2060.532833,1.000000%=1695,5.000000%=1908,10.000000%=2113,20.000000%=2342,30.000000%=2768,40.000000%=3096,50.000000%=3358,60.000000%=3817,70.000000%=4358,80.000000%=4751,90.000000%=5341,95.000000%=5865,99.000000%=7831,99.500000%=19791,99.900000%=20316,99.950000%=20316,99.990000%=20316,0%=0,0%=0,0%=0,1507.0,20244.0,3755.408502,2060.532711,0.0,0.0,0.000000%,0.0,0.0,1685504.0,5812082.0,2837.0,290.0,0.0,0.0,0.0,0.0,1798.0,18963.0,3392.712846,2114.63765,1.000000%=1925,5.000000%=2113,10.000000%=2244,20.000000%=2473,30.000000%=2670,40.000000%=2834,50.000000%=3031,60.000000%=3260,70.000000%=3457,80.000000%=3784,90.000000%=4177,95.000000%=5079,99.000000%=18219,99.500000%=18481,99.900000%=19005,99.950000%=19005,99.990000%=19005,0%=0,0%=0,0%=0,1798.0,18963.0,3392.85268,2114.638754,0.0,0.0,0.000000%,0.0,0.0,7.468412%,0.631769%,2195.0,0.0,170.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.52%,77.44%,17.48%,1.46%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandWH-2M-16,RandWH,Random Write-heavy 1:4,2M,2097152,16,0.0,0.0
49,3,fio-3.23,RandW-2M-16-taskset-cpu-args,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,2097152.0,8774694.0,4284.0,239.0,0.0,0.0,0.0,0.0,1705.0,5649.0,2678.6376,570.320826,1.000000%=1892,5.000000%=2023,10.000000%=2113,20.000000%=2244,30.000000%=2375,40.000000%=2473,50.000000%=2572,60.000000%=2670,70.000000%=2801,80.000000%=2965,90.000000%=3391,95.000000%=3850,99.000000%=4751,99.500000%=5144,99.900000%=5537,99.950000%=5668,99.990000%=5668,0%=0,0%=0,0%=0,1705.0,5649.0,2678.787016,570.340835,0.0,0.0,0.000000%,0.0,0.0,9.560652%,1.547389%,2174.0,0.0,133.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.32%,92.77%,3.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandW-2M-16,RandW,Random Write-only,2M,2097152,16,0.0,0.0
