runtime: 159.020751 rate: 1216.602228
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 16, 42359, 43123, 98, 770, 52, 10, 20.261s, 5
1, 0, 0, 82, 430, 0, 75, 30, 126, 460, 140.391s, 5
2, 0, 0, 81, 12562, 12528, 153, 343, 112, 378, 95.187s, 5
3, 0, 0, 87, 723, 0, 92, 109, 122, 832, 125.032s, 5
4, 0, 0, 65, 509, 0, 83, 10, 131, 519, 136.965s, 5
5, 0, 0, 91, 624, 0, 85, 23, 124, 647, 135.078s, 5
6, 0, 0, 78, 24708, 25056, 82, 637, 124, 291, 71.716s, 5
7, 0, 0, 21, 36771, 37596, 144, 930, 78, 109, 34.489s, 5
8, 0, 0, 57, 24620, 25069, 115, 678, 121, 233, 67.918s, 5
9, 0, 0, 122, 644, 0, 169, 201, 123, 845, 118.869s, 5
10, 0, 0, 80, 654, 0, 89, 55, 132, 709, 131.606s, 5
11, 0, 0, 0, 48861, 50112, 105, 1253, 45, 6, 0.024s, 4
