access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.3321033409e+03,2.3320745931e+03,1.2384968288e+08,1.2385120959e+08
read,1,2.3321036150e+03,2.3320745969e+03,1.2384966832e+08,1.2385120939e+08
read,2,2.3321036060e+03,2.3320746238e+03,1.2384966880e+08,1.2385120795e+08
read,3,2.3321033349e+03,2.3320745919e+03,1.2384968319e+08,1.2385120965e+08
read,4,2.3321033530e+03,2.3320745959e+03,1.2384968223e+08,1.2385120944e+08
read,5,2.3321036119e+03,2.3320746300e+03,1.2384966848e+08,1.2385120763e+08
read,6,2.3321035471e+03,2.3320745940e+03,1.2384967192e+08,1.2385120954e+08
read,7,2.3321035540e+03,2.3320745950e+03,1.2384967156e+08,1.2385120949e+08
read,8,2.3321033449e+03,2.3320746000e+03,1.2384968266e+08,1.2385120922e+08
read,9,2.3321035509e+03,2.3320745850e+03,1.2384967172e+08,1.2385121002e+08
read,10,2.3321033490e+03,2.3320745900e+03,1.2384968245e+08,1.2385120975e+08
read,11,2.3321035519e+03,2.3320746050e+03,1.2384967167e+08,1.2385120895e+08
