access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0837436700e+02,3.0475817394e+02,6.2650531262e+06,6.3393928603e+06
write,1,3.0837410283e+02,3.0780447698e+02,6.2650584931e+06,6.2766526692e+06
write,2,3.0837436295e+02,3.0714187121e+02,6.2650532085e+06,6.2901934678e+06
write,3,3.0837436795e+02,3.0766061306e+02,6.2650531068e+06,6.2795876690e+06
write,4,3.0837411094e+02,3.0830127811e+02,6.2650583284e+06,6.2665383803e+06
write,5,3.0837437320e+02,3.0800584507e+02,6.2650530002e+06,6.2725491185e+06
write,6,3.0837435317e+02,3.0759440207e+02,6.2650534071e+06,6.2809393766e+06
write,7,3.0837434483e+02,3.0083483601e+02,6.2650535767e+06,6.4220680612e+06
write,8,3.0837435198e+02,3.0789259815e+02,6.2650534313e+06,6.2748562440e+06
write,9,3.0837435794e+02,3.0001594400e+02,6.2650533102e+06,6.4395970635e+06
write,10,3.0837434912e+02,3.0791010308e+02,6.2650534895e+06,6.2744995135e+06
write,11,3.0837436104e+02,3.0776366806e+02,6.2650532473e+06,6.2774849422e+06
