access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0574782181e+02,3.0134804988e+02,9.2870714439e+08,9.4226654730e+08
write,1,3.0574781609e+02,3.0307002497e+02,9.2870716178e+08,9.3691280267e+08
write,2,3.0574776101e+02,3.0000258183e+02,9.2870732906e+08,9.4649247603e+08
write,3,3.0574783397e+02,3.0137837410e+02,9.2870710746e+08,9.4217173792e+08
write,4,3.0574782395e+02,3.0221553898e+02,9.2870713788e+08,9.3956183542e+08
write,5,3.0574781609e+02,3.0309908009e+02,9.2870716178e+08,9.3682299008e+08
write,6,3.0574783015e+02,3.0147119212e+02,9.2870711905e+08,9.4188165873e+08
write,7,3.0574782491e+02,3.0236532187e+02,9.2870713498e+08,9.3909640410e+08
write,8,3.0574756885e+02,3.0565051389e+02,9.2870791277e+08,9.2900281071e+08
write,9,3.0574756598e+02,3.0388564491e+02,9.2870792146e+08,9.3439815684e+08
write,10,3.0574783206e+02,3.0348424196e+02,9.2870711325e+08,9.3563403708e+08
write,11,3.0574783802e+02,3.0317067003e+02,9.2870709515e+08,9.3660177109e+08
