access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.7637639785e+02,5.7637209105e+02,1.3501059794e+09,1.3501160677e+09
read,1,5.7637639594e+02,5.7637209797e+02,1.3501059839e+09,1.3501160515e+09
read,2,5.7637640095e+02,5.7637209392e+02,1.3501059721e+09,1.3501160610e+09
read,3,5.7637639999e+02,5.7637208986e+02,1.3501059744e+09,1.3501160705e+09
read,4,5.7637639689e+02,5.7637208891e+02,1.3501059816e+09,1.3501160727e+09
read,5,5.7637639594e+02,5.7637208605e+02,1.3501059839e+09,1.3501160795e+09
read,6,5.7637639999e+02,5.7637209105e+02,1.3501059744e+09,1.3501160677e+09
read,7,5.7637639499e+02,5.7637207103e+02,1.3501059861e+09,1.3501161146e+09
read,8,5.7637639689e+02,5.7637208700e+02,1.3501059816e+09,1.3501160772e+09
read,9,5.7637639499e+02,5.7637209988e+02,1.3501059861e+09,1.3501160471e+09
read,10,5.7637640500e+02,5.7637210107e+02,1.3501059626e+09,1.3501160443e+09
read,11,5.7637639904e+02,5.7637208605e+02,1.3501059766e+09,1.3501160795e+09
read,12,5.7637630606e+02,5.7637202215e+02,1.3501061944e+09,1.3501162291e+09
read,13,5.7637630606e+02,5.7637201309e+02,1.3501061944e+09,1.3501162503e+09
read,14,5.7637630820e+02,5.7637201309e+02,1.3501061894e+09,1.3501162503e+09
read,15,5.7637630582e+02,5.7637202501e+02,1.3501061950e+09,1.3501162224e+09
read,16,5.7637630820e+02,5.7637205410e+02,1.3501061894e+09,1.3501161543e+09
read,17,5.7637630486e+02,5.7637201500e+02,1.3501061972e+09,1.3501162459e+09
read,18,5.7637630701e+02,5.7637201595e+02,1.3501061922e+09,1.3501162436e+09
read,19,5.7637630391e+02,5.7637202096e+02,1.3501061994e+09,1.3501162319e+09
read,20,5.7637630606e+02,5.7637202597e+02,1.3501061944e+09,1.3501162202e+09
read,21,5.7637630486e+02,5.7637201595e+02,1.3501061972e+09,1.3501162436e+09
read,22,5.7637630582e+02,5.7637195206e+02,1.3501061950e+09,1.3501163933e+09
read,23,5.7637630296e+02,5.7637200713e+02,1.3501062017e+09,1.3501162643e+09
read,24,5.7637637091e+02,5.7637208509e+02,1.3501060425e+09,1.3501160817e+09
read,25,5.7637636805e+02,5.7637207294e+02,1.3501060492e+09,1.3501161102e+09
read,26,5.7637636495e+02,5.7637208104e+02,1.3501060565e+09,1.3501160912e+09
read,27,5.7637636805e+02,5.7637209201e+02,1.3501060492e+09,1.3501160655e+09
read,28,5.7637636709e+02,5.7637208009e+02,1.3501060514e+09,1.3501160934e+09
read,29,5.7637636900e+02,5.7637200594e+02,1.3501060470e+09,1.3501162671e+09
read,30,5.7637636614e+02,5.7637208915e+02,1.3501060537e+09,1.3501160722e+09
read,31,5.7637636900e+02,5.7637207985e+02,1.3501060470e+09,1.3501160940e+09
read,32,5.7637636805e+02,5.7637208581e+02,1.3501060492e+09,1.3501160800e+09
read,33,5.7637636614e+02,5.7637207389e+02,1.3501060537e+09,1.3501161079e+09
read,34,5.7637636495e+02,5.7637208080e+02,1.3501060565e+09,1.3501160917e+09
read,35,5.7637636900e+02,5.7637207699e+02,1.3501060470e+09,1.3501161007e+09
read,36,5.7637630486e+02,5.7637203288e+02,1.3501061972e+09,1.3501162040e+09
read,37,5.7637630510e+02,5.7637203217e+02,1.3501061966e+09,1.3501162057e+09
read,38,5.7637631392e+02,5.7637201214e+02,1.3501061760e+09,1.3501162526e+09
read,39,5.7637631512e+02,5.7637202811e+02,1.3501061732e+09,1.3501162152e+09
read,40,5.7637630510e+02,5.7637204909e+02,1.3501061966e+09,1.3501161660e+09
read,41,5.7637630296e+02,5.7637205100e+02,1.3501062017e+09,1.3501161615e+09
read,42,5.7637631297e+02,5.7637204099e+02,1.3501061782e+09,1.3501161850e+09
read,43,5.7637630701e+02,5.7637203312e+02,1.3501061922e+09,1.3501162034e+09
read,44,5.7637630486e+02,5.7637204695e+02,1.3501061972e+09,1.3501161710e+09
read,45,5.7637630606e+02,5.7637203789e+02,1.3501061944e+09,1.3501161923e+09
read,46,5.7637631106e+02,5.7637202406e+02,1.3501061827e+09,1.3501162247e+09
read,47,5.7637631297e+02,5.7637203598e+02,1.3501061782e+09,1.3501161967e+09
