access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2995632601e+02,3.0588269997e+02,2.3584006724e+09,2.5440118752e+09
write,1,3.2995633197e+02,3.2598195004e+02,2.3584006298e+09,2.3871543225e+09
write,2,3.2995633602e+02,3.0147546005e+02,2.3584006008e+09,2.5812025330e+09
write,3,3.2995632315e+02,3.2631938410e+02,2.3584006929e+09,2.3846858601e+09
write,4,3.2995632911e+02,3.2550317502e+02,2.3584006502e+09,2.3906655321e+09
write,5,3.2995632410e+02,3.0366041088e+02,2.3584006860e+09,2.5626298103e+09
write,6,3.2995632005e+02,3.2628368688e+02,2.3584007150e+09,2.3849467577e+09
write,7,3.2995632815e+02,3.2560115910e+02,2.3584006571e+09,2.3899461024e+09
write,8,3.2995633602e+02,3.2598094606e+02,2.3584006008e+09,2.3871616747e+09
write,9,3.2995632696e+02,3.2600628686e+02,2.3584006656e+09,2.3869761182e+09
write,10,3.2995633698e+02,3.0551139092e+02,2.3584005940e+09,2.5471037881e+09
write,11,3.2995632005e+02,3.2584777689e+02,2.3584007150e+09,2.3881372724e+09
write,12,3.2995634103e+02,3.2523861098e+02,2.3584005650e+09,2.3926102094e+09
write,13,3.2995634604e+02,3.0031736994e+02,2.3584005293e+09,2.5911562201e+09
write,14,3.2995634103e+02,3.0099562407e+02,2.3584005650e+09,2.5853173897e+09
write,15,3.2995634604e+02,3.2646448207e+02,2.3584005293e+09,2.3836259803e+09
write,16,3.2995633602e+02,3.2596606994e+02,2.3584006008e+09,2.3872706177e+09
write,17,3.2995634413e+02,3.2599154687e+02,2.3584005429e+09,2.3870840474e+09
write,18,3.2995633817e+02,3.2617193985e+02,2.3584005855e+09,2.3857638443e+09
write,19,3.2995634604e+02,3.0653136086e+02,2.3584005293e+09,2.5386284096e+09
write,20,3.2995634007e+02,3.2994344997e+02,2.3584005719e+09,2.3584927089e+09
write,21,3.2995634723e+02,3.0269199800e+02,2.3584005207e+09,2.5708285196e+09
write,22,3.2995635796e+02,3.2597058201e+02,2.3584004440e+09,2.3872375732e+09
write,23,3.2995634794e+02,3.2638538384e+02,2.3584005156e+09,2.3842036428e+09
write,24,3.2995625401e+02,3.0197393608e+02,2.3584011870e+09,2.5769416766e+09
write,25,3.2995625114e+02,3.2527588892e+02,2.3584012075e+09,2.3923360065e+09
write,26,3.2995625806e+02,3.2444233704e+02,2.3584011581e+09,2.3984823566e+09
write,27,3.2995624280e+02,3.2630968404e+02,2.3584012671e+09,2.3847567485e+09
write,28,3.2995632696e+02,3.2940761709e+02,2.3584006656e+09,2.3623291653e+09
write,29,3.2995624208e+02,3.2426668406e+02,2.3584012723e+09,2.3997815976e+09
write,30,3.2995624804e+02,3.2537207294e+02,2.3584012297e+09,2.3916288024e+09
write,31,3.2995626116e+02,3.0114470005e+02,2.3584011359e+09,2.5840375773e+09
write,32,3.2995624304e+02,3.2521748495e+02,2.3584012654e+09,2.3927656326e+09
write,33,3.2995629001e+02,3.0071079183e+02,2.3584009297e+09,2.5877661935e+09
write,34,3.2995624399e+02,3.2469400215e+02,2.3584012586e+09,2.3966233314e+09
write,35,3.2995626593e+02,3.0519142795e+02,2.3584011018e+09,2.5497741741e+09
write,36,3.2995643687e+02,3.0207245421e+02,2.3583998800e+09,2.5761012309e+09
write,37,3.2995642710e+02,3.2598033214e+02,2.3583999499e+09,2.3871661705e+09
write,38,3.2995645714e+02,3.0009756398e+02,2.3583997351e+09,2.5930541081e+09
write,39,3.2995642614e+02,3.2564967608e+02,2.3583999567e+09,2.3895900358e+09
write,40,3.2995643377e+02,3.2529080296e+02,2.3583999021e+09,2.3922263220e+09
write,41,3.2995642400e+02,3.2640204310e+02,2.3583999720e+09,2.3840819552e+09
write,42,3.2995643997e+02,3.2464447904e+02,2.3583998578e+09,2.3969889259e+09
write,43,3.2995642304e+02,3.2562605500e+02,2.3583999788e+09,2.3897633779e+09
write,44,3.2995642710e+02,3.2561255288e+02,2.3583999499e+09,2.3898624738e+09
write,45,3.2995644617e+02,3.0288516617e+02,2.3583998135e+09,2.5691889470e+09
write,46,3.2995651007e+02,3.0632848811e+02,2.3583993568e+09,2.5403096719e+09
write,47,3.2995643497e+02,3.2584613705e+02,2.3583998936e+09,2.3881492909e+09
