access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.1649164987e+02,3.1612114811e+02,6.0977891152e+07,6.1049358739e+07
write,1,3.1649166894e+02,3.1320611286e+02,6.0977887477e+07,6.1617550180e+07
write,2,3.1649174404e+02,3.0874058509e+02,6.0977873007e+07,6.2508767257e+07
write,3,3.1649166608e+02,3.1225899100e+02,6.0977888028e+07,6.1804444170e+07
write,4,3.1649167395e+02,3.1005067420e+02,6.0977886512e+07,6.2244642511e+07
write,5,3.1649165797e+02,3.0934350204e+02,6.0977889590e+07,6.2386936362e+07
write,6,3.1649166489e+02,3.1202190900e+02,6.0977888258e+07,6.1851404723e+07
write,7,3.1649166012e+02,3.1313138413e+02,6.0977889177e+07,6.1632255193e+07
write,8,3.1649167991e+02,3.1449178195e+02,6.0977885364e+07,6.1365652407e+07
write,9,3.1649166393e+02,3.0011151814e+02,6.0977888442e+07,6.4306073607e+07
write,10,3.1649166989e+02,3.1356132793e+02,6.0977887293e+07,6.1547747304e+07
write,11,3.1649166608e+02,3.1235788107e+02,6.0977888028e+07,6.1784877365e+07
write,12,3.1649167490e+02,3.1187729883e+02,6.0977886329e+07,6.1880083765e+07
write,13,3.1649167991e+02,3.1288718510e+02,6.0977885364e+07,6.1680357315e+07
write,14,3.1649169183e+02,3.1198175192e+02,6.0977883067e+07,6.1859365996e+07
write,15,3.1649169087e+02,3.1184890294e+02,6.0977883251e+07,6.1885718353e+07
write,16,3.1649167490e+02,3.1060495687e+02,6.0977886329e+07,6.2133565320e+07
write,17,3.1649167895e+02,3.1142818499e+02,6.0977885548e+07,6.1969321681e+07
write,18,3.1649169493e+02,3.1256465197e+02,6.0977882470e+07,6.1744004815e+07
write,19,3.1649168491e+02,3.1648411608e+02,6.0977884399e+07,6.0979342708e+07
write,20,3.1649169087e+02,3.1645258212e+02,6.0977883251e+07,6.0985419195e+07
write,21,3.1649168205e+02,3.0431759620e+02,6.0977884951e+07,6.3417277269e+07
write,22,3.1649167800e+02,3.1302741504e+02,6.0977885731e+07,6.1652725764e+07
write,23,3.1649168992e+02,3.1318909883e+02,6.0977883435e+07,6.1620897559e+07
write,24,3.1649172807e+02,3.1453426695e+02,6.0977876085e+07,6.1357363581e+07
write,25,3.1649172878e+02,3.1255222392e+02,6.0977875947e+07,6.1746459948e+07
write,26,3.1649174786e+02,3.0803260398e+02,6.0977872272e+07,6.2652437199e+07
write,27,3.1649173188e+02,3.1472005892e+02,6.0977875350e+07,6.1321141850e+07
write,28,3.1649173188e+02,3.1633150101e+02,6.0977875350e+07,6.1008762373e+07
write,29,3.1649172902e+02,3.0505324984e+02,6.0977875901e+07,6.3264342820e+07
write,30,3.1649173808e+02,3.0974675608e+02,6.0977874156e+07,6.2305715871e+07
write,31,3.1649174118e+02,3.1217441583e+02,6.0977873558e+07,6.1821188405e+07
write,32,3.1649173498e+02,3.0374332404e+02,6.0977874753e+07,6.3537177111e+07
write,33,3.1649172997e+02,3.0622200203e+02,6.0977875717e+07,6.3022882902e+07
write,34,3.1649174595e+02,3.0911738706e+02,6.0977872640e+07,6.2432571522e+07
write,35,3.1649174595e+02,3.1559440994e+02,6.0977872640e+07,6.1151252266e+07
write,36,3.1649172688e+02,3.1048906112e+02,6.0977876315e+07,6.2156757815e+07
write,37,3.1649174094e+02,3.1275760412e+02,6.0977873604e+07,6.1705912571e+07
write,38,3.1649174309e+02,3.0865225005e+02,6.0977873191e+07,6.2526657015e+07
write,39,3.1649174309e+02,3.0525812387e+02,6.0977873191e+07,6.3221882946e+07
write,40,3.1649173903e+02,3.1262281108e+02,6.0977873972e+07,6.1732518204e+07
write,41,3.1649172711e+02,3.1526716113e+02,6.0977876269e+07,6.1214727556e+07
write,42,3.1649173498e+02,3.1086888099e+02,6.0977874753e+07,6.2080814634e+07
write,43,3.1649174500e+02,3.1073131394e+02,6.0977872824e+07,6.2108299067e+07
write,44,3.1649174190e+02,3.0823676491e+02,6.0977873421e+07,6.2610939295e+07
write,45,3.1649174094e+02,3.1335352898e+02,6.0977873604e+07,6.1588562411e+07
write,46,3.1649173999e+02,3.1589407301e+02,6.0977873788e+07,6.1093243036e+07
write,47,3.1649174309e+02,3.0642810297e+02,6.0977873191e+07,6.2980494246e+07
