access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0287304497e+02,3.0000604701e+02,9.5363474564e+08,9.6274812484e+08
write,1,3.0287310791e+02,3.0022092319e+02,9.5363454746e+08,9.6205906016e+08
write,2,3.0287311697e+02,3.0061946201e+02,9.5363451893e+08,9.6078363412e+08
write,3,3.0287304592e+02,3.0119240618e+02,9.5363474264e+08,9.5895598055e+08
write,4,3.0287295008e+02,3.0277340698e+02,9.5363504442e+08,9.5394857190e+08
write,5,3.0287303305e+02,3.0072527695e+02,9.5363478318e+08,9.6044556724e+08
write,6,3.0287304711e+02,3.0025713396e+02,9.5363473889e+08,9.6194303659e+08
write,7,3.0287309408e+02,3.0184550285e+02,9.5363459100e+08,9.5688110795e+08
write,8,3.0287311292e+02,3.0068329120e+02,9.5363453170e+08,9.6057967854e+08
write,9,3.0287309790e+02,3.0078952312e+02,9.5363457899e+08,9.6024042393e+08
write,10,3.0287310910e+02,3.0101684213e+02,9.5363454371e+08,9.5951527881e+08
write,11,3.0287309504e+02,3.0105504084e+02,9.5363458800e+08,9.5939353282e+08
