runtime: 260.041208 rate: 786.063875
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 3, 42680, 43015, 166, 790, 125, 459, 90.344s, 5
1, 0, 0, 88, 413, 0, 156, 45, 222, 458, 216.172s, 5
2, 0, 0, 94, 570, 0, 255, 33, 214, 603, 226.584s, 5
3, 0, 0, 97, 596, 0, 195, 169, 226, 765, 218.723s, 5
4, 0, 0, 67, 13475, 13449, 212, 387, 218, 414, 193.217s, 5
5, 0, 0, 90, 457, 13, 155, 121, 226, 567, 224.152s, 5
6, 0, 0, 75, 448, 0, 131, 11, 232, 459, 229.978s, 5
7, 0, 0, 0, 78645, 80694, 177, 2049, 53, 6, 0.019s, 5
8, 0, 0, 78, 515, 0, 204, 194, 230, 709, 226.403s, 5
9, 0, 0, 95, 419, 0, 232, 64, 219, 483, 226.359s, 5
10, 0, 0, 93, 462, 0, 130, 47, 236, 509, 223.886s, 5
11, 0, 0, 0, 65729, 67257, 256, 1551, 68, 29, 39.302s, 4
