access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2337898879e+03,2.2337617991e+03,1.2711588858e+08,1.2711748702e+08
read,1,2.2337897038e+03,2.2337617850e+03,1.2711589905e+08,1.2711748782e+08
read,2,2.2337898939e+03,2.2337618020e+03,1.2711588824e+08,1.2711748685e+08
read,3,2.2337898800e+03,2.2337617991e+03,1.2711588903e+08,1.2711748702e+08
read,4,2.2337897139e+03,2.2337618070e+03,1.2711589848e+08,1.2711748657e+08
read,5,2.2337898960e+03,2.2337617970e+03,1.2711588812e+08,1.2711748714e+08
read,6,2.2337898741e+03,2.2337617929e+03,1.2711588936e+08,1.2711748737e+08
read,7,2.2337898710e+03,2.2337617881e+03,1.2711588954e+08,1.2711748764e+08
read,8,2.2337898209e+03,2.2337617970e+03,1.2711589239e+08,1.2711748714e+08
read,9,2.2337898278e+03,2.2337617960e+03,1.2711589200e+08,1.2711748719e+08
read,10,2.2337898898e+03,2.2337617960e+03,1.2711588847e+08,1.2711748719e+08
read,11,2.2337898829e+03,2.2337617979e+03,1.2711588886e+08,1.2711748708e+08
