access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.1774984097e+02,3.0821341085e+02,7.4391769096e+06,7.6693524576e+06
write,1,3.1774984717e+02,3.0821972990e+02,7.4391767644e+06,7.6691952224e+06
write,2,3.1774983692e+02,3.0934182000e+02,7.4391770045e+06,7.6413763906e+06
write,3,3.1774982285e+02,3.0941775584e+02,7.4391773338e+06,7.6395010802e+06
write,4,3.1774989104e+02,3.0443171692e+02,7.4391757374e+06,7.7646222408e+06
write,5,3.1774983001e+02,3.0786590290e+02,7.4391771663e+06,7.6780093467e+06
write,6,3.1774981499e+02,3.0727988100e+02,7.4391775180e+06,7.6926522892e+06
write,7,3.1774981284e+02,3.0679735279e+02,7.4391775682e+06,7.7047512258e+06
write,8,3.1774984407e+02,3.0938700604e+02,7.4391768370e+06,7.6402603659e+06
write,9,3.1774977016e+02,3.0772770119e+02,7.4391785674e+06,7.6814575707e+06
write,10,3.1774982119e+02,3.0795493484e+02,7.4391773729e+06,7.6757895803e+06
write,11,3.1774987102e+02,3.0780881500e+02,7.4391762063e+06,7.6794333521e+06
write,12,3.1774980807e+02,3.1685672307e+02,7.4391776799e+06,7.4601455734e+06
write,13,3.1774987817e+02,3.1399443579e+02,7.4391760388e+06,7.5281502173e+06
write,14,3.1774979615e+02,3.1754005289e+02,7.4391779590e+06,7.4440917247e+06
write,15,3.1774957800e+02,3.1766542101e+02,7.4391830664e+06,7.4411538797e+06
write,16,3.1774988294e+02,3.1754339290e+02,7.4391759272e+06,7.4440134258e+06
write,17,3.1774987602e+02,3.1543158913e+02,7.4391760890e+06,7.4938508427e+06
write,18,3.1774958897e+02,3.1699961185e+02,7.4391828096e+06,7.4567828843e+06
write,19,3.1774979401e+02,3.1705496407e+02,7.4391780092e+06,7.4554810614e+06
write,20,3.1774957609e+02,3.1696762705e+02,7.4391831110e+06,7.4575353389e+06
write,21,3.1774987388e+02,3.1493874478e+02,7.4391761393e+06,7.5055778914e+06
write,22,3.1774958682e+02,3.1661444092e+02,7.4391828598e+06,7.4658542837e+06
write,23,3.1774958301e+02,3.1633317804e+02,7.4391829492e+06,7.4724924354e+06
write,24,3.1774965501e+02,3.0448198795e+02,7.4391812634e+06,7.7633402747e+06
write,25,3.1774985194e+02,3.0341372085e+02,7.4391766528e+06,7.7906736499e+06
write,26,3.1774991298e+02,3.0546779299e+02,7.4391752238e+06,7.7382864389e+06
write,27,3.1774992394e+02,3.0158863807e+02,7.4391749671e+06,7.8378194058e+06
write,28,3.1774985003e+02,3.0719010878e+02,7.4391766975e+06,7.6949003645e+06
write,29,3.1774984407e+02,3.0411787200e+02,7.4391768370e+06,7.7726352103e+06
write,30,3.1774992204e+02,3.0107351780e+02,7.4391750117e+06,7.8512294847e+06
write,31,3.1774991512e+02,3.0118544197e+02,7.4391751736e+06,7.8483118724e+06
write,32,3.1774984384e+02,3.0725916910e+02,7.4391768426e+06,7.6931708398e+06
write,33,3.1774985886e+02,3.0709990692e+02,7.4391764909e+06,7.6971605224e+06
write,34,3.1774991202e+02,3.0520710182e+02,7.4391752462e+06,7.7448960587e+06
write,35,3.1774966192e+02,3.0001633191e+02,7.4391811016e+06,7.8788953419e+06
write,36,3.1774990201e+02,3.1265430403e+02,7.4391754806e+06,7.5604181665e+06
write,37,3.1774997497e+02,3.1010651398e+02,7.4391737726e+06,7.6225334634e+06
write,38,3.1774998903e+02,3.1013837695e+02,7.4391734432e+06,7.6217503401e+06
write,39,3.1774990797e+02,3.1280377197e+02,7.4391753411e+06,7.5568055497e+06
write,40,3.1774989510e+02,3.1210170984e+02,7.4391756425e+06,7.5738043255e+06
write,41,3.1774995208e+02,3.1310338712e+02,7.4391743084e+06,7.5495742852e+06
write,42,3.1774999094e+02,3.1150122905e+02,7.4391733986e+06,7.5884043451e+06
write,43,3.1774997902e+02,3.0613194489e+02,7.4391736777e+06,7.7214982605e+06
write,44,3.1774995089e+02,3.0980652905e+02,7.4391743363e+06,7.6299143446e+06
write,45,3.1774996901e+02,3.1266586208e+02,7.4391739121e+06,7.5601386869e+06
write,46,3.1774998307e+02,3.1119010091e+02,7.4391735828e+06,7.5959912385e+06
write,47,3.1774996114e+02,3.0954799604e+02,7.4391740963e+06,7.6362868124e+06
write,48,3.1774955487e+02,3.0967830110e+02,7.4391836078e+06,7.6330736498e+06
write,49,3.1774958110e+02,3.1142667198e+02,7.4391829938e+06,7.5902210461e+06
write,50,3.1774977493e+02,3.1278631592e+02,7.4391784558e+06,7.5572272817e+06
write,51,3.1774976611e+02,3.1327079916e+02,7.4391786623e+06,7.5455397897e+06
write,52,3.1774982095e+02,3.1200750685e+02,7.4391773784e+06,7.5760910495e+06
write,53,3.1774957705e+02,3.1123551202e+02,7.4391830887e+06,7.5948829382e+06
write,54,3.1774976206e+02,3.1253083301e+02,7.4391787572e+06,7.5634050480e+06
write,55,3.1774977708e+02,3.1014857292e+02,7.4391784055e+06,7.6214997791e+06
write,56,3.1774981499e+02,3.1275692797e+02,7.4391775180e+06,7.5579373904e+06
write,57,3.1774982405e+02,3.1152667212e+02,7.4391773059e+06,7.5877845832e+06
write,58,3.1774977112e+02,3.1218005514e+02,7.4391785451e+06,7.5719035892e+06
write,59,3.1774976206e+02,3.0886983514e+02,7.4391787572e+06,7.6530531994e+06
write,60,3.1774988508e+02,3.1503219414e+02,7.4391758769e+06,7.5033514796e+06
write,61,3.1774993992e+02,3.0875812411e+02,7.4391745931e+06,7.6558221319e+06
write,62,3.1774990296e+02,3.1421232200e+02,7.4391754583e+06,7.5229299252e+06
write,63,3.1774990702e+02,3.1502686381e+02,7.4391753634e+06,7.5034784380e+06
write,64,3.1774995708e+02,3.0589255309e+02,7.4391741912e+06,7.7275411124e+06
write,65,3.1774994397e+02,3.1373556995e+02,7.4391744982e+06,7.5343617568e+06
write,66,3.1774996781e+02,3.1085446405e+02,7.4391739400e+06,7.6041928083e+06
write,67,3.1774996185e+02,3.1323319387e+02,7.4391740796e+06,7.5464456712e+06
write,68,3.1774994898e+02,3.0868554497e+02,7.4391743810e+06,7.6576221936e+06
write,69,3.1774994206e+02,3.1258698797e+02,7.4391745429e+06,7.5620463134e+06
write,70,3.1774996305e+02,3.0706586599e+02,7.4391740517e+06,7.6980138198e+06
write,71,3.1775001287e+02,3.1230285692e+02,7.4391728850e+06,7.5689262125e+06
write,72,3.1774983597e+02,3.1030264306e+02,7.4391770268e+06,7.6177155846e+06
write,73,3.1774989295e+02,3.0949350905e+02,7.4391756927e+06,7.6376311969e+06
write,74,3.1774993610e+02,3.1194873405e+02,7.4391746824e+06,7.5775184254e+06
write,75,3.1774992704e+02,3.0638424802e+02,7.4391748945e+06,7.7151397152e+06
write,76,3.1774992299e+02,3.1165921402e+02,7.4391749894e+06,7.5845576632e+06
write,77,3.1774991202e+02,3.1018111086e+02,7.4391752462e+06,7.6207002852e+06
write,78,3.1774991488e+02,3.0845607519e+02,7.4391751792e+06,7.6633189297e+06
write,79,3.1774990702e+02,3.0379305911e+02,7.4391753634e+06,7.7809456441e+06
write,80,3.1774990606e+02,3.1058195496e+02,7.4391753857e+06,7.6108648371e+06
write,81,3.1774990296e+02,3.0986029387e+02,7.4391754583e+06,7.6285904545e+06
write,82,3.1774993110e+02,3.0974208307e+02,7.4391747996e+06,7.6315018500e+06
write,83,3.1774992800e+02,3.0932760382e+02,7.4391748722e+06,7.6417275757e+06
write,84,3.1774981213e+02,3.1082530785e+02,7.4391775850e+06,7.6049061011e+06
write,85,3.1774987793e+02,3.0627490997e+02,7.4391760444e+06,7.7178939672e+06
write,86,3.1774986386e+02,3.0965778995e+02,7.4391763737e+06,7.6335792502e+06
write,87,3.1774985600e+02,3.0946828294e+02,7.4391765579e+06,7.6382537737e+06
write,88,3.1774989104e+02,3.0968265104e+02,7.4391757374e+06,7.6329664321e+06
write,89,3.1774988413e+02,3.0580072498e+02,7.4391758993e+06,7.7298615957e+06
write,90,3.1774986601e+02,3.0992839408e+02,7.4391763235e+06,7.6269142330e+06
write,91,3.1774962497e+02,3.0727105999e+02,7.4391819667e+06,7.6928731267e+06
write,92,3.1774988508e+02,3.0487033296e+02,7.4391758769e+06,7.7534513020e+06
write,93,3.1774988198e+02,3.1071160007e+02,7.4391759495e+06,7.6076891867e+06
write,94,3.1774986005e+02,3.0857771993e+02,7.4391764630e+06,7.6602979650e+06
write,95,3.1774985504e+02,3.0913128591e+02,7.4391765802e+06,7.6465805558e+06
