access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.1888666153e+01,6.1881417990e+01,1.7671560768e+08,1.7673630636e+08
read,1,6.1888665199e+01,6.1881412983e+01,1.7671561041e+08,1.7673632066e+08
read,2,6.1888664007e+01,6.1881406069e+01,1.7671561381e+08,1.7673634041e+08
read,3,6.1888664007e+01,6.1881406069e+01,1.7671561381e+08,1.7673634041e+08
read,4,6.1888664961e+01,6.1881415129e+01,1.7671561109e+08,1.7673631453e+08
read,5,6.1888664007e+01,6.1881410122e+01,1.7671561381e+08,1.7673632883e+08
read,6,6.1888667107e+01,6.1881405115e+01,1.7671560496e+08,1.7673634313e+08
read,7,6.1888665915e+01,6.1881405115e+01,1.7671560837e+08,1.7673634313e+08
read,8,6.1888665915e+01,6.1881407022e+01,1.7671560837e+08,1.7673633769e+08
read,9,6.1888664961e+01,6.1881406069e+01,1.7671561109e+08,1.7673634041e+08
read,10,6.1888664961e+01,6.1881400108e+01,1.7671561109e+08,1.7673635743e+08
read,11,6.1888664007e+01,6.1881407022e+01,1.7671561381e+08,1.7673633769e+08
read,12,6.1888661146e+01,6.1881417990e+01,1.7671562198e+08,1.7673630636e+08
read,13,6.1888659000e+01,6.1881399155e+01,1.7671562811e+08,1.7673636016e+08
read,14,6.1888659000e+01,6.1881340027e+01,1.7671562811e+08,1.7673652903e+08
read,15,6.1888660908e+01,6.1881401062e+01,1.7671562266e+08,1.7673635471e+08
read,16,6.1888657808e+01,6.1881399155e+01,1.7671563151e+08,1.7673636016e+08
read,17,6.1888656855e+01,6.1881412029e+01,1.7671563423e+08,1.7673632339e+08
read,18,6.1888659954e+01,6.1881402016e+01,1.7671562538e+08,1.7673635199e+08
read,19,6.1888655901e+01,6.1881413221e+01,1.7671563696e+08,1.7673631998e+08
read,20,6.1888659000e+01,6.1881399155e+01,1.7671562811e+08,1.7673636016e+08
read,21,6.1888657808e+01,6.1881399155e+01,1.7671563151e+08,1.7673636016e+08
read,22,6.1888657808e+01,6.1881403208e+01,1.7671563151e+08,1.7673634858e+08
read,23,6.1888656855e+01,6.1881397009e+01,1.7671563423e+08,1.7673636629e+08
read,24,6.1888614178e+01,6.1881366014e+01,1.7671575609e+08,1.7673645481e+08
read,25,6.1888614893e+01,6.1881350994e+01,1.7671575405e+08,1.7673649771e+08
read,26,6.1888609886e+01,6.1881351948e+01,1.7671576835e+08,1.7673649498e+08
read,27,6.1888609886e+01,6.1881356955e+01,1.7671576835e+08,1.7673648068e+08
read,28,6.1888609886e+01,6.1881361961e+01,1.7671576835e+08,1.7673646638e+08
read,29,6.1888611078e+01,6.1881350040e+01,1.7671576494e+08,1.7673650043e+08
read,30,6.1888609886e+01,6.1881360054e+01,1.7671576835e+08,1.7673647183e+08
read,31,6.1888607979e+01,6.1881360054e+01,1.7671577379e+08,1.7673647183e+08
read,32,6.1888614178e+01,6.1881350994e+01,1.7671575609e+08,1.7673649771e+08
read,33,6.1888608932e+01,6.1881341934e+01,1.7671577107e+08,1.7673652358e+08
read,34,6.1888610840e+01,6.1881350994e+01,1.7671576562e+08,1.7673649771e+08
read,35,6.1888609886e+01,6.1881352901e+01,1.7671576835e+08,1.7673649226e+08
read,36,6.1888662100e+01,6.1881421089e+01,1.7671561926e+08,1.7673629751e+08
read,37,6.1888662100e+01,6.1881399870e+01,1.7671561926e+08,1.7673635811e+08
read,38,6.1888662100e+01,6.1881399870e+01,1.7671561926e+08,1.7673635811e+08
read,39,6.1888661146e+01,6.1881403923e+01,1.7671562198e+08,1.7673634654e+08
read,40,6.1888663054e+01,6.1881402016e+01,1.7671561653e+08,1.7673635199e+08
read,41,6.1888664961e+01,6.1881403923e+01,1.7671561109e+08,1.7673634654e+08
read,42,6.1888662100e+01,6.1881403923e+01,1.7671561926e+08,1.7673634654e+08
read,43,6.1888661146e+01,6.1881418943e+01,1.7671562198e+08,1.7673630364e+08
read,44,6.1888664961e+01,6.1881405830e+01,1.7671561109e+08,1.7673634109e+08
read,45,6.1888663054e+01,6.1881402016e+01,1.7671561653e+08,1.7673635199e+08
read,46,6.1888664007e+01,6.1881395817e+01,1.7671561381e+08,1.7673636969e+08
read,47,6.1888663054e+01,6.1881401062e+01,1.7671561653e+08,1.7673635471e+08
read,48,6.1888662100e+01,6.1881417990e+01,1.7671561926e+08,1.7673630636e+08
read,49,6.1888659954e+01,6.1881404877e+01,1.7671562538e+08,1.7673634381e+08
read,50,6.1888663054e+01,6.1881413937e+01,1.7671561653e+08,1.7673631794e+08
read,51,6.1888662100e+01,6.1881413937e+01,1.7671561926e+08,1.7673631794e+08
read,52,6.1888661146e+01,6.1881413937e+01,1.7671562198e+08,1.7673631794e+08
read,53,6.1888660192e+01,6.1881404877e+01,1.7671562470e+08,1.7673634381e+08
read,54,6.1888662100e+01,6.1881413937e+01,1.7671561926e+08,1.7673631794e+08
read,55,6.1888661146e+01,6.1881413937e+01,1.7671562198e+08,1.7673631794e+08
read,56,6.1888663054e+01,6.1881397963e+01,1.7671561653e+08,1.7673636356e+08
read,57,6.1888661146e+01,6.1881404877e+01,1.7671562198e+08,1.7673634381e+08
read,58,6.1888663054e+01,6.1881406784e+01,1.7671561653e+08,1.7673633837e+08
read,59,6.1888662100e+01,6.1881412983e+01,1.7671561926e+08,1.7673632066e+08
read,60,6.1888663054e+01,6.1881422997e+01,1.7671561653e+08,1.7673629206e+08
read,61,6.1888662100e+01,6.1881418943e+01,1.7671561926e+08,1.7673630364e+08
read,62,6.1888662815e+01,6.1881402969e+01,1.7671561722e+08,1.7673634926e+08
read,63,6.1888660908e+01,6.1881419897e+01,1.7671562266e+08,1.7673630092e+08
read,64,6.1888661146e+01,6.1881419897e+01,1.7671562198e+08,1.7673630092e+08
read,65,6.1888660908e+01,6.1881418943e+01,1.7671562266e+08,1.7673630364e+08
read,66,6.1888662815e+01,6.1881411076e+01,1.7671561722e+08,1.7673632611e+08
read,67,6.1888660908e+01,6.1881409883e+01,1.7671562266e+08,1.7673632951e+08
