runtime: 199.007933 rate: 103281.756921
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 1707199, 30845, 1707195, 1707199, 8633, 3, 10795, 2114, 4.199s, 5
1, 0, 1711633, 32257, 1711632, 1711633, 8796, 1458, 8869, 1555, 3.335s, 5
2, 0, 1706556, 31970, 1706556, 1706556, 8608, 0, 10600, 2081, 4.141s, 5
3, 0, 1721432, 31289, 1721430, 1721432, 8986, 3234, 7235, 1433, 2.767s, 5
4, 0, 1673833, 37338, 1673831, 1673833, 8842, 2286, 7933, 1456, 3.005s, 5
5, 0, 1706799, 32045, 1706799, 1706799, 8505, 0, 10906, 2101, 4.170s, 5
6, 0, 1739599, 14774, 1739598, 1739599, 8982, 2320, 7687, 1300, 2.880s, 5
7, 0, 1761975, 0, 1761968, 1761975, 9348, 7260, 2216, 323, 0.832s, 5
8, 0, 1699578, 31738, 1699576, 1699578, 8871, 1824, 7980, 1683, 3.125s, 5
9, 0, 1710557, 32387, 1710557, 1710557, 8616, 1618, 9470, 1758, 3.602s, 5
10, 0, 1707329, 31224, 1707329, 1707329, 8554, 0, 11244, 2134, 4.291s, 5
11, 0, 1707418, 31777, 1707418, 1707418, 8713, 0, 10519, 2065, 4.002s, 5
