access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.3978716803e+02,3.3978319287e+02,2.5240097237e+09,2.5240392523e+09
read,1,3.3978715801e+02,3.3978317690e+02,2.5240097981e+09,2.5240393710e+09
read,2,3.3978715611e+02,3.3978319097e+02,2.5240098123e+09,2.5240392665e+09
read,3,3.3978716707e+02,3.3978318691e+02,2.5240097308e+09,2.5240392966e+09
read,4,3.3978715706e+02,3.3978317785e+02,2.5240098052e+09,2.5240393639e+09
read,5,3.3978715706e+02,3.3978319502e+02,2.5240098052e+09,2.5240392364e+09
read,6,3.3978716803e+02,3.3978316188e+02,2.5240097237e+09,2.5240394826e+09
read,7,3.3978715515e+02,3.3978318095e+02,2.5240098194e+09,2.5240393409e+09
read,8,3.3978716898e+02,3.3978319597e+02,2.5240097166e+09,2.5240392293e+09
read,9,3.3978716707e+02,3.3978316712e+02,2.5240097308e+09,2.5240394436e+09
read,10,3.3978715897e+02,3.3978319407e+02,2.5240097910e+09,2.5240392435e+09
read,11,3.3978715706e+02,3.3978320408e+02,2.5240098052e+09,2.5240391691e+09
read,12,3.3978733993e+02,3.3978339314e+02,2.5240084468e+09,2.5240377646e+09
read,13,3.3978735614e+02,3.3978339386e+02,2.5240083264e+09,2.5240377593e+09
read,14,3.3978734303e+02,3.3978339195e+02,2.5240084238e+09,2.5240377735e+09
read,15,3.3978734207e+02,3.3978340101e+02,2.5240084309e+09,2.5240377062e+09
read,16,3.3978733897e+02,3.3978339720e+02,2.5240084539e+09,2.5240377345e+09
read,17,3.3978734398e+02,3.3978337693e+02,2.5240084167e+09,2.5240378851e+09
read,18,3.3978733802e+02,3.3978339005e+02,2.5240084610e+09,2.5240377877e+09
read,19,3.3978735018e+02,3.3978339601e+02,2.5240083707e+09,2.5240377434e+09
read,20,3.3978734493e+02,3.3978338504e+02,2.5240084096e+09,2.5240378249e+09
read,21,3.3978735805e+02,3.3978344798e+02,2.5240083122e+09,2.5240373573e+09
read,22,3.3978733993e+02,3.3978339911e+02,2.5240084468e+09,2.5240377204e+09
read,23,3.3978735209e+02,3.3978339100e+02,2.5240083565e+09,2.5240377806e+09
