access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.3783271885e+02,3.1570684910e+02,1.9587985986e+09,2.7165267987e+09
write,1,4.3783271790e+02,3.0539063311e+02,1.9587986029e+09,2.8082921450e+09
write,2,4.3783272386e+02,4.3782124591e+02,1.9587985762e+09,1.9588499282e+09
write,3,4.3783272290e+02,3.1659235096e+02,1.9587985805e+09,2.7089287328e+09
write,4,4.3783272004e+02,3.0851902914e+02,1.9587985933e+09,2.7798159436e+09
write,5,4.3783271813e+02,3.0989204097e+02,1.9587986018e+09,2.7674996538e+09
write,6,4.3783272099e+02,3.0058105397e+02,1.9587985890e+09,2.8532274565e+09
write,7,4.3783274388e+02,3.1685913706e+02,1.9587984866e+09,2.7066478943e+09
write,8,4.3783272004e+02,3.1296635103e+02,1.9587985933e+09,2.7403141369e+09
write,9,4.3783271909e+02,3.1643607783e+02,1.9587985975e+09,2.7102665473e+09
write,10,4.3783272004e+02,3.5828681111e+02,1.9587985933e+09,2.3936859786e+09
write,11,4.3783273482e+02,3.2458579707e+02,1.9587985271e+09,2.6422170158e+09
write,12,4.3783278489e+02,3.3833972597e+02,1.9587983031e+09,2.5348076216e+09
write,13,4.3783279991e+02,3.4093264794e+02,1.9587982359e+09,2.5155294492e+09
write,14,4.3783279300e+02,3.0000119710e+02,1.9587982669e+09,2.8587423130e+09
write,15,4.3783282495e+02,3.0396768880e+02,1.9587981239e+09,2.8214384216e+09
write,16,4.3783280802e+02,3.2018928003e+02,1.9587981997e+09,2.6784972814e+09
write,17,4.3783279610e+02,4.2473779702e+02,1.9587982530e+09,2.0191895379e+09
write,18,4.3783280110e+02,3.1274337983e+02,1.9587982306e+09,2.7422678509e+09
write,19,4.3783279085e+02,3.0565679002e+02,1.9587982765e+09,2.8058467670e+09
write,20,4.3783280492e+02,3.3601673412e+02,1.9587982135e+09,2.5523315627e+09
write,21,4.3783280706e+02,3.2545529318e+02,1.9587982039e+09,2.6351579897e+09
write,22,4.3783282208e+02,3.0978950191e+02,1.9587981367e+09,2.7684156849e+09
write,23,4.3783280301e+02,3.0809518409e+02,1.9587982221e+09,2.7836401229e+09
