access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2536098909e+02,2.2535366678e+02,1.8015711899e+08,1.8016297275e+08
read,1,2.2536098909e+02,2.2535366416e+02,1.8015711899e+08,1.8016297485e+08
read,2,2.2536098909e+02,2.2535365319e+02,1.8015711899e+08,1.8016298362e+08
read,3,2.2536098790e+02,2.2535365319e+02,1.8015711994e+08,1.8016298362e+08
read,4,2.2536098790e+02,2.2535359406e+02,1.8015711994e+08,1.8016303089e+08
read,5,2.2536098695e+02,2.2535365605e+02,1.8015712071e+08,1.8016298133e+08
read,6,2.2536098599e+02,2.2535365009e+02,1.8015712147e+08,1.8016298609e+08
read,7,2.2536098599e+02,2.2535365200e+02,1.8015712147e+08,1.8016298457e+08
read,8,2.2536099005e+02,2.2535366416e+02,1.8015711823e+08,1.8016297485e+08
read,9,2.2536098909e+02,2.2535366416e+02,1.8015711899e+08,1.8016297485e+08
read,10,2.2536099005e+02,2.2535366297e+02,1.8015711823e+08,1.8016297580e+08
read,11,2.2536098790e+02,2.2535365319e+02,1.8015711994e+08,1.8016298362e+08
read,12,2.2536097884e+02,2.2535365891e+02,1.8015712719e+08,1.8016297904e+08
read,13,2.2536098099e+02,2.2535364199e+02,1.8015712547e+08,1.8016299257e+08
read,14,2.2536097693e+02,2.2535364199e+02,1.8015712871e+08,1.8016299257e+08
read,15,2.2536097598e+02,2.2535365295e+02,1.8015712947e+08,1.8016298381e+08
read,16,2.2536097789e+02,2.2535363293e+02,1.8015712795e+08,1.8016299982e+08
read,17,2.2536097598e+02,2.2535364199e+02,1.8015712947e+08,1.8016299257e+08
read,18,2.2536097503e+02,2.2535365295e+02,1.8015713024e+08,1.8016298381e+08
read,19,2.2536097503e+02,2.2535365391e+02,1.8015713024e+08,1.8016298304e+08
read,20,2.2536097884e+02,2.2535365391e+02,1.8015712719e+08,1.8016298304e+08
read,21,2.2536097789e+02,2.2535364103e+02,1.8015712795e+08,1.8016299334e+08
read,22,2.2536097693e+02,2.2535365486e+02,1.8015712871e+08,1.8016298228e+08
read,23,2.2536097598e+02,2.2535364389e+02,1.8015712947e+08,1.8016299105e+08
