access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.3420321083e+02,3.3419543910e+02,1.2148413065e+08,1.2148695577e+08
write,1,3.3420321584e+02,3.3419540691e+02,1.2148412883e+08,1.2148696747e+08
write,2,3.3420323300e+02,3.3419546294e+02,1.2148412259e+08,1.2148694710e+08
write,3,3.3420322609e+02,3.3419548702e+02,1.2148412510e+08,1.2148693835e+08
write,4,3.3420322108e+02,3.3419550610e+02,1.2148412692e+08,1.2148693141e+08
write,5,3.3420322514e+02,3.3419552898e+02,1.2148412545e+08,1.2148692309e+08
write,6,3.3420322609e+02,3.3419549990e+02,1.2148412510e+08,1.2148693367e+08
write,7,3.3420323420e+02,3.1353058696e+02,1.2148412216e+08,1.2949418085e+08
write,8,3.3420322514e+02,3.3419556785e+02,1.2148412545e+08,1.2148690897e+08
write,9,3.3420321584e+02,3.3419557500e+02,1.2148412883e+08,1.2148690637e+08
write,10,3.3420322204e+02,3.0000063205e+02,1.2148412658e+08,1.3533433663e+08
write,11,3.3420323992e+02,3.0000063014e+02,1.2148412008e+08,1.3533433749e+08
write,12,3.3420325804e+02,3.3419564104e+02,1.2148411349e+08,1.2148688236e+08
write,13,3.3420328307e+02,3.3419564700e+02,1.2148410439e+08,1.2148688019e+08
write,14,3.3420328307e+02,3.3419570398e+02,1.2148410439e+08,1.2148685948e+08
write,15,3.3420327115e+02,3.3419568396e+02,1.2148410872e+08,1.2148686676e+08
write,16,3.3420327592e+02,3.3419566512e+02,1.2148410699e+08,1.2148687361e+08
write,17,3.3420327401e+02,3.3419568110e+02,1.2148410768e+08,1.2148686780e+08
write,18,3.3420327592e+02,3.1711798096e+02,1.2148410699e+08,1.2802927921e+08
write,19,3.3420327497e+02,3.1711798811e+02,1.2148410734e+08,1.2802927633e+08
write,20,3.3420327592e+02,3.3419568801e+02,1.2148410699e+08,1.2148686528e+08
write,21,3.3420327497e+02,3.3419570398e+02,1.2148410734e+08,1.2148685948e+08
write,22,3.3420327187e+02,3.3419571900e+02,1.2148410846e+08,1.2148685402e+08
write,23,3.3420326304e+02,3.3419573402e+02,1.2148411167e+08,1.2148684856e+08
