access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0528908014e+02,3.0130140996e+02,3.0824359817e+08,3.1232314697e+08
write,1,3.0528908300e+02,3.0126166296e+02,3.0824359528e+08,3.1236435336e+08
write,2,3.0528911185e+02,3.0258528996e+02,3.0824356615e+08,3.1099794890e+08
write,3,3.0528908706e+02,3.0527632689e+02,3.0824359118e+08,3.0825647537e+08
write,4,3.0528908992e+02,3.0125030804e+02,3.0824358830e+08,3.1237612721e+08
write,5,3.0528908610e+02,3.0126108694e+02,3.0824359215e+08,3.1236495061e+08
write,6,3.0528908801e+02,3.0303849578e+02,3.0824359022e+08,3.1053283941e+08
write,7,3.0528908396e+02,3.0336939001e+02,3.0824359431e+08,3.1019413178e+08
write,8,3.0528908896e+02,3.0002443099e+02,3.0824358926e+08,3.1365247235e+08
write,9,3.0528907919e+02,3.0116596699e+02,3.0824359913e+08,3.1246360764e+08
write,10,3.0528908420e+02,3.0367624402e+02,3.0824359407e+08,3.0988069168e+08
write,11,3.0528907895e+02,3.0397199488e+02,3.0824359937e+08,3.0957919193e+08
write,12,3.0528912807e+02,3.0112764692e+02,3.0824354978e+08,3.1250337027e+08
write,13,3.0528912687e+02,3.0000911212e+02,3.0824355098e+08,3.1366848786e+08
write,14,3.0528913379e+02,3.0042575407e+02,3.0824354400e+08,3.1323348038e+08
write,15,3.0528912902e+02,3.0166413593e+02,3.0824354882e+08,3.1194760442e+08
write,16,3.0528912711e+02,3.0092507005e+02,3.0824355074e+08,3.1271374143e+08
write,17,3.0528912306e+02,3.0083913994e+02,3.0824355484e+08,3.1280306334e+08
write,18,3.0528913689e+02,3.0125436306e+02,3.0824354087e+08,3.1237192248e+08
write,19,3.0528912687e+02,3.0006762600e+02,3.0824355098e+08,3.1360732178e+08
write,20,3.0528913498e+02,3.0073260808e+02,3.0824354280e+08,3.1291387105e+08
write,21,3.0528913093e+02,3.0119778204e+02,3.0824354689e+08,3.1243060260e+08
write,22,3.0528913498e+02,3.0109442711e+02,3.0824354280e+08,3.1253784883e+08
write,23,3.0528912997e+02,3.0068752599e+02,3.0824354785e+08,3.1296078623e+08
