access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,1.6553655791e+02,1.6552953506e+02,2.6042360131e+07,2.6043465020e+07
read,1,1.6553655696e+02,1.6552953100e+02,2.6042360281e+07,2.6043465658e+07
read,2,1.6553655815e+02,1.6552952099e+02,2.6042360093e+07,2.6043467233e+07
read,3,1.6553655720e+02,1.6552952480e+02,2.6042360243e+07,2.6043466633e+07
read,4,1.6553655696e+02,1.6552951479e+02,2.6042360281e+07,2.6043468209e+07
read,5,1.6553655505e+02,1.6552952194e+02,2.6042360581e+07,2.6043467083e+07
read,6,1.6553655720e+02,1.6552952099e+02,2.6042360243e+07,2.6043467233e+07
read,7,1.6553655601e+02,1.6552952099e+02,2.6042360431e+07,2.6043467233e+07
read,8,1.6553655696e+02,1.6552952290e+02,2.6042360281e+07,2.6043466933e+07
read,9,1.6553655696e+02,1.6552952981e+02,2.6042360281e+07,2.6043465845e+07
read,10,1.6553655815e+02,1.6552952218e+02,2.6042360093e+07,2.6043467046e+07
read,11,1.6553655815e+02,1.6552952218e+02,2.6042360093e+07,2.6043467046e+07
read,12,1.6553655195e+02,1.6552953196e+02,2.6042361069e+07,2.6043465508e+07
read,13,1.6553655100e+02,1.6552952194e+02,2.6042361219e+07,2.6043467083e+07
read,14,1.6553655314e+02,1.6552951980e+02,2.6042360881e+07,2.6043467421e+07
read,15,1.6553655219e+02,1.6552951980e+02,2.6042361031e+07,2.6043467421e+07
read,16,1.6553655005e+02,1.6552952886e+02,2.6042361369e+07,2.6043465995e+07
read,17,1.6553655005e+02,1.6552952003e+02,2.6042361369e+07,2.6043467383e+07
read,18,1.6553655219e+02,1.6552952981e+02,2.6042361031e+07,2.6043465845e+07
read,19,1.6553654981e+02,1.6552952099e+02,2.6042361406e+07,2.6043467233e+07
read,20,1.6553655195e+02,1.6552952886e+02,2.6042361069e+07,2.6043465995e+07
read,21,1.6553655195e+02,1.6552947879e+02,2.6042361069e+07,2.6043473873e+07
read,22,1.6553655195e+02,1.6552952194e+02,2.6042361069e+07,2.6043467083e+07
read,23,1.6553655314e+02,1.6552952099e+02,2.6042360881e+07,2.6043467233e+07
