access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2884259892e+02,3.0819315886e+02,1.3109501841e+07,1.3987859665e+07
write,1,3.2884261489e+02,3.0819316816e+02,1.3109501205e+07,1.3987859243e+07
write,2,3.2884261990e+02,3.0594921803e+02,1.3109501005e+07,1.4090451624e+07
write,3,3.2884261012e+02,3.0594921398e+02,1.3109501395e+07,1.4090451810e+07
write,4,3.2884261703e+02,3.0253064990e+02,1.3109501119e+07,1.4249672413e+07
write,5,3.2884261298e+02,3.0253193712e+02,1.3109501281e+07,1.4249611783e+07
write,6,3.2884262109e+02,3.0000627208e+02,1.3109500957e+07,1.4369575096e+07
write,7,3.2884261799e+02,3.0000934792e+02,1.3109501081e+07,1.4369427773e+07
write,8,3.2884261417e+02,3.0366596198e+02,1.3109501233e+07,1.4196397344e+07
write,9,3.2884261394e+02,3.0379537511e+02,1.3109501243e+07,1.4190349851e+07
write,10,3.2884261799e+02,3.0440893316e+02,1.3109501081e+07,1.4161748183e+07
write,11,3.2884261799e+02,3.0440893006e+02,1.3109501081e+07,1.4161748327e+07
write,12,3.2884270191e+02,3.2733961797e+02,1.3109497735e+07,1.3169694163e+07
write,13,3.2884270406e+02,3.2733963609e+02,1.3109497650e+07,1.3169693434e+07
write,14,3.2884271789e+02,3.2821287799e+02,1.3109497099e+07,1.3134654199e+07
write,15,3.2884271598e+02,3.2883313394e+02,1.3109497175e+07,1.3109879179e+07
write,16,3.2884271693e+02,3.0518979692e+02,1.3109497137e+07,1.4125513695e+07
write,17,3.2884270501e+02,3.0518979096e+02,1.3109497612e+07,1.4125513971e+07
write,18,3.2884272504e+02,3.1435535192e+02,1.3109496813e+07,1.3713660765e+07
write,19,3.2884271693e+02,3.1426788688e+02,1.3109497137e+07,1.3717477464e+07
write,20,3.2884270906e+02,3.0257086802e+02,1.3109497450e+07,1.4247778328e+07
write,21,3.2884270692e+02,3.0257080913e+02,1.3109497536e+07,1.4247781101e+07
write,22,3.2884272289e+02,3.0053794003e+02,1.3109496899e+07,1.4344154537e+07
write,23,3.2884272885e+02,3.0053792095e+02,1.3109496661e+07,1.4344155447e+07
