runtime: 123.806238 rate: 420442.537345
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 1076704, 9333, 1076700, 1076704, 18582, 3, 20558, 2003, 6.033s, 5
1, 0, 1081415, 9222, 1081415, 1081415, 18477, 0, 20034, 2013, 5.801s, 5
2, 0, 1111552, 0, 1111526, 1111552, 18616, 12175, 6672, 83, 0.801s, 5
3, 0, 1083209, 9754, 1083209, 1083209, 18379, 0, 19881, 1982, 5.787s, 5
4, 0, 1084976, 9347, 1084975, 1084976, 18358, 1886, 19141, 1934, 5.555s, 5
5, 0, 1090119, 9366, 1090119, 1090119, 18324, 1518, 18311, 1562, 5.109s, 5
6, 0, 1082040, 10188, 1082040, 1082040, 18494, 0, 20426, 1948, 5.998s, 5
7, 0, 1076828, 3055, 1076827, 1076828, 18356, 1401, 19104, 1740, 5.648s, 5
8, 0, 1090121, 9091, 1090121, 1090121, 18452, 1600, 18023, 1654, 5.088s, 5
9, 0, 1077318, 7918, 1077318, 1077318, 18385, 0, 21377, 2075, 6.162s, 5
10, 0, 1077795, 9559, 1077795, 1077795, 18584, 0, 21385, 1998, 6.164s, 5
11, 0, 1094937, 9288, 1094935, 1094937, 18559, 3294, 16827, 1378, 4.376s, 5
12, 0, 1062300, 10078, 1062299, 1062300, 18470, 216, 19186, 1915, 5.509s, 5
13, 0, 1087274, 2889, 1087273, 1087274, 18344, 2903, 17229, 1317, 4.682s, 5
14, 0, 1091514, 8899, 1091513, 1091514, 18598, 3121, 16334, 1197, 4.418s, 5
15, 0, 1093156, 10957, 1093156, 1093156, 18496, 1647, 17859, 1621, 4.903s, 5
16, 0, 1068444, 9299, 1068443, 1068444, 18597, 1822, 18023, 1588, 4.930s, 5
17, 0, 1087660, 9885, 1087660, 1087660, 18641, 1607, 18397, 1615, 5.243s, 5
18, 0, 1083513, 2533, 1083513, 1083513, 18658, 1371, 19167, 1771, 5.291s, 5
19, 0, 1098531, 7398, 1098530, 1098531, 18420, 5145, 15096, 1334, 3.922s, 5
20, 0, 1077041, 9284, 1077041, 1077041, 18683, 0, 21148, 2008, 6.041s, 5
21, 0, 1079328, 8872, 1079328, 1079328, 18578, 0, 20833, 2050, 5.954s, 5
22, 0, 1084328, 9146, 1084328, 1084328, 18516, 1527, 18914, 1582, 5.227s, 5
23, 0, 1080921, 9456, 1080921, 1080921, 18713, 1611, 18362, 1629, 5.501s, 5
24, 0, 1084820, 9413, 1084819, 1084820, 18282, 1640, 18730, 1657, 5.312s, 5
25, 0, 1093625, 2884, 1093623, 1093625, 18582, 4697, 14672, 1134, 3.840s, 5
26, 0, 1089074, 13800, 1089071, 1089074, 18771, 5713, 14187, 1012, 3.443s, 5
27, 0, 1085256, 8663, 1085256, 1085256, 18831, 1652, 18931, 1725, 5.370s, 5
28, 0, 1085640, 8648, 1085639, 1085640, 18624, 3411, 12465, 1508, 4.680s, 5
29, 0, 1090831, 9179, 1090829, 1090831, 18644, 3414, 17172, 1486, 4.593s, 5
30, 0, 1091674, 8812, 1091674, 1091674, 18392, 3408, 17046, 1528, 4.756s, 5
31, 0, 1085845, 9468, 1085844, 1085845, 18626, 1641, 18443, 1691, 5.424s, 5
32, 0, 1078745, 2708, 1078744, 1078745, 18245, 1380, 19948, 1765, 5.633s, 5
33, 0, 1074757, 10059, 1074757, 1074757, 18233, 0, 20650, 1970, 6.146s, 5
34, 0, 1089602, 10327, 1089601, 1089602, 18585, 1810, 18291, 1790, 5.157s, 5
35, 0, 1076577, 9872, 1076577, 1076577, 18449, 0, 20811, 1976, 6.030s, 5
36, 0, 1082076, 10096, 1082076, 1082076, 18527, 0, 20305, 1973, 6.037s, 5
37, 0, 1087716, 8618, 1087715, 1087716, 18403, 1599, 18503, 1674, 5.214s, 5
38, 0, 1076773, 9000, 1076773, 1076773, 18397, 0, 21336, 2018, 6.281s, 5
39, 0, 1081893, 9006, 1081893, 1081893, 18354, 0, 20861, 2021, 6.003s, 5
40, 0, 1092215, 9700, 1092214, 1092215, 18632, 1522, 18149, 1567, 5.162s, 5
41, 0, 1088847, 9678, 1088847, 1088847, 18486, 1514, 17786, 1545, 5.031s, 5
42, 0, 1081682, 6294, 1081682, 1081682, 18617, 1705, 18956, 1892, 5.494s, 5
43, 0, 1087395, 9387, 1087394, 1087395, 18474, 1599, 19438, 1652, 5.603s, 5
44, 0, 1078528, 9342, 1078528, 1078528, 18186, 0, 20702, 2013, 6.106s, 5
45, 0, 1093030, 10440, 1093029, 1093030, 18606, 1598, 16989, 1597, 4.888s, 5
46, 0, 1075359, 9987, 1075359, 1075359, 18493, 0, 21028, 1964, 6.188s, 5
47, 0, 1080480, 9722, 1080480, 1080480, 18436, 0, 20469, 1995, 6.072s, 5
