access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2300993705e+02,3.1186318517e+02,1.6211200425e+08,1.6790628320e+08
write,1,3.2300995016e+02,3.0937573409e+02,1.6211199767e+08,1.6925628780e+08
write,2,3.2300994015e+02,3.1627570701e+02,1.6211200270e+08,1.6556373799e+08
write,3,3.2300993896e+02,3.1216972804e+02,1.6211200329e+08,1.6774140342e+08
write,4,3.2300993991e+02,3.1213298106e+02,1.6211200282e+08,1.6776115138e+08
write,5,3.2300993896e+02,3.2299264693e+02,1.6211200329e+08,1.6212068227e+08
write,6,3.2300993705e+02,3.1558560681e+02,1.6211200425e+08,1.6592578102e+08
write,7,3.2300994015e+02,3.0003191185e+02,1.6211200270e+08,1.7452739599e+08
write,8,3.2300994301e+02,3.1305873704e+02,1.6211200126e+08,1.6726505953e+08
write,9,3.2300994110e+02,3.1775790310e+02,1.6211200222e+08,1.6479145846e+08
write,10,3.2300993896e+02,3.1793763304e+02,1.6211200329e+08,1.6469830195e+08
write,11,3.2300993896e+02,3.1205704689e+02,1.6211200329e+08,1.6780197342e+08
write,12,3.2300995207e+02,3.1245565486e+02,1.6211199671e+08,1.6758790399e+08
write,13,3.2300995898e+02,3.1729362702e+02,1.6211199324e+08,1.6503258757e+08
write,14,3.2300995708e+02,3.1595779514e+02,1.6211199420e+08,1.6573032567e+08
write,15,3.2300995708e+02,3.1361501098e+02,1.6211199420e+08,1.6696837350e+08
write,16,3.2300996590e+02,3.1688290215e+02,1.6211198977e+08,1.6524649305e+08
write,17,3.2300999713e+02,3.0840653419e+02,1.6211197410e+08,1.6978819345e+08
write,18,3.2300995708e+02,3.1249697113e+02,1.6211199420e+08,1.6756574663e+08
write,19,3.2300995612e+02,3.1357048202e+02,1.6211199468e+08,1.6699208405e+08
write,20,3.2300995302e+02,3.1628206587e+02,1.6211199623e+08,1.6556040933e+08
write,21,3.2300994992e+02,3.2164329886e+02,1.6211199779e+08,1.6280080596e+08
write,22,3.2300996399e+02,3.1070151687e+02,1.6211199073e+08,1.6853406065e+08
write,23,3.2300995898e+02,3.1383841395e+02,1.6211199324e+08,1.6684951861e+08
write,24,3.2300983286e+02,3.1621945405e+02,1.6211205654e+08,1.6559319048e+08
write,25,3.2300984907e+02,3.1118006802e+02,1.6211204841e+08,1.6827487899e+08
write,26,3.2300984788e+02,3.1246033597e+02,1.6211204900e+08,1.6758539328e+08
write,27,3.2300985003e+02,3.1853788400e+02,1.6211204793e+08,1.6438794542e+08
write,28,3.2300985503e+02,3.1717009616e+02,1.6211204541e+08,1.6509686418e+08
