access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.3413699698e+02,2.3412906790e+02,1.1583101257e+07,1.1583493534e+07
read,1,2.3413699102e+02,2.3412904692e+02,1.1583101552e+07,1.1583494572e+07
read,2,2.3413698006e+02,2.3412905192e+02,1.1583102094e+07,1.1583494324e+07
read,3,2.3413698006e+02,2.3412906289e+02,1.1583102094e+07,1.1583493781e+07
read,4,2.3413699389e+02,2.3412905288e+02,1.1583101410e+07,1.1583494277e+07
read,5,2.3413699007e+02,2.3412905693e+02,1.1583101599e+07,1.1583494076e+07
read,6,2.3413698196e+02,2.3412905192e+02,1.1583102000e+07,1.1583494324e+07
read,7,2.3413698101e+02,2.3412905097e+02,1.1583102047e+07,1.1583494371e+07
read,8,2.3413699102e+02,2.3412899995e+02,1.1583101552e+07,1.1583496895e+07
read,9,2.3413699102e+02,2.3412906289e+02,1.1583101552e+07,1.1583493781e+07
read,10,2.3413698101e+02,2.3412906384e+02,1.1583102047e+07,1.1583493734e+07
read,11,2.3413698506e+02,2.3412905383e+02,1.1583101846e+07,1.1583494229e+07
read,12,2.3413701582e+02,2.3412910700e+02,1.1583100325e+07,1.1583491599e+07
read,13,2.3413701487e+02,2.3412909007e+02,1.1583100372e+07,1.1583492437e+07
read,14,2.3413702202e+02,2.3412909007e+02,1.1583100018e+07,1.1583492437e+07
read,15,2.3413702607e+02,2.3412909412e+02,1.1583099818e+07,1.1583492236e+07
read,16,2.3413701820e+02,2.3412909603e+02,1.1583100207e+07,1.1583492142e+07
read,17,2.3413701582e+02,2.3412908721e+02,1.1583100325e+07,1.1583492578e+07
read,18,2.3413701987e+02,2.3412909412e+02,1.1583100124e+07,1.1583492236e+07
read,19,2.3413702011e+02,2.3412909198e+02,1.1583100113e+07,1.1583492342e+07
read,20,2.3413702011e+02,2.3412910414e+02,1.1583100113e+07,1.1583491741e+07
read,21,2.3413701391e+02,2.3412909317e+02,1.1583100419e+07,1.1583492283e+07
read,22,2.3413702202e+02,2.3412909007e+02,1.1583100018e+07,1.1583492437e+07
read,23,2.3413701892e+02,2.3412909412e+02,1.1583100172e+07,1.1583492236e+07
read,24,2.3413697505e+02,2.3412906003e+02,1.1583102342e+07,1.1583493923e+07
read,25,2.3413697195e+02,2.3412904596e+02,1.1583102495e+07,1.1583494619e+07
read,26,2.3413697290e+02,2.3412904501e+02,1.1583102448e+07,1.1583494666e+07
read,27,2.3413697195e+02,2.3412903881e+02,1.1583102495e+07,1.1583494973e+07
read,28,2.3413697290e+02,2.3412905383e+02,1.1583102448e+07,1.1583494229e+07
read,29,2.3413697696e+02,2.3412904000e+02,1.1583102247e+07,1.1583494914e+07
read,30,2.3413696909e+02,2.3412905598e+02,1.1583102637e+07,1.1583494123e+07
read,31,2.3413696504e+02,2.3412904096e+02,1.1583102837e+07,1.1583494866e+07
read,32,2.3413697100e+02,2.3412903905e+02,1.1583102542e+07,1.1583494961e+07
read,33,2.3413696599e+02,2.3412904191e+02,1.1583102790e+07,1.1583494819e+07
read,34,2.3413696790e+02,2.3412904191e+02,1.1583102696e+07,1.1583494819e+07
read,35,2.3413696909e+02,2.3412905693e+02,1.1583102637e+07,1.1583494076e+07
read,36,2.3413700795e+02,2.3412910891e+02,1.1583100714e+07,1.1583491505e+07
read,37,2.3413700604e+02,2.3412909079e+02,1.1583100808e+07,1.1583492401e+07
read,38,2.3413700604e+02,2.3412909198e+02,1.1583100808e+07,1.1583492342e+07
read,39,2.3413700414e+02,2.3412909698e+02,1.1583100903e+07,1.1583492094e+07
read,40,2.3413700604e+02,2.3412910700e+02,1.1583100808e+07,1.1583491599e+07
read,41,2.3413700390e+02,2.3412908792e+02,1.1583100915e+07,1.1583492543e+07
read,42,2.3413700581e+02,2.3412909698e+02,1.1583100820e+07,1.1583492094e+07
read,43,2.3413699603e+02,2.3412909508e+02,1.1583101304e+07,1.1583492189e+07
read,44,2.3413700891e+02,2.3412909389e+02,1.1583100667e+07,1.1583492248e+07
read,45,2.3413700700e+02,2.3412910199e+02,1.1583100761e+07,1.1583491847e+07
read,46,2.3413700700e+02,2.3412909603e+02,1.1583100761e+07,1.1583492142e+07
read,47,2.3413700104e+02,2.3412909603e+02,1.1583101056e+07,1.1583492142e+07
read,48,2.3413702703e+02,2.3412912703e+02,1.1583099770e+07,1.1583490608e+07
read,49,2.3413702917e+02,2.3412911510e+02,1.1583099664e+07,1.1583491198e+07
read,50,2.3413703513e+02,2.3412910891e+02,1.1583099369e+07,1.1583491505e+07
read,51,2.3413703299e+02,2.3412911487e+02,1.1583099476e+07,1.1583491210e+07
read,52,2.3413702512e+02,2.3412911701e+02,1.1583099865e+07,1.1583491104e+07
read,53,2.3413702989e+02,2.3412911701e+02,1.1583099629e+07,1.1583491104e+07
read,54,2.3413703394e+02,2.3412912297e+02,1.1583099428e+07,1.1583490809e+07
read,55,2.3413703108e+02,2.3412911701e+02,1.1583099570e+07,1.1583491104e+07
read,56,2.3413702321e+02,2.3412911296e+02,1.1583099959e+07,1.1583491304e+07
read,57,2.3413702703e+02,2.3412912011e+02,1.1583099770e+07,1.1583490950e+07
read,58,2.3413703299e+02,2.3412912297e+02,1.1583099476e+07,1.1583490809e+07
read,59,2.3413703394e+02,2.3412912297e+02,1.1583099428e+07,1.1583490809e+07
read,60,2.3413701701e+02,2.3412911391e+02,1.1583100266e+07,1.1583491257e+07
read,61,2.3413701606e+02,2.3412909603e+02,1.1583100313e+07,1.1583492142e+07
read,62,2.3413701010e+02,2.3412910199e+02,1.1583100608e+07,1.1583491847e+07
read,63,2.3413701105e+02,2.3412909913e+02,1.1583100561e+07,1.1583491988e+07
read,64,2.3413701797e+02,2.3412911010e+02,1.1583100219e+07,1.1583491446e+07
read,65,2.3413701391e+02,2.3412910199e+02,1.1583100419e+07,1.1583491847e+07
read,66,2.3413701200e+02,2.3412910104e+02,1.1583100514e+07,1.1583491894e+07
read,67,2.3413701296e+02,2.3412911105e+02,1.1583100466e+07,1.1583491398e+07
read,68,2.3413701701e+02,2.3412911010e+02,1.1583100266e+07,1.1583491446e+07
read,69,2.3413701797e+02,2.3412910914e+02,1.1583100219e+07,1.1583491493e+07
read,70,2.3413701010e+02,2.3412910104e+02,1.1583100608e+07,1.1583491894e+07
read,71,2.3413701105e+02,2.3412910509e+02,1.1583100561e+07,1.1583491693e+07
read,72,2.3413699603e+02,2.3412908792e+02,1.1583101304e+07,1.1583492543e+07
read,73,2.3413699508e+02,2.3412908101e+02,1.1583101351e+07,1.1583492885e+07
read,74,2.3413699222e+02,2.3412908196e+02,1.1583101493e+07,1.1583492838e+07
read,75,2.3413699102e+02,2.3412906981e+02,1.1583101552e+07,1.1583493439e+07
read,76,2.3413699102e+02,2.3412908483e+02,1.1583101552e+07,1.1583492696e+07
read,77,2.3413698721e+02,2.3412907100e+02,1.1583101740e+07,1.1583493380e+07
read,78,2.3413699222e+02,2.3412907195e+02,1.1583101493e+07,1.1583493333e+07
read,79,2.3413698983e+02,2.3412906790e+02,1.1583101611e+07,1.1583493534e+07
read,80,2.3413698816e+02,2.3412907386e+02,1.1583101693e+07,1.1583493239e+07
read,81,2.3413698816e+02,2.3412908196e+02,1.1583101693e+07,1.1583492838e+07
read,82,2.3413699102e+02,2.3412907195e+02,1.1583101552e+07,1.1583493333e+07
read,83,2.3413698483e+02,2.3412906981e+02,1.1583101858e+07,1.1583493439e+07
read,84,2.3413698483e+02,2.3412908912e+02,1.1583101858e+07,1.1583492484e+07
read,85,2.3413699007e+02,2.3412907100e+02,1.1583101599e+07,1.1583493380e+07
read,86,2.3413698602e+02,2.3412908602e+02,1.1583101799e+07,1.1583492637e+07
read,87,2.3413699102e+02,2.3412908602e+02,1.1583101552e+07,1.1583492637e+07
read,88,2.3413699102e+02,2.3412907100e+02,1.1583101552e+07,1.1583493380e+07
read,89,2.3413699102e+02,2.3412908697e+02,1.1583101552e+07,1.1583492590e+07
read,90,2.3413699198e+02,2.3412907505e+02,1.1583101504e+07,1.1583493180e+07
read,91,2.3413699198e+02,2.3412907505e+02,1.1583101504e+07,1.1583493180e+07
read,92,2.3413699317e+02,2.3412907195e+02,1.1583101445e+07,1.1583493333e+07
read,93,2.3413699293e+02,2.3412907505e+02,1.1583101457e+07,1.1583493180e+07
read,94,2.3413699293e+02,2.3412908483e+02,1.1583101457e+07,1.1583492696e+07
read,95,2.3413699293e+02,2.3412907290e+02,1.1583101457e+07,1.1583493286e+07
