access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.3386193705e+02,3.1083607697e+02,8.1232157460e+06,8.7249606622e+06
write,1,3.3386193800e+02,3.1528823018e+02,8.1232157228e+06,8.6017563753e+06
write,2,3.3386194897e+02,3.1527099204e+02,8.1232154559e+06,8.6022266953e+06
write,3,3.3386194682e+02,3.0911671090e+02,8.1232155082e+06,8.7734905567e+06
write,4,3.3386194181e+02,3.0951053095e+02,8.1232156300e+06,8.7623271999e+06
write,5,3.3386194992e+02,3.1364614487e+02,8.1232154327e+06,8.6467906218e+06
write,6,3.3386194992e+02,3.1520080805e+02,8.1232154327e+06,8.6041421048e+06
write,7,3.3386194897e+02,3.1088181901e+02,8.1232154559e+06,8.7236769028e+06
write,8,3.3386193991e+02,3.1358582187e+02,8.1232156764e+06,8.6484539634e+06
write,9,3.3386193991e+02,3.1317090702e+02,8.1232156764e+06,8.6599121540e+06
write,10,3.3386194801e+02,3.1457389212e+02,8.1232154791e+06,8.6212893440e+06
write,11,3.3386195493e+02,3.2627583814e+02,8.1232153109e+06,8.3120851347e+06
write,12,3.3386191797e+02,3.0839808798e+02,8.1232162101e+06,8.7939343651e+06
write,13,3.3386194110e+02,3.2132132506e+02,8.1232156474e+06,8.4402507162e+06
write,14,3.3386199999e+02,3.2063967705e+02,8.1232142145e+06,8.4581938485e+06
write,15,3.3386193204e+02,3.2046674299e+02,8.1232158678e+06,8.4627581592e+06
write,16,3.3386193705e+02,3.2374569392e+02,8.1232157460e+06,8.3770459188e+06
write,17,3.3386194491e+02,3.0015798593e+02,8.1232155546e+06,9.0353502861e+06
write,18,3.3386199808e+02,3.0016604495e+02,8.1232142609e+06,9.0351077000e+06
write,19,3.3386198616e+02,3.0045496607e+02,8.1232145510e+06,9.0264194315e+06
write,20,3.3386192417e+02,3.0000706697e+02,8.1232160592e+06,9.0398955312e+06
write,21,3.3386193299e+02,3.0015108585e+02,8.1232158446e+06,9.0355579967e+06
write,22,3.3386192584e+02,3.0006988001e+02,8.1232160186e+06,9.0380032275e+06
write,23,3.3386192989e+02,3.3385304213e+02,8.1232159200e+06,8.1234321746e+06
write,24,3.3386187816e+02,3.0028381395e+02,8.1232171788e+06,9.0315642002e+06
write,25,3.3386189222e+02,3.2510145688e+02,8.1232168366e+06,8.3421113213e+06
write,26,3.3386190605e+02,3.0062249088e+02,8.1232165001e+06,9.0213893712e+06
write,27,3.3386189103e+02,3.2529787397e+02,8.1232168656e+06,8.3370742971e+06
write,28,3.3386188197e+02,3.0433861899e+02,8.1232170860e+06,8.9112336547e+06
write,29,3.3386190200e+02,3.0434113193e+02,8.1232165987e+06,8.9111600750e+06
write,30,3.3386189795e+02,3.0244052315e+02,8.1232166974e+06,8.9671599420e+06
write,31,3.3386189198e+02,3.1356486106e+02,8.1232168424e+06,8.6490320849e+06
write,32,3.3386189508e+02,3.2024607396e+02,8.1232167670e+06,8.4685895145e+06
write,33,3.3386189914e+02,3.1404501581e+02,8.1232166683e+06,8.6358082678e+06
write,34,3.3386188102e+02,3.1935335398e+02,8.1232171092e+06,8.4922625995e+06
write,35,3.3386189318e+02,3.1199927187e+02,8.1232168134e+06,8.6924322860e+06
write,36,3.3386193490e+02,3.1005388093e+02,8.1232157982e+06,8.7469717711e+06
write,37,3.3386194491e+02,3.1002144313e+02,8.1232155546e+06,8.7478869740e+06
