runtime: 113.167983 rate: 775564.385428
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 907169, 6703, 907164, 907169, 26093, 1864, 25824, 1880, 9.367s, 5
1, 0, 919460, 7192, 919459, 919460, 26132, 1858, 25610, 1885, 9.322s, 5
2, 0, 909802, 7651, 909802, 909802, 26172, 0, 27231, 1952, 10.241s, 5
3, 0, 917648, 7523, 917647, 917648, 25885, 1860, 25307, 1853, 9.330s, 5
4, 0, 910798, 7644, 910798, 910798, 26078, 0, 26812, 1947, 9.987s, 5
5, 0, 909457, 7183, 909457, 909457, 26065, 0, 27923, 1974, 10.287s, 5
6, 0, 912097, 6846, 912096, 912097, 26404, 1756, 26498, 1779, 9.802s, 5
7, 0, 914263, 7929, 914263, 914263, 26151, 0, 26527, 1941, 9.730s, 5
8, 0, 927861, 7881, 927859, 927861, 26185, 3661, 22877, 1667, 8.438s, 5
9, 0, 926947, 7544, 926947, 926947, 25773, 3683, 23427, 1724, 8.441s, 5
10, 0, 908373, 7011, 908373, 908373, 26045, 0, 27390, 1994, 10.084s, 5
11, 0, 914877, 7268, 914877, 914877, 26056, 1840, 25390, 1858, 9.509s, 5
12, 0, 917303, 7896, 917303, 917303, 26256, 1777, 24869, 1746, 9.524s, 5
13, 0, 912890, 7169, 912890, 912890, 26081, 1799, 26817, 1798, 9.812s, 5
14, 0, 928569, 7235, 928567, 928569, 26183, 5197, 23039, 1271, 8.137s, 5
15, 0, 904570, 6890, 904570, 904570, 26170, 0, 28122, 1981, 10.468s, 5
16, 0, 906872, 6950, 906872, 906872, 25883, 0, 27331, 1997, 10.061s, 5
17, 0, 909486, 7735, 909486, 909486, 25952, 0, 28236, 1925, 10.210s, 5
18, 0, 910898, 7159, 910898, 910898, 26101, 0, 28340, 1980, 10.163s, 5
19, 0, 915694, 6854, 915694, 915694, 25903, 1610, 26256, 1653, 9.175s, 5
20, 0, 919325, 7225, 919324, 919325, 26042, 1613, 26925, 1646, 9.593s, 5
21, 0, 922216, 7613, 922215, 922216, 26057, 1757, 25221, 1752, 8.952s, 5
22, 0, 913789, 7623, 913789, 913789, 26266, 1861, 27335, 1836, 9.980s, 5
23, 0, 909757, 7000, 909757, 909757, 25726, 1614, 26775, 1615, 9.907s, 5
24, 0, 912875, 7562, 912874, 912875, 26168, 1760, 26044, 1734, 9.691s, 5
25, 0, 915933, 7567, 915933, 915933, 26083, 1860, 26040, 1855, 9.524s, 5
26, 0, 906658, 7487, 906658, 906658, 25772, 0, 27971, 1937, 10.502s, 5
27, 0, 931282, 2042, 931278, 931282, 25725, 6573, 20993, 1081, 7.038s, 5
28, 0, 916048, 7004, 916047, 916048, 26101, 1617, 25634, 1665, 9.482s, 5
29, 0, 905715, 6644, 905715, 905715, 26161, 0, 28458, 2019, 10.327s, 5
30, 0, 916050, 7890, 916050, 916050, 26250, 1842, 25398, 1807, 9.262s, 5
31, 0, 912538, 7186, 912537, 912538, 25840, 1757, 26599, 1754, 9.762s, 5
32, 0, 923011, 7229, 923010, 923011, 26028, 3446, 24635, 1486, 8.941s, 5
33, 0, 911938, 6534, 911937, 911938, 26253, 1802, 27238, 1857, 9.943s, 5
34, 0, 923887, 8277, 923887, 923887, 26069, 3583, 24044, 1562, 8.572s, 5
