access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.0446595693e+02,3.0446128392e+02,2.3774581854e+09,2.3774946757e+09
read,1,3.0446596289e+02,3.0446128511e+02,2.3774581389e+09,2.3774946664e+09
read,2,3.0446594596e+02,3.0446127915e+02,2.3774582710e+09,2.3774947129e+09
read,3,3.0446594405e+02,3.0446127105e+02,2.3774582859e+09,2.3774947762e+09
read,4,3.0446596289e+02,3.0446130300e+02,2.3774581389e+09,2.3774945267e+09
read,5,3.0446595693e+02,3.0446127391e+02,2.3774581854e+09,2.3774947539e+09
read,6,3.0446594310e+02,3.0446128607e+02,2.3774582934e+09,2.3774946589e+09
read,7,3.0446595812e+02,3.0446129298e+02,2.3774581761e+09,2.3774946049e+09
read,8,3.0446595788e+02,3.0446129298e+02,2.3774581780e+09,2.3774946049e+09
read,9,3.0446596289e+02,3.0446129608e+02,2.3774581389e+09,2.3774945807e+09
read,10,3.0446596098e+02,3.0446128821e+02,2.3774581538e+09,2.3774946422e+09
read,11,3.0446594405e+02,3.0446128702e+02,2.3774582859e+09,2.3774946515e+09
read,12,3.0446595716e+02,3.0446126294e+02,2.3774581835e+09,2.3774948395e+09
read,13,3.0446595120e+02,3.0446127892e+02,2.3774582301e+09,2.3774947148e+09
read,14,3.0446595716e+02,3.0446127200e+02,2.3774581835e+09,2.3774947688e+09
read,15,3.0446593785e+02,3.0446127415e+02,2.3774583343e+09,2.3774947520e+09
read,16,3.0446595716e+02,3.0446126103e+02,2.3774581835e+09,2.3774948544e+09
read,17,3.0446594906e+02,3.0446126795e+02,2.3774582468e+09,2.3774948004e+09
read,18,3.0446593785e+02,3.0446127200e+02,2.3774583343e+09,2.3774947688e+09
read,19,3.0446595287e+02,3.0446125817e+02,2.3774582171e+09,2.3774948767e+09
read,20,3.0446595001e+02,3.0446126604e+02,2.3774582394e+09,2.3774948153e+09
read,21,3.0446595001e+02,3.0446126294e+02,2.3774582394e+09,2.3774948395e+09
read,22,3.0446594095e+02,3.0446126103e+02,2.3774583101e+09,2.3774948544e+09
read,23,3.0446593499e+02,3.0446125197e+02,2.3774583567e+09,2.3774949251e+09
read,24,3.0446595883e+02,3.0446127391e+02,2.3774581705e+09,2.3774947539e+09
read,25,3.0446594191e+02,3.0446126604e+02,2.3774583027e+09,2.3774948153e+09
read,26,3.0446595502e+02,3.0446125698e+02,2.3774582003e+09,2.3774948860e+09
read,27,3.0446594691e+02,3.0446128106e+02,2.3774582636e+09,2.3774946980e+09
read,28,3.0446594214e+02,3.0446126795e+02,2.3774583008e+09,2.3774948004e+09
read,29,3.0446594501e+02,3.0446127796e+02,2.3774582785e+09,2.3774947222e+09
read,30,3.0446595597e+02,3.0446126413e+02,2.3774581929e+09,2.3774948302e+09
read,31,3.0446595001e+02,3.0446126199e+02,2.3774582394e+09,2.3774948470e+09
read,32,3.0446594405e+02,3.0446127009e+02,2.3774582859e+09,2.3774947837e+09
read,33,3.0446595788e+02,3.0446127200e+02,2.3774581780e+09,2.3774947688e+09
read,34,3.0446594691e+02,3.0446127009e+02,2.3774582636e+09,2.3774947837e+09
read,35,3.0446594787e+02,3.0446126914e+02,2.3774582562e+09,2.3774947911e+09
read,36,3.0446594095e+02,3.0446126699e+02,2.3774583101e+09,2.3774948079e+09
read,37,3.0446594596e+02,3.0446126509e+02,2.3774582710e+09,2.3774948227e+09
read,38,3.0446592999e+02,3.0446126986e+02,2.3774583958e+09,2.3774947855e+09
read,39,3.0446594191e+02,3.0446125507e+02,2.3774583027e+09,2.3774949009e+09
read,40,3.0446594691e+02,3.0446132493e+02,2.3774582636e+09,2.3774943554e+09
read,41,3.0446593904e+02,3.0446132517e+02,2.3774583250e+09,2.3774943536e+09
read,42,3.0446592808e+02,3.0446126509e+02,2.3774584107e+09,2.3774948227e+09
read,43,3.0446593094e+02,3.0446126795e+02,2.3774583883e+09,2.3774948004e+09
read,44,3.0446594000e+02,3.0446127796e+02,2.3774583176e+09,2.3774947222e+09
read,45,3.0446593904e+02,3.0446127486e+02,2.3774583250e+09,2.3774947464e+09
read,46,3.0446594191e+02,3.0446126795e+02,2.3774583027e+09,2.3774948004e+09
read,47,3.0446592903e+02,3.0446126819e+02,2.3774584032e+09,2.3774947985e+09
read,48,3.0446595097e+02,3.0446124697e+02,2.3774582319e+09,2.3774949642e+09
read,49,3.0446593499e+02,3.0446123409e+02,2.3774583567e+09,2.3774950648e+09
read,50,3.0446594906e+02,3.0446124506e+02,2.3774582468e+09,2.3774949791e+09
read,51,3.0446594191e+02,3.0446123695e+02,2.3774583027e+09,2.3774950424e+09
read,52,3.0446593308e+02,3.0446122098e+02,2.3774583716e+09,2.3774951672e+09
read,53,3.0446593213e+02,3.0446125388e+02,2.3774583790e+09,2.3774949103e+09
read,54,3.0446593904e+02,3.0446124601e+02,2.3774583250e+09,2.3774949717e+09
read,55,3.0446594810e+02,3.0446125507e+02,2.3774582543e+09,2.3774949009e+09
read,56,3.0446593499e+02,3.0446122003e+02,2.3774583567e+09,2.3774951746e+09
read,57,3.0446595001e+02,3.0446124482e+02,2.3774582394e+09,2.3774949810e+09
read,58,3.0446594214e+02,3.0446124601e+02,2.3774583008e+09,2.3774949717e+09
read,59,3.0446593881e+02,3.0446124506e+02,2.3774583269e+09,2.3774949791e+09
read,60,3.0446588492e+02,3.0446121407e+02,2.3774587476e+09,2.3774952212e+09
read,61,3.0446587491e+02,3.0446120095e+02,2.3774588258e+09,2.3774953236e+09
read,62,3.0446588087e+02,3.0446121716e+02,2.3774587793e+09,2.3774951970e+09
read,63,3.0446586490e+02,3.0446121097e+02,2.3774589040e+09,2.3774952454e+09
read,64,3.0446587682e+02,3.0446121001e+02,2.3774588109e+09,2.3774952528e+09
read,65,3.0446588302e+02,3.0446120811e+02,2.3774587625e+09,2.3774952677e+09
read,66,3.0446588206e+02,3.0446121502e+02,2.3774587700e+09,2.3774952137e+09
read,67,3.0446586394e+02,3.0446121502e+02,2.3774589115e+09,2.3774952137e+09
read,68,3.0446587801e+02,3.0446122813e+02,2.3774588016e+09,2.3774951113e+09
read,69,3.0446587586e+02,3.0446120787e+02,2.3774588184e+09,2.3774952696e+09
read,70,3.0446586704e+02,3.0446120310e+02,2.3774588873e+09,2.3774953068e+09
read,71,3.0446586394e+02,3.0446121502e+02,2.3774589115e+09,2.3774952137e+09
read,72,3.0446597505e+02,3.0446130085e+02,2.3774580439e+09,2.3774945435e+09
read,73,3.0446598101e+02,3.0446129394e+02,2.3774579974e+09,2.3774945975e+09
read,74,3.0446597004e+02,3.0446129513e+02,2.3774580830e+09,2.3774945882e+09
read,75,3.0446597815e+02,3.0446131206e+02,2.3774580197e+09,2.3774944560e+09
read,76,3.0446597505e+02,3.0446128297e+02,2.3774580439e+09,2.3774946831e+09
read,77,3.0446597409e+02,3.0446129608e+02,2.3774580514e+09,2.3774945807e+09
read,78,3.0446596622e+02,3.0446129704e+02,2.3774581128e+09,2.3774945733e+09
read,79,3.0446596193e+02,3.0446129203e+02,2.3774581463e+09,2.3774946124e+09
read,80,3.0446598101e+02,3.0446129394e+02,2.3774579974e+09,2.3774945975e+09
read,81,3.0446597505e+02,3.0446130013e+02,2.3774580439e+09,2.3774945491e+09
read,82,3.0446597910e+02,3.0446128821e+02,2.3774580123e+09,2.3774946422e+09
read,83,3.0446596289e+02,3.0446129394e+02,2.3774581389e+09,2.3774945975e+09
read,84,3.0446595407e+02,3.0446129203e+02,2.3774582077e+09,2.3774946124e+09
read,85,3.0446596122e+02,3.0446133924e+02,2.3774581519e+09,2.3774942437e+09
read,86,3.0446594906e+02,3.0446129990e+02,2.3774582468e+09,2.3774945509e+09
read,87,3.0446595502e+02,3.0446130514e+02,2.3774582003e+09,2.3774945100e+09
read,88,3.0446595287e+02,3.0446128201e+02,2.3774582171e+09,2.3774946906e+09
read,89,3.0446595788e+02,3.0446129298e+02,2.3774581780e+09,2.3774946049e+09
read,90,3.0446594906e+02,3.0446128201e+02,2.3774582468e+09,2.3774946906e+09
read,91,3.0446595597e+02,3.0446124911e+02,2.3774581929e+09,2.3774949475e+09
read,92,3.0446595407e+02,3.0446129489e+02,2.3774582077e+09,2.3774945900e+09
read,93,3.0446595097e+02,3.0446128607e+02,2.3774582319e+09,2.3774946589e+09
read,94,3.0446595716e+02,3.0446130109e+02,2.3774581835e+09,2.3774945416e+09
read,95,3.0446594596e+02,3.0446130204e+02,2.3774582710e+09,2.3774945342e+09
