access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.0182986188e+02,3.8902946997e+02,1.0313825626e+09,1.8606690170e+09
write,1,7.0182986307e+02,3.4906312990e+02,1.0313825609e+09,2.0737082191e+09
write,2,7.0182986403e+02,3.3998688221e+02,1.0313825595e+09,2.1290676769e+09
write,3,7.0182986903e+02,3.5809124899e+02,1.0313825521e+09,2.0214263362e+09
write,4,7.0182986522e+02,3.2205603695e+02,1.0313825577e+09,2.2476060015e+09
write,5,7.0182985282e+02,4.0222486901e+02,1.0313825759e+09,1.7996278630e+09
write,6,7.0182986784e+02,3.4401197600e+02,1.0313825539e+09,2.1041566340e+09
write,7,7.0182986093e+02,3.1124240899e+02,1.0313825640e+09,2.3256955369e+09
write,8,7.0182986403e+02,3.5328004003e+02,1.0313825595e+09,2.0489555012e+09
write,9,7.0182986617e+02,3.6821981788e+02,1.0313825563e+09,1.9658232565e+09
write,10,7.0182986116e+02,3.0000955319e+02,1.0313825637e+09,2.4127734393e+09
write,11,7.0182986903e+02,3.3676939988e+02,1.0313825521e+09,2.1494087103e+09
write,12,7.0182983398e+02,3.2089528418e+02,1.0313826036e+09,2.2557361144e+09
write,13,7.0182984996e+02,4.2711942291e+02,1.0313825801e+09,1.6947369814e+09
write,14,7.0182984900e+02,3.1261320019e+02,1.0313825815e+09,2.3154974935e+09
write,15,7.0182983804e+02,3.3690090394e+02,1.0313825977e+09,2.1485697219e+09
write,16,7.0182984591e+02,5.1403063893e+02,1.0313825861e+09,1.4081944278e+09
write,17,7.0182984304e+02,3.9508283901e+02,1.0313825903e+09,1.8321602712e+09
write,18,7.0182985306e+02,3.6387843394e+02,1.0313825756e+09,1.9892772254e+09
write,19,7.0182984304e+02,3.3577821398e+02,1.0313825903e+09,2.1557535639e+09
write,20,7.0182984495e+02,4.5398207998e+02,1.0313825875e+09,1.5944573881e+09
write,21,7.0182985020e+02,4.4888045406e+02,1.0313825798e+09,1.6125787499e+09
write,22,7.0182984400e+02,3.6381726813e+02,1.0313825889e+09,1.9896116674e+09
write,23,7.0182984400e+02,3.3978436399e+02,1.0313825889e+09,2.1303366435e+09
write,24,7.0182979012e+02,3.4205390191e+02,1.0313826681e+09,2.1162017958e+09
write,25,7.0182980609e+02,3.7314963984e+02,1.0313826446e+09,1.9398520169e+09
write,26,7.0182979393e+02,3.4390868115e+02,1.0313826625e+09,2.1047886289e+09
write,27,7.0182978797e+02,3.6647454309e+02,1.0313826712e+09,1.9751851666e+09
write,28,7.0182979894e+02,3.5980397105e+02,1.0313826551e+09,2.0118040369e+09
write,29,7.0182979608e+02,3.7876650000e+02,1.0313826593e+09,1.9110852768e+09
write,30,7.0182978797e+02,3.3444368505e+02,1.0313826712e+09,2.1643556563e+09
write,31,7.0182978606e+02,3.7297397804e+02,1.0313826740e+09,1.9407656407e+09
write,32,7.0182979488e+02,3.6953778720e+02,1.0313826611e+09,1.9588120797e+09
write,33,7.0182980108e+02,3.2327892089e+02,1.0313826520e+09,2.2391038657e+09
write,34,7.0182978702e+02,3.2451636219e+02,1.0313826726e+09,2.2305657459e+09
write,35,7.0182979202e+02,3.3363047004e+02,1.0313826653e+09,2.1696312132e+09
write,36,7.0182976913e+02,4.1912679005e+02,1.0313826989e+09,1.7270551505e+09
write,37,7.0182978201e+02,3.1823381400e+02,1.0313826800e+09,2.2746014082e+09
write,38,7.0182978797e+02,4.8288476110e+02,1.0313826712e+09,1.4990224165e+09
write,39,7.0182980204e+02,4.2923184800e+02,1.0313826506e+09,1.6863964891e+09
write,40,7.0182980299e+02,3.0400396109e+02,1.0313826492e+09,2.3810712166e+09
write,41,7.0182976389e+02,3.5691059709e+02,1.0313827066e+09,2.0281131672e+09
write,42,7.0182978392e+02,3.9823042798e+02,1.0313826772e+09,1.8176789884e+09
write,43,7.0182978201e+02,4.4048743200e+02,1.0313826800e+09,1.6433047322e+09
write,44,7.0182976508e+02,4.0780331492e+02,1.0313827049e+09,1.7750102929e+09
write,45,7.0182978511e+02,4.0381924486e+02,1.0313826754e+09,1.7925224978e+09
write,46,7.0182978201e+02,3.8219746304e+02,1.0313826800e+09,1.8939295822e+09
write,47,7.0182978201e+02,4.8797921205e+02,1.0313826800e+09,1.4833727823e+09
write,48,7.0182978511e+02,3.4320223498e+02,1.0313826754e+09,2.1091211178e+09
write,49,7.0182978892e+02,3.3758268714e+02,1.0313826698e+09,2.1442304628e+09
write,50,7.0182979608e+02,5.6217522597e+02,1.0313826593e+09,1.2875969058e+09
