access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.4993286014e+02,3.0802181005e+02,5.8305133825e+06,6.6238433689e+06
write,1,3.4993285704e+02,3.0996689200e+02,5.8305134341e+06,6.5822779033e+06
write,2,3.4993289590e+02,3.0852698898e+02,5.8305127866e+06,6.6129975557e+06
write,3,3.4993283701e+02,3.0973238921e+02,5.8305137678e+06,6.5872614394e+06
write,4,3.4993291998e+02,3.0811088204e+02,5.8305123854e+06,6.6219284774e+06
write,5,3.4993291306e+02,3.0896583104e+02,5.8305125006e+06,6.6036047324e+06
write,6,3.4993289900e+02,3.0723570085e+02,5.8305127350e+06,6.6407914783e+06
write,7,3.4993289018e+02,3.0685950899e+02,5.8305128820e+06,6.6489327012e+06
write,8,3.4993286395e+02,3.0502433205e+02,5.8305133189e+06,6.6889359623e+06
write,9,3.4993291211e+02,3.0318727016e+02,5.8305125165e+06,6.7294653331e+06
write,10,3.4993288708e+02,3.0796541500e+02,5.8305129336e+06,6.6250563363e+06
write,11,3.4993290210e+02,3.0922503901e+02,5.8305126833e+06,6.5980692591e+06
write,12,3.4993285704e+02,3.4486945891e+02,5.8305134341e+06,5.9161174504e+06
write,13,3.4993287015e+02,3.3800022602e+02,5.8305132157e+06,6.0363516558e+06
write,14,3.4993282008e+02,3.3409520102e+02,5.8305140499e+06,6.1069067074e+06
write,15,3.4993281198e+02,3.4209405804e+02,5.8305141849e+06,5.9641147692e+06
write,16,3.4993286419e+02,3.3933262205e+02,5.8305133150e+06,6.0126498056e+06
write,17,3.4993285894e+02,3.4366262412e+02,5.8305134024e+06,5.9368929898e+06
write,18,3.4993282700e+02,3.3937527800e+02,5.8305139347e+06,6.0118940780e+06
write,19,3.4993282104e+02,3.2885724497e+02,5.8305140340e+06,6.2041759919e+06
write,20,3.4993286514e+02,3.4303607798e+02,5.8305132991e+06,5.9477365647e+06
write,21,3.4993287516e+02,3.3925586009e+02,5.8305131322e+06,6.0140102619e+06
write,22,3.4993281603e+02,3.3965250182e+02,5.8305141174e+06,6.0069871797e+06
write,23,3.4993287802e+02,3.3917453003e+02,5.8305130846e+06,6.0154523508e+06
write,24,3.4993289113e+02,3.4199399590e+02,5.8305128661e+06,5.9658597766e+06
write,25,3.4993286800e+02,3.4799147105e+02,5.8305132514e+06,5.8630408896e+06
write,26,3.4993288803e+02,3.4465660501e+02,5.8305129177e+06,5.9197711414e+06
write,27,3.4993287611e+02,3.4018940997e+02,5.8305131163e+06,5.9975065778e+06
write,28,3.4993260598e+02,3.4975153613e+02,5.8305176172e+06,5.8335361342e+06
write,29,3.4993289185e+02,3.4689991093e+02,5.8305128542e+06,5.8814896163e+06
write,30,3.4993289685e+02,3.4489745998e+02,5.8305127707e+06,5.9156371407e+06
write,31,3.4993261695e+02,3.4664320517e+02,5.8305174344e+06,5.8858451387e+06
write,32,3.4993288493e+02,3.4548610091e+02,5.8305129694e+06,5.9055580488e+06
write,33,3.4993287110e+02,3.4345266795e+02,5.8305131998e+06,5.9405222739e+06
write,34,3.4993288112e+02,3.4072598314e+02,5.8305130329e+06,5.9880617415e+06
write,35,3.4993287706e+02,3.4532767105e+02,5.8305131005e+06,5.9082674081e+06
write,36,3.4993285894e+02,3.4078270102e+02,5.8305134024e+06,5.9870651237e+06
