runtime: 1058.381908 rate: 1547.147573
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 1, 324086, 330246, 27861, 6156, 297, 0, 0.025s, 4
1, 0, 0, 240, 14321, 13617, 27024, 638, 27525, 1343, 942.640s, 4
2, 0, 0, 269, 840, 1, 28938, 534, 27826, 1374, 973.738s, 4
3, 0, 0, 292, 28727, 27331, 25580, 562, 26611, 1962, 865.619s, 4
4, 0, 0, 260, 40318, 40851, 26848, 1278, 26705, 748, 855.855s, 4
5, 0, 0, 228, 27619, 27234, 27963, 311, 27685, 698, 904.959s, 4
6, 0, 0, 246, 27245, 27234, 28799, 825, 27177, 838, 899.433s, 4
7, 0, 0, 255, 14417, 13617, 28279, 325, 27489, 1126, 934.093s, 4
8, 0, 0, 249, 27228, 27234, 27364, 917, 26609, 913, 903.354s, 4
9, 0, 0, 247, 27612, 27234, 25404, 501, 27786, 881, 892.876s, 4
10, 0, 0, 228, 27085, 27234, 27235, 876, 27836, 729, 907.643s, 4
11, 0, 0, 255, 53860, 54468, 27210, 1211, 27185, 607, 809.901s, 4
12, 0, 0, 26, 13602, 13617, 26145, 295, 27111, 281, 1010.370s, 4
13, 0, 0, 28, 13492, 13617, 30339, 406, 27078, 282, 1011.619s, 4
14, 0, 0, 37, 122, 0, 27735, 4, 27125, 126, 1051.373s, 4
15, 0, 0, 22, 40279, 40851, 29681, 719, 27447, 150, 922.825s, 4
16, 0, 0, 28, 40265, 40851, 25598, 741, 27150, 158, 917.980s, 4
17, 0, 0, 23, 13605, 13617, 24889, 360, 27525, 349, 1008.304s, 4
18, 0, 0, 16, 26593, 27234, 26936, 752, 27493, 113, 967.663s, 4
19, 0, 0, 12, 144, 0, 23759, 10, 27509, 154, 1051.103s, 4
20, 0, 0, 36, 13514, 13617, 29353, 381, 27461, 279, 1009.998s, 4
21, 0, 0, 12, 27167, 27234, 28650, 433, 27130, 368, 960.587s, 4
22, 0, 0, 30, 282, 0, 25482, 74, 27148, 356, 1050.272s, 4
23, 0, 0, 23, 13668, 13617, 26831, 264, 27593, 316, 1011.884s, 4
24, 0, 0, 18, 472, 0, 29032, 1, 27092, 473, 1049.058s, 4
25, 0, 0, 16, 26720, 27234, 25658, 747, 27528, 235, 966.413s, 4
26, 0, 0, 34, 13718, 13617, 23619, 364, 27528, 466, 1009.014s, 4
27, 0, 0, 34, 314, 0, 25676, 31, 27524, 345, 1048.555s, 4
28, 0, 0, 30, 40355, 40851, 28005, 740, 27143, 247, 925.187s, 4
29, 0, 0, 8, 253, 0, 30287, 18, 27452, 271, 1047.745s, 4
30, 0, 0, 28, 423, 0, 29595, 70, 27123, 493, 1047.656s, 4
31, 0, 0, 19, 328, 0, 28137, 19, 27518, 347, 1042.570s, 4
32, 0, 0, 121, 13654, 13617, 26361, 405, 27523, 443, 991.183s, 4
33, 0, 0, 35, 13636, 13617, 25050, 392, 27555, 412, 1002.102s, 4
34, 0, 0, 19, 26840, 27234, 25257, 767, 27504, 375, 968.372s, 4
35, 0, 0, 139, 862, 0, 27301, 153, 27497, 1015, 1018.247s, 4
36, 0, 0, 6, 385, 0, 26445, 32, 27138, 417, 1047.326s, 4
37, 0, 0, 41, 53808, 54468, 27436, 721, 27172, 65, 879.254s, 4
38, 0, 0, 66, 14045, 13617, 26447, 12, 27607, 441, 1000.909s, 4
39, 0, 0, 16, 804, 0, 26918, 114, 27596, 918, 1020.154s, 4
40, 0, 0, 17, 13421, 13617, 28325, 368, 27519, 173, 1007.615s, 4
41, 0, 0, 71, 13561, 13617, 28435, 405, 27143, 350, 1004.266s, 4
42, 0, 0, 28, 26718, 27234, 26121, 747, 27271, 233, 958.514s, 4
43, 0, 0, 23, 977, 0, 26762, 101, 27225, 1078, 1026.000s, 4
44, 0, 0, 29, 13745, 13617, 25969, 403, 27164, 532, 1001.898s, 4
45, 0, 0, 19, 178, 0, 28269, 165, 27162, 343, 1051.172s, 4
46, 0, 0, 48, 14037, 13617, 29022, 18, 27478, 439, 999.392s, 4
47, 0, 0, 33, 265, 0, 26460, 72, 27237, 337, 1044.869s, 4
48, 0, 0, 5, 13363, 13617, 27693, 365, 27117, 112, 1010.852s, 4
49, 0, 0, 27, 352, 0, 26520, 13, 27176, 365, 1053.814s, 4
50, 0, 0, 18, 13438, 13617, 25285, 392, 27613, 214, 1005.038s, 4
51, 0, 0, 36, 26889, 27234, 25457, 706, 27530, 363, 968.368s, 4
52, 0, 0, 8, 275, 0, 28462, 108, 27495, 383, 1048.192s, 4
53, 0, 0, 49, 26749, 27234, 27242, 665, 27143, 182, 970.734s, 4
54, 0, 0, 10, 223, 0, 28056, 22, 27127, 245, 1053.170s, 4
55, 0, 0, 45, 413, 0, 27930, 15, 27502, 428, 1034.734s, 4
56, 0, 0, 15, 235, 0, 28009, 13, 27497, 248, 1051.980s, 4
57, 0, 0, 24, 26601, 27234, 24606, 750, 27206, 119, 970.700s, 4
58, 0, 0, 61, 347, 0, 25458, 134, 27177, 481, 1051.851s, 4
59, 0, 0, 49, 53809, 54468, 28705, 748, 27128, 93, 882.856s, 4
60, 0, 0, 11, 13492, 13617, 25151, 460, 27157, 336, 1010.142s, 4
61, 0, 0, 20, 383, 0, 24193, 10, 27634, 393, 1047.927s, 4
62, 0, 0, 51, 13490, 13617, 31686, 413, 27465, 287, 1008.949s, 4
63, 0, 0, 30, 26702, 27234, 25103, 735, 27636, 205, 967.319s, 4
64, 0, 0, 44, 474, 0, 25857, 22, 27185, 496, 1036.389s, 4
65, 0, 0, 37, 314, 0, 27278, 135, 27180, 449, 1045.501s, 4
66, 0, 0, 21, 238, 0, 27496, 27, 27511, 265, 1042.964s, 4
67, 0, 0, 33, 13678, 13617, 27789, 433, 27160, 495, 1007.619s, 4
68, 0, 0, 22, 26694, 27234, 28723, 732, 27153, 194, 968.310s, 4
69, 0, 0, 19, 226, 0, 30085, 42, 27572, 268, 1050.455s, 4
70, 0, 0, 74, 743, 0, 25885, 6, 27552, 749, 1041.984s, 4
71, 0, 0, 58, 13410, 13617, 23805, 402, 26759, 196, 1010.372s, 4
72, 0, 0, 3, 168, 0, 24830, 0, 27147, 168, 1050.134s, 4
73, 0, 0, 13, 255, 0, 27409, 56, 27532, 311, 1050.783s, 4
74, 0, 0, 25, 13593, 13617, 30114, 381, 27164, 358, 1006.145s, 4
75, 0, 0, 64, 26734, 27234, 26650, 750, 27167, 252, 968.945s, 4
76, 0, 0, 18, 190, 0, 28072, 12, 27531, 202, 1052.586s, 4
77, 0, 0, 38, 221, 0, 26140, 31, 27527, 252, 1051.939s, 4
78, 0, 0, 12, 13693, 13617, 25671, 373, 27553, 450, 1006.628s, 4
79, 0, 0, 47, 13610, 13617, 26846, 389, 27530, 383, 1006.603s, 4
80, 0, 0, 16, 13639, 13617, 28225, 376, 27166, 399, 996.835s, 4
81, 0, 0, 90, 485, 0, 25215, 6, 27200, 491, 1046.991s, 4
82, 0, 0, 22, 189, 0, 26956, 6, 27505, 195, 1054.221s, 4
83, 0, 0, 13, 129, 0, 23413, 17, 27602, 146, 1053.469s, 4
84, 0, 0, 210, 40343, 40851, 30674, 874, 26258, 369, 923.746s, 4
85, 0, 0, 69, 354, 0, 26893, 120, 27638, 474, 1052.225s, 4
86, 0, 0, 40, 13521, 13617, 26505, 405, 27610, 310, 1007.243s, 4
87, 0, 0, 233, 26945, 27234, 26773, 901, 26212, 614, 965.318s, 4
88, 0, 0, 52, 13605, 13617, 27880, 415, 27179, 404, 1008.646s, 4
89, 0, 0, 33, 507, 0, 23458, 25, 27681, 532, 1049.563s, 4
90, 0, 0, 62, 332, 0, 26627, 31, 27624, 363, 1041.594s, 4
91, 0, 0, 35, 26875, 27234, 30205, 594, 27162, 237, 967.082s, 4
92, 0, 0, 102, 26671, 27234, 26612, 772, 27210, 211, 969.124s, 4
93, 0, 0, 35, 278, 0, 28607, 80, 27599, 358, 1045.220s, 4
94, 0, 0, 69, 13449, 13617, 28086, 445, 27263, 278, 1004.053s, 4
95, 0, 0, 115, 13539, 13617, 23780, 456, 27670, 379, 1003.847s, 3
