access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.3733743529e+03,2.3733342931e+03,1.2037061530e+08,1.2037264705e+08
read,1,2.3733743439e+03,2.3733343120e+03,1.2037061576e+08,1.2037264610e+08
read,2,2.3733745589e+03,2.3733342800e+03,1.2037060485e+08,1.2037264772e+08
read,3,2.3733745501e+03,2.3733343530e+03,1.2037060530e+08,1.2037264402e+08
read,4,2.3733745060e+03,2.3733343489e+03,1.2037060754e+08,1.2037264422e+08
read,5,2.3733745000e+03,2.3733343179e+03,1.2037060784e+08,1.2037264579e+08
read,6,2.3733745611e+03,2.3733342991e+03,1.2037060474e+08,1.2037264675e+08
read,7,2.3733745739e+03,2.3733343329e+03,1.2037060409e+08,1.2037264503e+08
read,8,2.3733744969e+03,2.3733343589e+03,1.2037060800e+08,1.2037264371e+08
read,9,2.3733744919e+03,2.3733343189e+03,1.2037060825e+08,1.2037264574e+08
read,10,2.3733745530e+03,2.3733343389e+03,1.2037060516e+08,1.2037264473e+08
read,11,2.3733745451e+03,2.3733343561e+03,1.2037060555e+08,1.2037264386e+08
read,12,2.3733743012e+03,2.3733342540e+03,1.2037061792e+08,1.2037264903e+08
read,13,2.3733743289e+03,2.3733355711e+03,1.2037061652e+08,1.2037258224e+08
read,14,2.3733746190e+03,2.3733342631e+03,1.2037060181e+08,1.2037264857e+08
read,15,2.3733745599e+03,2.3733342581e+03,1.2037060480e+08,1.2037264883e+08
read,16,2.3733743501e+03,2.3733354709e+03,1.2037061545e+08,1.2037258731e+08
read,17,2.3733743420e+03,2.3733356791e+03,1.2037061586e+08,1.2037257676e+08
read,18,2.3733743329e+03,2.3733360469e+03,1.2037061632e+08,1.2037255810e+08
read,19,2.3733743229e+03,2.3733361650e+03,1.2037061682e+08,1.2037255211e+08
read,20,2.3733745861e+03,2.3733342381e+03,1.2037060347e+08,1.2037264984e+08
read,21,2.3733745339e+03,2.3733342829e+03,1.2037060612e+08,1.2037264757e+08
read,22,2.3733743749e+03,2.3733358290e+03,1.2037061419e+08,1.2037256915e+08
read,23,2.3733743160e+03,2.3733359439e+03,1.2037061717e+08,1.2037256332e+08
read,24,2.3733745730e+03,2.3733343291e+03,1.2037060414e+08,1.2037264522e+08
read,25,2.3733745511e+03,2.3733343470e+03,1.2037060525e+08,1.2037264432e+08
read,26,2.3733745420e+03,2.3733343730e+03,1.2037060571e+08,1.2037264300e+08
read,27,2.3733742990e+03,2.3733344030e+03,1.2037061803e+08,1.2037264148e+08
read,28,2.3733744688e+03,2.3733343649e+03,1.2037060942e+08,1.2037264341e+08
read,29,2.3733745871e+03,2.3733342900e+03,1.2037060343e+08,1.2037264721e+08
read,30,2.3733745439e+03,2.3733343801e+03,1.2037060561e+08,1.2037264264e+08
read,31,2.3733745289e+03,2.3733342881e+03,1.2037060638e+08,1.2037264730e+08
read,32,2.3733745618e+03,2.3733343842e+03,1.2037060471e+08,1.2037264243e+08
read,33,2.3733745549e+03,2.3733343620e+03,1.2037060506e+08,1.2037264356e+08
read,34,2.3733745258e+03,2.3733343589e+03,1.2037060653e+08,1.2037264371e+08
read,35,2.3733742719e+03,2.3733342922e+03,1.2037061941e+08,1.2037264710e+08
read,36,2.3733744841e+03,2.3733342979e+03,1.2037060865e+08,1.2037264681e+08
read,37,2.3733744662e+03,2.3733343301e+03,1.2037060956e+08,1.2037264518e+08
read,38,2.3733745282e+03,2.3733343279e+03,1.2037060641e+08,1.2037264529e+08
read,39,2.3733745141e+03,2.3733342838e+03,1.2037060713e+08,1.2037264752e+08
read,40,2.3733744662e+03,2.3733343670e+03,1.2037060956e+08,1.2037264330e+08
read,41,2.3733745320e+03,2.3733343990e+03,1.2037060622e+08,1.2037264168e+08
read,42,2.3733744869e+03,2.3733343041e+03,1.2037060850e+08,1.2037264649e+08
read,43,2.3733744829e+03,2.3733343999e+03,1.2037060871e+08,1.2037264163e+08
read,44,2.3733744750e+03,2.3733342860e+03,1.2037060911e+08,1.2037264741e+08
read,45,2.3733744721e+03,2.3733343310e+03,1.2037060925e+08,1.2037264513e+08
read,46,2.3733746099e+03,2.3733343980e+03,1.2037060227e+08,1.2037264173e+08
read,47,2.3733745000e+03,2.3733343871e+03,1.2037060784e+08,1.2037264229e+08
read,48,2.3733745189e+03,2.3733342230e+03,1.2037060688e+08,1.2037265061e+08
read,49,2.3733745100e+03,2.3733342950e+03,1.2037060733e+08,1.2037264695e+08
read,50,2.3733746109e+03,2.3733342950e+03,1.2037060222e+08,1.2037264695e+08
read,51,2.3733746040e+03,2.3733342168e+03,1.2037060257e+08,1.2037265092e+08
read,52,2.3733745229e+03,2.3733342071e+03,1.2037060668e+08,1.2037265142e+08
read,53,2.3733745191e+03,2.3733343039e+03,1.2037060687e+08,1.2037264651e+08
read,54,2.3733745971e+03,2.3733342452e+03,1.2037060292e+08,1.2037264948e+08
read,55,2.3733746240e+03,2.3733342848e+03,1.2037060155e+08,1.2037264747e+08
