access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.1413647890e+02,3.0268674684e+02,9.0942806833e+08,9.4382900535e+08
write,1,3.1413653803e+02,3.0417667818e+02,9.0942789716e+08,9.3920590135e+08
write,2,3.1413655901e+02,3.0407370901e+02,9.0942783642e+08,9.3952394677e+08
write,3,3.1413654590e+02,3.0558306098e+02,9.0942787438e+08,9.3488340055e+08
write,4,3.1413652897e+02,3.0374758983e+02,9.0942792339e+08,9.4053266847e+08
write,5,3.1413653708e+02,3.0484661508e+02,9.0942789992e+08,9.3714188405e+08
write,6,3.1413654304e+02,3.0468299580e+02,9.0942788266e+08,9.3764514312e+08
write,7,3.1413654995e+02,3.0560082793e+02,9.0942786265e+08,9.3482904851e+08
write,8,3.1413653779e+02,3.0613920593e+02,9.0942789785e+08,9.3318505328e+08
write,9,3.1413653398e+02,3.0476103592e+02,9.0942790889e+08,9.3740504044e+08
write,10,3.1413648582e+02,3.0818986797e+02,9.0942804832e+08,9.2697574089e+08
write,11,3.1413654804e+02,3.0656457305e+02,9.0942786817e+08,9.3189023232e+08
write,12,3.1413646817e+02,3.0322979307e+02,9.0942809939e+08,9.4213872689e+08
write,13,3.1413656378e+02,3.0449672198e+02,9.0942782261e+08,9.3821874121e+08
write,14,3.1413648987e+02,3.0320551705e+02,9.0942803658e+08,9.4221415882e+08
write,15,3.1413655114e+02,3.0437609005e+02,9.0942785920e+08,9.3859058099e+08
write,16,3.1413654804e+02,3.0404918408e+02,9.0942786817e+08,9.3959972976e+08
write,17,3.1413648295e+02,3.0470429206e+02,9.0942805660e+08,9.3757960963e+08
write,18,3.1413655090e+02,3.0428486085e+02,9.0942785989e+08,9.3887198463e+08
write,19,3.1413654017e+02,3.0490846181e+02,9.0942789095e+08,9.3695179696e+08
write,20,3.1413653588e+02,3.0596412086e+02,9.0942790337e+08,9.3371905958e+08
write,21,3.1413656497e+02,3.0552200198e+02,9.0942781916e+08,9.3507023830e+08
write,22,3.1413654304e+02,3.0702688003e+02,9.0942788266e+08,9.3048703480e+08
write,23,3.1413655591e+02,3.0602153301e+02,9.0942784539e+08,9.3354388624e+08
write,24,3.1413648105e+02,3.0398535705e+02,9.0942806212e+08,9.3979701515e+08
write,25,3.1413653803e+02,3.0594645095e+02,9.0942789716e+08,9.3377298646e+08
write,26,3.1413655400e+02,3.0287509298e+02,9.0942785091e+08,9.4324207509e+08
write,27,3.1413654590e+02,3.0441406798e+02,9.0942787438e+08,9.3847348479e+08
write,28,3.1413652897e+02,3.0500505400e+02,9.0942792339e+08,9.3665507327e+08
write,29,3.1413652205e+02,3.0608016086e+02,9.0942794340e+08,9.3336507143e+08
write,30,3.1413654995e+02,3.0357405400e+02,9.0942786265e+08,9.4107031689e+08
