access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.6897418022e+01,6.6836052179e+01,3.5334656402e+07,3.5367099087e+07
read,1,6.6897515059e+01,6.6836086988e+01,3.5334605148e+07,3.5367080667e+07
read,2,6.6897523880e+01,6.6836126089e+01,3.5334600489e+07,3.5367059977e+07
read,3,6.6897419930e+01,6.6836062908e+01,3.5334655395e+07,3.5367093410e+07
read,4,6.6897496939e+01,6.6836041927e+01,3.5334614719e+07,3.5367104512e+07
read,5,6.6897483110e+01,6.6836085081e+01,3.5334622023e+07,3.5367081676e+07
read,6,6.6897486925e+01,6.6836060047e+01,3.5334620008e+07,3.5367094923e+07
read,7,6.6897477150e+01,6.6836119175e+01,3.5334625171e+07,3.5367063635e+07
read,8,6.6897476912e+01,6.6836071014e+01,3.5334625297e+07,3.5367089120e+07
read,9,6.6897492886e+01,6.6836101055e+01,3.5334616860e+07,3.5367073224e+07
read,10,6.6897508860e+01,6.6836050987e+01,3.5334608423e+07,3.5367099718e+07
read,11,6.6897502899e+01,6.6836112976e+01,3.5334611571e+07,3.5367066916e+07
read,12,6.6897395134e+01,6.6836055040e+01,3.5334668491e+07,3.5367097573e+07
read,13,6.6897453070e+01,6.6836072922e+01,3.5334637890e+07,3.5367088111e+07
read,14,6.6897514105e+01,6.6836080074e+01,3.5334605652e+07,3.5367084326e+07
read,15,6.6897499084e+01,6.6836063862e+01,3.5334613586e+07,3.5367092905e+07
read,16,6.6897453070e+01,6.6836052895e+01,3.5334637890e+07,3.5367098708e+07
read,17,6.6897469997e+01,6.6836072922e+01,3.5334628949e+07,3.5367088111e+07
read,18,6.6897499084e+01,6.6836058855e+01,3.5334613586e+07,3.5367095554e+07
read,19,6.6897487164e+01,6.6836058855e+01,3.5334619882e+07,3.5367095554e+07
read,20,6.6897459984e+01,6.6836060047e+01,3.5334634238e+07,3.5367094923e+07
read,21,6.6897457123e+01,6.6836067915e+01,3.5334635749e+07,3.5367090760e+07
read,22,6.6897503138e+01,6.6836051941e+01,3.5334611445e+07,3.5367099213e+07
read,23,6.6897413969e+01,6.6836047173e+01,3.5334658543e+07,3.5367101736e+07
read,24,6.6897391081e+01,6.6836040974e+01,3.5334670632e+07,3.5367105016e+07
read,25,6.6897403002e+01,6.6836071968e+01,3.5334664336e+07,3.5367088615e+07
