runtime: 246.618215 rate: 22120.803193
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 228860, 2299, 228856, 228860, 13676, 3, 16261, 2001, 18.793s, 5
1, 0, 223758, 765, 223758, 223758, 14089, 1008, 14258, 1536, 16.225s, 5
2, 0, 228019, 752, 228019, 228019, 14170, 4206, 10852, 815, 11.913s, 5
3, 0, 226368, 2406, 226368, 226368, 13845, 0, 15527, 1910, 18.274s, 5
4, 0, 230695, 3363, 230694, 230695, 14059, 2238, 13348, 1431, 15.074s, 5
5, 0, 226180, 2238, 226179, 226180, 13636, 1791, 14338, 1792, 16.684s, 5
6, 0, 224024, 839, 224024, 224024, 14097, 1042, 13775, 1556, 15.459s, 5
7, 0, 229324, 2374, 229324, 229324, 13844, 0, 16199, 1972, 18.624s, 5
8, 0, 226422, 2191, 226422, 226422, 13801, 0, 15875, 2007, 18.036s, 5
9, 0, 220596, 751, 220596, 220596, 13853, 1014, 14354, 1518, 16.243s, 5
10, 0, 227127, 916, 227127, 227127, 13967, 2656, 12531, 1235, 13.771s, 5
11, 0, 225299, 2244, 225299, 225299, 13986, 0, 16027, 2001, 18.447s, 5
12, 0, 227416, 2129, 227416, 227416, 13696, 0, 15694, 2031, 18.022s, 5
13, 0, 225572, 2253, 225572, 225572, 13745, 0, 16027, 1964, 18.453s, 5
14, 0, 225204, 2361, 225202, 225204, 13953, 1823, 13305, 1648, 15.127s, 5
15, 0, 228091, 2431, 228090, 228091, 13761, 1698, 14235, 1671, 16.093s, 5
16, 0, 227729, 2325, 227729, 227729, 13826, 0, 15789, 1984, 18.215s, 5
17, 0, 229924, 2352, 229923, 229924, 13847, 1619, 13650, 1670, 15.303s, 5
18, 0, 230432, 0, 230414, 230432, 14333, 11696, 3005, 76, 2.191s, 5
19, 0, 231807, 2211, 231805, 231807, 13987, 5196, 9509, 1366, 11.287s, 5
20, 0, 226580, 2262, 226580, 226580, 13805, 0, 15956, 1989, 17.895s, 5
21, 0, 225554, 2231, 225554, 225554, 14046, 140, 15997, 1953, 18.153s, 5
22, 0, 231280, 2419, 231279, 231280, 14128, 1535, 14117, 1552, 15.973s, 5
23, 0, 229163, 2352, 229163, 229163, 13783, 1545, 13304, 1532, 14.873s, 5
