access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.1019950199e+02,2.1019443488e+02,4.4829473868e+08,4.4830554562e+08
read,1,2.1019950104e+02,2.1019441986e+02,4.4829474071e+08,4.4830557766e+08
read,2,2.1019950199e+02,2.1019442892e+02,4.4829473868e+08,4.4830555833e+08
read,3,2.1019950080e+02,2.1019442701e+02,4.4829474122e+08,4.4830556240e+08
read,4,2.1019950199e+02,2.1019442201e+02,4.4829473868e+08,4.4830557308e+08
read,5,2.1019950104e+02,2.1019442201e+02,4.4829474071e+08,4.4830557308e+08
read,6,2.1019950199e+02,2.1019443297e+02,4.4829473868e+08,4.4830554969e+08
read,7,2.1019950080e+02,2.1019442797e+02,4.4829474122e+08,4.4830556037e+08
read,8,2.1019950199e+02,2.1019444013e+02,4.4829473868e+08,4.4830553443e+08
read,9,2.1019950104e+02,2.1019443703e+02,4.4829474071e+08,4.4830554104e+08
read,10,2.1019950199e+02,2.1019442701e+02,4.4829473868e+08,4.4830556240e+08
read,11,2.1019950080e+02,2.1019442201e+02,4.4829474122e+08,4.4830557308e+08
read,12,2.1019947004e+02,2.1019442487e+02,4.4829480682e+08,4.4830556698e+08
read,13,2.1019946885e+02,2.1019441295e+02,4.4829480936e+08,4.4830559240e+08
read,14,2.1019946790e+02,2.1019441605e+02,4.4829481139e+08,4.4830558579e+08
read,15,2.1019946885e+02,2.1019441915e+02,4.4829480936e+08,4.4830557918e+08
read,16,2.1019946885e+02,2.1019442606e+02,4.4829480936e+08,4.4830556444e+08
read,17,2.1019946790e+02,2.1019441199e+02,4.4829481139e+08,4.4830559444e+08
read,18,2.1019946790e+02,2.1019441915e+02,4.4829481139e+08,4.4830557918e+08
read,19,2.1019946599e+02,2.1019443703e+02,4.4829481546e+08,4.4830554104e+08
read,20,2.1019947004e+02,2.1019443607e+02,4.4829480682e+08,4.4830554308e+08
read,21,2.1019946885e+02,2.1019443512e+02,4.4829480936e+08,4.4830554511e+08
read,22,2.1019946790e+02,2.1019443703e+02,4.4829481139e+08,4.4830554104e+08
read,23,2.1019946694e+02,2.1019442320e+02,4.4829481343e+08,4.4830557054e+08
