access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,1.6034916806e+02,1.6034191298e+02,2.5926798138e+07,2.5927971262e+07
read,1,1.6034916711e+02,1.6034190011e+02,2.5926798293e+07,2.5927973344e+07
read,2,1.6034916496e+02,1.6034191012e+02,2.5926798639e+07,2.5927971725e+07
read,3,1.6034916496e+02,1.6034190917e+02,2.5926798639e+07,2.5927971879e+07
read,4,1.6034916806e+02,1.6034190202e+02,2.5926798138e+07,2.5927973036e+07
read,5,1.6034916615e+02,1.6034189796e+02,2.5926798447e+07,2.5927973691e+07
read,6,1.6034916615e+02,1.6034191108e+02,2.5926798447e+07,2.5927971571e+07
read,7,1.6034916520e+02,1.6034190702e+02,2.5926798601e+07,2.5927972226e+07
read,8,1.6034916806e+02,1.6034189582e+02,2.5926798138e+07,2.5927974038e+07
read,9,1.6034916592e+02,1.6034189796e+02,2.5926798485e+07,2.5927973691e+07
read,10,1.6034916592e+02,1.6034191012e+02,2.5926798485e+07,2.5927971725e+07
read,11,1.6034916592e+02,1.6034189200e+02,2.5926798485e+07,2.5927974655e+07
read,12,1.6034914494e+02,1.6034189892e+02,2.5926801878e+07,2.5927973537e+07
read,13,1.6034914303e+02,1.6034189296e+02,2.5926802186e+07,2.5927974501e+07
read,14,1.6034914398e+02,1.6034189200e+02,2.5926802032e+07,2.5927974655e+07
read,15,1.6034914303e+02,1.6034188890e+02,2.5926802186e+07,2.5927975156e+07
read,16,1.6034914494e+02,1.6034189105e+02,2.5926801878e+07,2.5927974809e+07
read,17,1.6034914303e+02,1.6034188986e+02,2.5926802186e+07,2.5927975002e+07
read,18,1.6034914398e+02,1.6034189105e+02,2.5926802032e+07,2.5927974809e+07
read,19,1.6034914303e+02,1.6034188890e+02,2.5926802186e+07,2.5927975156e+07
read,20,1.6034914494e+02,1.6034189200e+02,2.5926801878e+07,2.5927974655e+07
read,21,1.6034914303e+02,1.6034189200e+02,2.5926802186e+07,2.5927974655e+07
read,22,1.6034914398e+02,1.6034188890e+02,2.5926802032e+07,2.5927975156e+07
read,23,1.6034914303e+02,1.6034188986e+02,2.5926802186e+07,2.5927975002e+07
