runtime: 248.608626 rate: 21889.349086
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 226473, 2155, 226469, 226473, 17200, 3, 18706, 2003, 19.990s, 5
1, 0, 229672, 2207, 229670, 229672, 17320, 3393, 14982, 1528, 15.393s, 5
2, 0, 228123, 1966, 228123, 228123, 17535, 3414, 15680, 1584, 16.074s, 5
3, 0, 224764, 2136, 224763, 224764, 17269, 1789, 17858, 1842, 19.377s, 5
4, 0, 224315, 2132, 224315, 224315, 17108, 0, 19577, 2008, 20.993s, 5
5, 0, 227535, 2226, 227534, 227535, 17378, 1627, 17230, 1635, 18.341s, 5
6, 0, 226280, 2159, 226280, 226280, 16952, 0, 20364, 2016, 21.939s, 5
7, 0, 229442, 2225, 229442, 229442, 17049, 0, 18656, 2058, 20.479s, 5
8, 0, 235347, 0, 235329, 235347, 17975, 13592, 4410, 84, 2.201s, 5
9, 0, 225957, 2038, 225957, 225957, 17288, 1617, 17582, 1710, 18.206s, 5
10, 0, 225482, 2695, 225480, 225482, 17250, 2169, 17192, 1629, 18.082s, 5
11, 0, 228539, 2246, 228539, 228539, 17264, 0, 19303, 2005, 20.873s, 5
12, 0, 223042, 2084, 223042, 223042, 16948, 0, 19103, 2016, 20.478s, 5
13, 0, 224964, 2161, 224964, 224964, 17390, 0, 18799, 2012, 20.106s, 5
14, 0, 225568, 2172, 225567, 225568, 17065, 1787, 17679, 1644, 18.419s, 5
15, 0, 228092, 2138, 228092, 228092, 17316, 1609, 18184, 1714, 19.416s, 5
16, 0, 228039, 2252, 228038, 228039, 17284, 1627, 17691, 1687, 18.306s, 5
17, 0, 229731, 2191, 229730, 229731, 17055, 3568, 12836, 1686, 15.987s, 5
18, 0, 224918, 1273, 224918, 224918, 17138, 1480, 17253, 1828, 18.111s, 5
19, 0, 222174, 794, 222174, 222174, 17053, 1244, 17524, 1757, 18.343s, 5
20, 0, 223835, 778, 223835, 223835, 17397, 2949, 16050, 1505, 16.223s, 5
21, 0, 225267, 2066, 225267, 225267, 17150, 0, 19377, 2062, 21.067s, 5
22, 0, 227952, 2155, 227952, 227952, 17310, 0, 18746, 2051, 20.259s, 5
23, 0, 226401, 2215, 226401, 226401, 17239, 177, 19151, 1981, 20.193s, 5
