access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.1032436299e+02,2.1031959295e+02,4.4742037111e+08,4.4743051859e+08
read,1,2.1032436085e+02,2.1031960392e+02,4.4742037568e+08,4.4743049526e+08
read,2,2.1032436180e+02,2.1031959200e+02,4.4742037365e+08,4.4743052062e+08
read,3,2.1032436085e+02,2.1031959200e+02,4.4742037568e+08,4.4743052062e+08
read,4,2.1032436180e+02,2.1031959200e+02,4.4742037365e+08,4.4743052062e+08
read,5,2.1032435989e+02,2.1031959200e+02,4.4742037770e+08,4.4743052062e+08
read,6,2.1032436085e+02,2.1031958985e+02,4.4742037568e+08,4.4743052518e+08
read,7,2.1032435989e+02,2.1031959200e+02,4.4742037770e+08,4.4743052062e+08
read,8,2.1032436085e+02,2.1031958485e+02,4.4742037568e+08,4.4743053583e+08
read,9,2.1032436085e+02,2.1031959391e+02,4.4742037568e+08,4.4743051656e+08
read,10,2.1032436085e+02,2.1031959295e+02,4.4742037568e+08,4.4743051859e+08
read,11,2.1032436085e+02,2.1031958795e+02,4.4742037568e+08,4.4743052924e+08
read,12,2.1032438421e+02,2.1031963491e+02,4.4742032597e+08,4.4743042932e+08
read,13,2.1032438183e+02,2.1031963396e+02,4.4742033104e+08,4.4743043135e+08
read,14,2.1032438397e+02,2.1031962895e+02,4.4742032648e+08,4.4743044200e+08
read,15,2.1032438302e+02,2.1031963706e+02,4.4742032851e+08,4.4743042475e+08
read,16,2.1032438302e+02,2.1031963515e+02,4.4742032851e+08,4.4743042881e+08
read,17,2.1032438087e+02,2.1031963897e+02,4.4742033307e+08,4.4743042070e+08
read,18,2.1032438302e+02,2.1031962991e+02,4.4742032851e+08,4.4743043997e+08
read,19,2.1032438207e+02,2.1031963897e+02,4.4742033054e+08,4.4743042070e+08
read,20,2.1032438421e+02,2.1031964493e+02,4.4742032597e+08,4.4743040802e+08
read,21,2.1032438302e+02,2.1031963396e+02,4.4742032851e+08,4.4743043135e+08
read,22,2.1032438397e+02,2.1031963706e+02,4.4742032648e+08,4.4743042475e+08
read,23,2.1032438302e+02,2.1031963587e+02,4.4742032851e+08,4.4743042729e+08
