access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11005.9687,704570.8115,0.0085,131072.0000,16.0000,0.0511,71.4359,3.8432,71.4550,192,0
read,11790.5815,754632.9135,0.0079,131072.0000,16.0000,0.0273,66.6969,3.5786,66.7000,192,0
write,11074.7482,708976.3962,0.0084,131072.0000,16.0000,0.0516,70.9920,3.8080,71.0113,192,1
read,11748.4592,751937.1749,0.0079,131072.0000,16.0000,0.0400,66.9360,3.5359,66.9392,192,1
write,11063.7281,708254.6835,0.0084,131072.0000,16.0000,0.0504,71.0643,3.8350,71.0820,192,2
read,10867.6382,695556.9789,0.0079,131072.0000,16.0000,0.0429,72.3616,8.7704,72.3646,192,2
write,11032.3767,706257.2979,0.0082,131072.0000,16.0000,0.0499,71.2653,3.6933,71.2840,192,3
read,11558.4016,739769.8493,0.0079,131072.0000,16.0000,0.0296,68.0369,3.5807,68.0399,192,3
write,11073.0295,708903.7708,0.0083,131072.0000,16.0000,0.0463,70.9993,3.6270,71.0223,192,4
read,11102.4072,710584.1680,0.0083,131072.0000,16.0000,0.0353,70.8314,3.6542,70.8344,192,4
