access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,145019.5419,145316.1803,0.0127,131072.0000,1024.0000,0.0067,1.8040,0.2083,1.8076,64,0
read,165482.3097,165802.0713,0.0117,131072.0000,1024.0000,0.0060,1.5811,0.0851,1.5841,64,0
write,151184.2681,151444.3781,0.0123,131072.0000,1024.0000,0.0059,1.7310,0.1785,1.7339,64,1
read,164631.1654,164925.9443,0.0118,131072.0000,1024.0000,0.0057,1.5895,0.0811,1.5923,64,1
write,129254.2360,129463.6069,0.0140,131072.0000,1024.0000,0.0064,2.0248,0.2456,2.0281,64,2
read,111497.8272,111649.7349,0.0179,131072.0000,1024.0000,0.0063,2.3479,0.0644,2.3511,64,2
write,149133.5598,149401.7982,0.0123,131072.0000,1024.0000,0.0061,1.7546,0.1844,1.7578,64,3
read,164610.9052,164922.1841,0.0118,131072.0000,1024.0000,0.0060,1.5895,0.0822,1.5925,64,3
write,152236.1766,152500.8104,0.0122,131072.0000,1024.0000,0.0058,1.7190,0.1747,1.7220,64,4
read,164725.3839,165020.6244,0.0118,131072.0000,1024.0000,0.0057,1.5886,0.0869,1.5914,64,4
