,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
0,write,92141.7443,6103.1484,0.0276,131072,16384,0.1209,0.5663,0.3587,0.6001,432,4,write_n-4_ppn-108_tx-16M.csv,1,4,89.98217216796876,108.0,4M
1,write,71122.8604,72175.9088,0.0014,131072,1024,0.0271,0.227,0.1185,0.2304,128,1,write_n-4_ppn-32_tx-1M.csv,1,4,69.455918359375,32.0,1M
2,write,5409.8967,346629.0155,0.0011,131072,16,0.0922,9.0752,0.5392,9.0856,384,0,write_n-4_ppn-96_tx-16K.csv,1,4,5.28310224609375,96.0,16K
3,write,88818.9066,44789.4996,0.0045,131072,2048,0.263,0.7316,0.5062,0.7379,512,1,write_n-4_ppn-128_tx-2M.csv,1,4,86.7372134765625,128.0,2M
4,write,70405.4526,73036.8298,0.0004,131072,1024,0.006,0.0841,0.0317,0.0873,48,4,write_n-4_ppn-12_tx-1M.csv,1,4,68.7553248046875,12.0,1M
5,write,109614.9518,7008.5452,0.0238,131072,16384,0.0819,0.4383,0.2492,0.4484,384,4,write_n-4_ppn-96_tx-16M.csv,1,4,107.0458513671875,96.0,4M
6,write,5391.5006,347476.0123,0.0003,131072,16,0.0536,2.2633,0.0983,2.2791,96,0,write_n-4_ppn-24_tx-16K.csv,1,4,5.2651373046875,24.0,16K
7,write,167664.6407,11020.6866,0.0052,131072,16384,0.0152,0.0697,0.0313,0.0733,96,0,write_n-4_ppn-24_tx-16M.csv,1,4,163.73500068359374,24.0,4M
8,write,79045.1439,79976.5493,0.0017,131072,1024,0.0395,0.3073,0.0971,0.3109,192,4,write_n-4_ppn-48_tx-1M.csv,1,4,77.19252333984375,48.0,1M
9,write,5387.8573,345764.3175,0.0001,131072,16,0.006,1.1372,0.0414,1.1403,48,1,write_n-4_ppn-12_tx-16K.csv,1,4,5.26157939453125,12.0,16K
10,write,79528.0313,43061.6652,0.0032,131072,2048,0.24,0.6421,0.4496,0.6953,432,2,write_n-4_ppn-108_tx-2M.csv,1,4,77.66409306640625,108.0,2M
11,write,125291.9796,68934.5525,0.0018,131072,2048,0.0554,0.1783,0.0794,0.1961,192,4,write_n-4_ppn-48_tx-2M.csv,1,4,122.355448828125,48.0,2M
12,write,67864.1174,35831.7048,0.0006,131072,2048,0.0061,0.0572,0.0224,0.0604,32,4,write_n-4_ppn-8_tx-2M.csv,1,4,66.2735521484375,8.0,2M
