access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,23440.9671,1500559.6263,0.0041,131072.0000,16.0000,0.0120,33.5419,0.3597,33.5495,192,0
read,21572.4958,1380772.0727,0.0043,131072.0000,16.0000,0.0084,36.4518,1.4395,36.4553,192,0
write,23322.0596,1492755.9986,0.0041,131072.0000,16.0000,0.0064,33.7173,0.3966,33.7205,192,1
read,21617.1409,1383618.2323,0.0042,131072.0000,16.0000,0.0062,36.3768,1.9776,36.3800,192,1
write,23338.4801,1493816.1061,0.0041,131072.0000,16.0000,0.0067,33.6933,0.3524,33.6968,192,2
read,21884.1381,1400714.9880,0.0042,131072.0000,16.0000,0.0065,35.9328,1.5852,35.9362,192,2
write,23277.8248,1489931.9640,0.0041,131072.0000,16.0000,0.0066,33.7812,0.3474,33.7846,192,3
read,21890.9523,1401153.6307,0.0042,131072.0000,16.0000,0.0066,35.9216,1.5338,35.9250,192,3
write,23222.0267,1486365.5617,0.0041,131072.0000,16.0000,0.0068,33.8622,0.3351,33.8658,192,4
read,21981.9087,1406977.7969,0.0042,131072.0000,16.0000,0.0067,35.7729,1.6049,35.7763,192,4
