access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1082760.9549,68071.9087,0.0790,131072.0000,16384.0000,0.0077,0.7221,0.1242,0.7263,192,0
read,1305708.1955,82101.5669,0.0690,131072.0000,16384.0000,0.0070,0.5987,0.0642,0.6023,192,0
write,981513.7211,61607.7271,0.0934,131072.0000,16384.0000,0.0066,0.7978,0.1137,0.8012,192,1
read,1242355.1367,78046.2952,0.0713,131072.0000,16384.0000,0.0076,0.6298,0.0887,0.6330,192,1
write,1081419.4799,67930.2182,0.0885,131072.0000,16384.0000,0.0070,0.7236,0.0933,0.7272,192,2
read,1315933.0472,82730.6251,0.0679,131072.0000,16384.0000,0.0068,0.5941,0.0673,0.5976,192,2
write,1085336.7678,68165.7437,0.0881,131072.0000,16384.0000,0.0067,0.7211,0.0886,0.7246,192,3
read,1366645.2119,85918.3195,0.0667,131072.0000,16384.0000,0.0065,0.5721,0.0528,0.5754,192,3
write,969437.3688,60856.6909,0.0978,131072.0000,16384.0000,0.0068,0.8077,0.1101,0.8112,192,4
read,1314859.8049,82650.1946,0.0687,131072.0000,16384.0000,0.0066,0.5947,0.0643,0.5981,192,4
