access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,5410.3821,346299.2188,0.0044,131072.0000,16.0000,0.0066,36.3354,0.2462,36.3390,48,0
read,5966.0088,381861.3531,0.0040,131072.0000,16.0000,0.0062,32.9515,0.2151,32.9547,48,0
write,5392.0177,345118.1459,0.0044,131072.0000,16.0000,0.0072,36.4597,0.2202,36.4628,48,1
read,5927.9263,379421.6169,0.0040,131072.0000,16.0000,0.0058,33.1634,0.1945,33.1664,48,1
write,5391.0582,345059.0141,0.0044,131072.0000,16.0000,0.0063,36.4660,0.2585,36.4693,48,2
read,5922.9105,379102.7040,0.0040,131072.0000,16.0000,0.0062,33.1913,0.2560,33.1945,48,2
write,5410.3802,346296.2557,0.0044,131072.0000,16.0000,0.0064,36.3357,0.2261,36.3390,48,3
read,5927.8731,379420.6431,0.0040,131072.0000,16.0000,0.0063,33.1635,0.2081,33.1667,48,3
write,5426.5324,347327.3401,0.0044,131072.0000,16.0000,0.0059,36.2278,0.2087,36.2309,48,4
read,5927.3435,379384.2096,0.0040,131072.0000,16.0000,0.0058,33.1667,0.1878,33.1697,48,4
