access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,348677.3954,21897.4783,0.0744,131072.0000,16384.0000,0.0066,0.7482,0.1889,0.7518,64,0
read,322330.5196,20219.8950,0.0655,131072.0000,16384.0000,0.0059,0.8103,0.3244,0.8133,64,0
write,322107.1968,20212.5085,0.0801,131072.0000,16384.0000,0.0064,0.8106,0.2423,0.8138,64,1
read,322637.6331,20242.0751,0.0645,131072.0000,16384.0000,0.0061,0.8094,0.3269,0.8125,64,1
write,288718.8732,18107.2644,0.0978,131072.0000,16384.0000,0.0061,0.9048,0.2209,0.9080,64,2
read,310763.9137,19491.7904,0.0733,131072.0000,16384.0000,0.0059,0.8406,0.3041,0.8435,64,2
write,318371.6073,19978.5435,0.0821,131072.0000,16384.0000,0.0065,0.8201,0.2436,0.8234,64,3
read,320203.9813,20090.4477,0.0649,131072.0000,16384.0000,0.0063,0.8155,0.3299,0.8187,64,3
write,308913.5371,19379.3913,0.0783,131072.0000,16384.0000,0.0062,0.8454,0.2941,0.8486,64,4
read,317884.7768,19940.5137,0.0660,131072.0000,16384.0000,0.0060,0.8216,0.3291,0.8247,64,4
