,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
0,write,135689.7459,135882.3588,0.0549,131072,1024,0.0829,11.5752,4.691,11.5916,384,4,write_n-8_ppn-48_tx-1M.csv,32,8,132.50951748046876,48.0,1M
1,write,167096.8307,83760.3509,0.0157,131072,2048,0.0063,1.1736,0.2103,1.1766,48,3,write_n-8_ppn-6_tx-2M.csv,32,8,163.18049873046874,6.0,2M
2,write,153923.9055,154899.763,0.0425,131072,1024,0.0895,6.7694,3.3329,6.8123,256,2,write_n-8_ppn-32_tx-1M.csv,32,8,150.31631396484374,32.0,1M
3,write,250072.5823,126018.5632,0.0288,131072,2048,0.0543,3.1203,1.3189,3.1448,192,0,write_n-8_ppn-24_tx-2M.csv,32,8,244.21150615234376,24.0,2M
4,write,9775.2272,625669.5367,0.013,131072,16,0.0674,107.2593,39.821,107.2687,256,4,write_n-8_ppn-32_tx-16K.csv,32,8,9.5461203125,32.0,16K
5,write,212610.5217,106592.7383,0.0818,131072,2048,0.2078,11.0669,5.9483,11.0968,576,1,write_n-8_ppn-72_tx-2M.csv,32,8,207.62746259765626,72.0,2M
6,write,354938.1569,44606.8017,0.0995,131072,8192,0.0703,2.9384,1.9591,2.9542,256,0,write_n-8_ppn-32_tx-8M.csv,32,8,346.61929384765625,32.0,
7,write,318385.9891,40069.1303,0.155,131072,8192,0.0762,4.9067,2.7018,4.9401,384,0,write_n-8_ppn-48_tx-8M.csv,32,8,310.92381748046876,48.0,
8,write,180526.114,180785.7194,0.0126,131072,1024,0.0063,2.175,0.5851,2.1782,96,1,write_n-8_ppn-12_tx-1M.csv,32,8,176.295033203125,12.0,1M
9,write,388917.998,48768.3924,0.0387,131072,8192,0.0062,1.0079,0.4391,1.0111,96,2,write_n-8_ppn-12_tx-8M.csv,32,8,379.802732421875,12.0,
10,write,11119.0296,711696.8194,0.0423,131072,16,0.1473,353.6032,15.2531,353.6424,960,3,write_n-8_ppn-120_tx-16K.csv,32,8,10.85842734375,120.0,16K
11,write,141534.0192,141660.8998,0.0258,131072,1024,0.0339,3.701,2.1173,3.7043,128,2,write_n-8_ppn-16_tx-1M.csv,32,8,138.216815625,16.0,1M
12,write,295360.6777,18548.4278,0.0636,131072,16384,0.0061,0.6625,0.1588,0.6657,48,3,write_n-8_ppn-6_tx-16M.csv,32,8,288.43816181640625,6.0,4M
13,write,361075.9417,45327.3473,0.0359,131072,8192,0.006,0.7229,0.1852,0.726,64,4,write_n-8_ppn-8_tx-8M.csv,32,8,352.6132243164063,8.0,
14,write,218650.3743,13693.4903,0.9536,131072,16384,1.7129,17.9472,10.7449,17.9838,960,2,write_n-8_ppn-120_tx-16M.csv,32,8,213.52575615234375,120.0,4M
15,write,293470.6416,36856.1267,0.0335,131072,8192,0.0063,0.6668,0.1428,0.6699,48,4,write_n-8_ppn-6_tx-8M.csv,32,8,286.5924234375,6.0,
16,write,10915.4143,698648.1671,0.0044,131072,16,0.0064,36.0207,0.4066,36.0239,96,1,write_n-8_ppn-12_tx-16K.csv,32,8,10.65958427734375,12.0,16K
17,write,238887.8671,120202.5096,0.0562,131072,2048,0.0961,6.5426,3.0347,6.5841,384,0,write_n-8_ppn-48_tx-2M.csv,32,8,233.28893271484375,48.0,2M
18,write,11135.4247,712689.9632,0.0169,131072,16,0.065,141.2442,7.5387,141.2487,384,2,write_n-8_ppn-48_tx-16K.csv,32,8,10.87443818359375,48.0,16K
19,write,102313.0845,102370.595,0.1529,131072,1024,0.1983,38.411,18.9664,38.4326,960,0,write_n-8_ppn-120_tx-1M.csv,32,8,99.91512158203125,120.0,1M
20,write,157432.0272,157532.5897,0.027,131072,1024,0.0253,4.9922,1.6067,4.9954,192,3,write_n-8_ppn-24_tx-1M.csv,32,8,153.7422140625,24.0,1M
21,write,11144.5762,713308.4137,0.0335,131072,16,0.0997,282.2434,12.2665,282.2654,768,1,write_n-8_ppn-96_tx-16K.csv,32,8,10.8833751953125,96.0,16K
22,write,189858.6553,95078.98,0.1036,131072,2048,0.4062,16.5427,10.1874,16.5688,768,4,write_n-8_ppn-96_tx-2M.csv,32,8,185.40884306640626,96.0,2M
23,write,10970.38,702235.196,0.0086,131072,16,0.0506,71.6735,3.8794,71.6869,192,2,write_n-8_ppn-24_tx-16K.csv,32,8,10.71326171875,24.0,16K
24,write,145510.4933,145779.7994,0.0127,131072,1024,0.0065,1.7982,0.2012,1.8015,64,4,write_n-8_ppn-8_tx-1M.csv,32,8,142.10009111328125,8.0,1M
25,write,7175.2942,459259.5217,0.0044,131072,16,0.0063,36.531,0.2299,36.5343,64,1,write_n-8_ppn-8_tx-16K.csv,32,8,7.0071232421875,8.0,16K
26,write,111621.6439,111761.6853,0.1172,131072,1024,0.2412,28.1467,13.5408,28.1821,768,4,write_n-8_ppn-96_tx-1M.csv,32,8,109.00551162109375,96.0,1M
27,write,227879.8641,114020.6924,0.04,131072,2048,0.0563,4.5982,2.7461,4.6014,256,2,write_n-8_ppn-32_tx-2M.csv,32,8,222.53892978515626,32.0,2M
28,write,414321.5553,25979.5235,0.0659,131072,16384,0.006,0.946,0.4411,0.9491,96,2,write_n-8_ppn-12_tx-16M.csv,32,8,404.61089384765626,12.0,4M
29,write,5360.1805,343080.6007,0.0045,131072,16,0.006,36.6763,0.3624,36.6794,48,4,write_n-8_ppn-6_tx-16K.csv,32,8,5.23455126953125,6.0,16K
30,write,458617.3807,28720.6135,0.1383,131072,16384,0.0228,1.7114,0.6988,1.7148,192,3,write_n-8_ppn-24_tx-16M.csv,32,8,447.86853583984373,24.0,4M
31,write,348581.3895,43909.0444,0.0536,131072,8192,0.0426,1.4925,0.9087,1.5041,128,2,write_n-8_ppn-16_tx-8M.csv,32,8,340.41151318359374,16.0,
32,write,263340.8843,16521.8158,0.5224,131072,16384,0.2325,8.9249,4.9584,8.9591,576,4,write_n-8_ppn-72_tx-16M.csv,32,8,257.1688323242187,72.0,4M
33,write,359425.823,22673.5068,0.1267,131072,16384,0.0265,1.4452,0.9013,1.4587,128,2,write_n-8_ppn-16_tx-16M.csv,32,8,351.0017802734375,16.0,4M
34,write,238403.0973,120386.7168,0.0281,131072,2048,0.0502,2.1775,1.1108,2.1992,128,0,write_n-8_ppn-16_tx-2M.csv,32,8,232.81552470703124,16.0,2M
35,write,194400.1974,97280.4296,0.1237,131072,2048,3.9296,20.2104,13.0519,20.2271,960,0,write_n-8_ppn-120_tx-2M.csv,32,8,189.8439427734375,120.0,2M
36,write,122217.7843,122428.2396,0.0899,131072,1024,0.1335,19.2708,8.433,19.304,576,4,write_n-8_ppn-72_tx-1M.csv,32,8,119.35330498046875,72.0,1M
37,write,113070.4912,113272.3224,0.0124,131072,1024,0.006,1.7357,0.1546,1.7388,48,3,write_n-8_ppn-6_tx-1M.csv,32,8,110.4204015625,6.0,1M
38,write,423540.6343,53034.2111,0.0626,131072,8192,0.0533,1.8536,0.9063,1.8568,192,3,write_n-8_ppn-24_tx-8M.csv,32,8,413.6139006835937,24.0,
39,write,211996.0761,26572.6245,0.4748,131072,8192,0.7344,18.4972,11.2925,18.5483,960,4,write_n-8_ppn-120_tx-8M.csv,32,8,207.02741806640626,120.0,
40,write,242908.8726,121694.0909,0.0163,131072,2048,0.0069,1.6156,0.5958,1.6188,96,3,write_n-8_ppn-12_tx-2M.csv,32,8,237.2156958984375,12.0,2M
41,write,239123.4468,29964.1357,0.3684,131072,8192,0.2496,13.1229,7.4653,13.1552,768,1,write_n-8_ppn-96_tx-8M.csv,32,8,233.518991015625,96.0,
42,write,261111.7406,32689.8742,0.2754,131072,8192,0.3756,9.0215,4.9622,9.0356,576,4,write_n-8_ppn-72_tx-8M.csv,32,8,254.9919341796875,72.0,
43,write,422965.8722,26587.3567,0.235,131072,16384,0.0523,2.4649,1.2744,2.4791,256,2,write_n-8_ppn-32_tx-16M.csv,32,8,413.0526095703125,32.0,4M
44,write,394305.8561,24759.234,0.067,131072,16384,0.0061,0.6617,0.1904,0.6648,64,1,write_n-8_ppn-8_tx-16M.csv,32,8,385.0643125976562,8.0,4M
45,write,232656.9273,14585.6404,0.7522,131072,16384,0.4703,13.4796,7.9107,13.5209,768,4,write_n-8_ppn-96_tx-16M.csv,32,8,227.20403056640626,96.0,4M
46,write,206053.7034,103271.2674,0.0152,131072,2048,0.0059,1.2692,0.3057,1.2722,64,2,write_n-8_ppn-8_tx-2M.csv,32,8,201.2243197265625,8.0,2M
47,write,310506.6423,19430.2372,0.3176,131072,16384,0.0883,5.0593,2.6903,5.0655,384,4,write_n-8_ppn-48_tx-16M.csv,32,8,303.22914287109376,48.0,4M
48,write,7231.8415,462898.8726,0.0086,131072,16,0.0486,72.4876,36.9975,72.4972,128,0,write_n-8_ppn-16_tx-16K.csv,32,8,7.06234521484375,16.0,16K
49,write,11112.0241,711269.7073,0.0251,131072,16,0.1456,212.2893,10.3059,212.3192,576,1,write_n-8_ppn-72_tx-16K.csv,32,8,10.85158603515625,72.0,16K
