access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,168583.8850,168859.2049,0.0156,131072.0000,1024.0000,0.0068,2.3287,0.4833,2.3325,96,0
read,216022.3623,216384.6895,0.0125,131072.0000,1024.0000,0.0060,1.8172,0.2647,1.8203,96,0
write,204189.2293,204537.4200,0.0126,131072.0000,1024.0000,0.0065,1.9225,0.3424,1.9257,96,1
read,219510.3971,219898.4260,0.0122,131072.0000,1024.0000,0.0063,1.7882,0.2668,1.7913,96,1
write,199778.5037,200087.8159,0.0130,131072.0000,1024.0000,0.0059,1.9652,0.3315,1.9683,96,2
read,210132.8836,210461.8757,0.0129,131072.0000,1024.0000,0.0058,1.8683,0.2430,1.8713,96,2
write,199040.1811,199340.7522,0.0134,131072.0000,1024.0000,0.0058,1.9726,0.2879,1.9756,96,3
read,216355.2817,216698.3110,0.0126,131072.0000,1024.0000,0.0057,1.8146,0.2356,1.8175,96,3
write,198583.6074,198897.5268,0.0132,131072.0000,1024.0000,0.0061,1.9770,0.3466,1.9801,96,4
read,222752.8492,223133.9598,0.0117,131072.0000,1024.0000,0.0060,1.7622,0.2826,1.7653,96,4
