access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11051.3752,707335.8014,0.0342,131072.0000,16.0000,0.1237,284.6266,12.3311,284.6458,768,0
read,9953.3056,637017.9798,0.0379,131072.0000,16.0000,0.0966,316.0454,16.9075,316.0486,768,0
write,11074.3480,708834.7820,0.0338,131072.0000,16.0000,0.1392,284.0247,12.6421,284.0554,768,1
read,10003.8198,640250.9551,0.0370,131072.0000,16.0000,0.0994,314.4495,17.5545,314.4527,768,1
write,11060.4477,707925.5656,0.0340,131072.0000,16.0000,0.0880,284.3895,12.5927,284.4124,768,2
read,10015.4152,640992.8732,0.0380,131072.0000,16.0000,0.0940,314.0855,18.3652,314.0886,768,2
write,11056.8112,707697.4917,0.0339,131072.0000,16.0000,0.1421,284.4811,13.2394,284.5059,768,3
read,10034.5729,642219.5256,0.0373,131072.0000,16.0000,0.1018,313.4856,18.5407,313.4890,768,3
write,11054.0586,707537.5131,0.0336,131072.0000,16.0000,0.0946,284.5455,12.7124,284.5767,768,4
read,10059.3482,643804.8264,0.0375,131072.0000,16.0000,0.0940,312.7137,18.7059,312.7169,768,4
