,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
0,write,46701.1152,23409.0096,0.0214,131072,2048,0.0068,1.3998,0.031,1.4033,16,2,rw_n-1_ppn-16_tx-2M.csv,32,45.6065578125,21.4,1,16.0,2M
1,read,50043.8683,25085.379,0.0202,131072,2048,0.0065,1.3063,0.011,1.3096,16,4,rw_n-1_ppn-16_tx-2M.csv,32,48.87096513671875,20.2,1,16.0,2M
2,write,18817.7342,18855.6122,0.0136,131072,1024,0.0069,1.7378,0.0184,1.7413,8,1,rw_n-1_ppn-8_tx-1M.csv,32,18.3766935546875,13.6,1,8.0,1M
3,read,24889.4289,24950.2051,0.0102,131072,1024,0.0063,1.3133,0.0092,1.3165,8,4,rw_n-1_ppn-8_tx-1M.csv,32,24.30608291015625,10.200000000000001,1,8.0,1M
4,write,125634.2925,7898.4019,0.1296,131072,16384,0.0094,1.0372,0.0434,1.0433,32,0,rw_n-1_ppn-32_tx-16M.csv,32,122.68973876953125,129.6,1,32.0,16M
5,read,33003.3561,2064.3278,0.4457,131072,16384,0.0061,3.9684,0.8821,3.9715,32,4,rw_n-1_ppn-32_tx-16M.csv,32,32.22983994140625,445.7,1,32.0,16M
6,write,112364.3138,112600.6255,0.0136,131072,1024,0.0071,1.7461,0.063,1.7497,48,4,rw_n-1_ppn-48_tx-1M.csv,32,109.7307751953125,13.6,1,48.0,1M
7,read,99894.6728,100081.2925,0.015,131072,1024,0.0072,1.9645,0.0676,1.9682,48,4,rw_n-1_ppn-48_tx-1M.csv,32,97.55339140625,15.0,1,48.0,1M
8,write,910.7746,58294.8976,0.0044,131072,16,0.0063,35.9749,0.0729,35.9782,8,4,rw_n-1_ppn-8_tx-16K.csv,32,0.8894283203125,4.4,1,8.0,16K
9,read,962.0148,61574.9924,0.0042,131072,16,0.0065,34.0585,0.086,34.0618,8,3,rw_n-1_ppn-8_tx-16K.csv,32,0.939467578125,4.2,1,8.0,16K
10,write,3670.0137,234903.6939,0.0043,131072,16,0.0068,35.7108,0.1751,35.7143,32,1,rw_n-1_ppn-32_tx-16K.csv,32,3.58399775390625,4.3,1,32.0,16K
11,read,3986.9902,255192.3159,0.004,131072,16,0.0063,32.8717,0.1944,32.8749,32,4,rw_n-1_ppn-32_tx-16K.csv,32,3.8935451171875,4.0,1,32.0,16K
12,write,104385.0591,52289.4447,0.0272,131072,2048,0.0067,1.88,0.275,1.8835,48,3,rw_n-1_ppn-48_tx-2M.csv,32,101.93853427734375,27.2,1,48.0,2M
13,read,46214.1542,23123.7035,0.0612,131072,2048,0.006,4.2512,0.8119,4.2543,48,3,rw_n-1_ppn-48_tx-2M.csv,32,45.1310099609375,61.199999999999996,1,48.0,2M
14,write,32857.808,2064.7081,0.091,131072,16384,0.0073,0.7439,0.0535,0.748,6,0,rw_n-1_ppn-6_tx-16M.csv,32,32.087703125,91.0,1,6.0,16M
15,read,46180.7267,2904.4096,0.0659,131072,16384,0.0065,0.5289,0.0044,0.5322,6,4,rw_n-1_ppn-6_tx-16M.csv,32,45.09836591796875,65.9,1,6.0,16M
16,write,131799.9792,8267.4662,0.1803,131072,16384,0.0086,1.4863,0.0603,1.4917,48,0,rw_n-1_ppn-48_tx-16M.csv,32,128.7109171875,180.29999999999998,1,48.0,16M
17,read,35615.4301,2227.3987,0.6455,131072,16384,0.007,5.5167,1.1159,5.5203,48,3,rw_n-1_ppn-48_tx-16M.csv,32,34.78069345703125,645.5,1,48.0,16M
18,write,44154.8804,2773.1365,0.0903,131072,16384,0.0068,0.7385,0.0424,0.7421,8,0,rw_n-1_ppn-8_tx-16M.csv,32,43.120000390625,90.30000000000001,1,8.0,16M
19,read,60994.4666,3834.645,0.0653,131072,16384,0.0061,0.5341,0.0146,0.5372,8,2,rw_n-1_ppn-8_tx-16M.csv,32,59.5649087890625,65.3,1,8.0,16M
20,write,5392.3755,345144.5932,0.0045,131072,16,0.0067,36.4569,0.8567,36.4604,48,1,rw_n-1_ppn-48_tx-16K.csv,32,5.26599169921875,4.5,1,48.0,16K
21,read,5856.1361,374829.0637,0.0041,131072,16,0.0068,33.5697,0.4686,33.573,48,0,rw_n-1_ppn-48_tx-16K.csv,32,5.71888291015625,4.1000000000000005,1,48.0,16K
22,write,76241.4379,76392.1198,0.0131,131072,1024,0.0066,1.7158,0.0663,1.7192,32,2,rw_n-1_ppn-32_tx-1M.csv,32,74.45452919921875,13.100000000000001,1,32.0,1M
23,read,82258.3965,82431.022,0.0124,131072,1024,0.0065,1.5901,0.0354,1.5934,32,3,rw_n-1_ppn-32_tx-1M.csv,32,80.33046533203125,12.4,1,32.0,1M
24,write,83814.9979,42002.0413,0.0241,131072,2048,0.0067,1.5603,0.0832,1.5638,32,3,rw_n-1_ppn-32_tx-2M.csv,32,81.85058388671875,24.1,1,32.0,2M
25,read,50852.967,25458.3196,0.0368,131072,2048,0.0063,2.5742,0.5042,2.5775,32,1,rw_n-1_ppn-32_tx-2M.csv,32,49.6611005859375,36.8,1,32.0,2M
26,write,77558.5099,4867.9617,0.1031,131072,16384,0.0067,0.8414,0.0398,0.845,16,0,rw_n-1_ppn-16_tx-16M.csv,32,75.74073232421875,103.1,1,16.0,16M
27,read,45359.413,2841.238,0.1213,131072,16384,0.0063,1.4416,0.4712,1.4448,16,3,rw_n-1_ppn-16_tx-16M.csv,32,44.2963017578125,121.30000000000001,1,16.0,16M
28,write,22991.2495,11523.5107,0.0221,131072,2048,0.0067,1.4218,0.0139,1.4252,8,4,rw_n-1_ppn-8_tx-2M.csv,32,22.45239208984375,22.1,1,8.0,2M
29,read,27013.1693,13542.8037,0.0187,131072,2048,0.0064,1.2098,0.0142,1.213,8,2,rw_n-1_ppn-8_tx-2M.csv,32,26.38004814453125,18.700000000000003,1,8.0,2M
30,write,14095.9945,14121.8487,0.0135,131072,1024,0.0062,1.7403,0.0145,1.7435,6,4,rw_n-1_ppn-6_tx-1M.csv,32,13.76561962890625,13.5,1,6.0,1M
31,read,18678.8162,18727.0377,0.0102,131072,1024,0.0066,1.3123,0.0045,1.3157,6,1,rw_n-1_ppn-6_tx-1M.csv,32,18.2410314453125,10.200000000000001,1,6.0,1M
32,write,671.3965,42973.2817,0.0045,131072,16,0.0065,36.601,0.0569,36.6043,6,1,rw_n-1_ppn-6_tx-16K.csv,32,0.65566064453125,4.5,1,6.0,16K
33,read,744.9151,47679.3399,0.004,131072,16,0.0066,32.9884,0.1466,32.9917,6,0,rw_n-1_ppn-6_tx-16K.csv,32,0.72745615234375,4.0,1,6.0,16K
34,write,38407.822,38480.101,0.0131,131072,1024,0.0062,1.7031,0.028,1.7063,16,4,rw_n-1_ppn-16_tx-1M.csv,32,37.507638671875,13.100000000000001,1,16.0,1M
35,read,48660.603,48772.7161,0.0104,131072,1024,0.0061,1.3437,0.0145,1.3468,16,4,rw_n-1_ppn-16_tx-1M.csv,32,47.5201201171875,10.4,1,16.0,1M
36,write,1844.2814,118046.113,0.0043,131072,16,0.0068,35.5311,0.1778,35.5347,16,0,rw_n-1_ppn-16_tx-16K.csv,32,1.8010560546875,4.3,1,16.0,16K
37,read,1951.1786,124887.4186,0.0041,131072,16,0.0065,33.5847,0.1498,33.5879,16,0,rw_n-1_ppn-16_tx-16K.csv,32,1.9054478515625,4.1000000000000005,1,16.0,16K
38,write,17318.2158,8680.4427,0.0219,131072,2048,0.0068,1.4156,0.0124,1.4191,6,2,rw_n-1_ppn-6_tx-2M.csv,32,16.9123201171875,21.9,1,6.0,2M
39,read,20504.9114,10281.7339,0.0186,131072,2048,0.0067,1.1951,0.0088,1.1985,6,2,rw_n-1_ppn-6_tx-2M.csv,32,20.0243275390625,18.599999999999998,1,6.0,2M
120,write,7119.6812,455701.0355,0.0045,131072,16,0.0064,36.8163,0.439,36.8196,64,4,rw_n-2_ppn-32_tx-16K.csv,32,6.952813671875,4.5,2,32.0,16K
121,read,7264.233,464952.8125,0.0044,131072,16,0.0063,36.0837,0.4381,36.0869,64,4,rw_n-2_ppn-32_tx-16K.csv,32,7.0939775390625,4.4,2,32.0,16K
