access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,489618.8118,245532.0403,0.0300,131072.0000,2048.0000,0.0096,2.1353,0.4138,2.1416,256,0
read,586579.8291,293841.4026,0.0272,131072.0000,2048.0000,0.0065,1.7843,0.0663,1.7876,256,0
write,645314.0849,323355.1492,0.0241,131072.0000,2048.0000,0.0070,1.6214,0.1327,1.6249,256,1
read,553587.3999,277285.8923,0.0279,131072.0000,2048.0000,0.0067,1.8908,0.1355,1.8941,256,1
write,493318.0132,247046.3728,0.0314,131072.0000,2048.0000,0.0065,2.1222,0.1622,2.1256,256,2
read,483612.3360,242166.2423,0.0327,131072.0000,2048.0000,0.0064,2.1650,0.1173,2.1682,256,2
write,539571.1389,270281.4998,0.0284,131072.0000,2048.0000,0.0068,1.9398,0.1817,1.9434,256,3
read,529347.8019,265116.3559,0.0248,131072.0000,2048.0000,0.0065,1.9776,0.4102,1.9809,256,3
write,601842.9928,301524.7827,0.0261,131072.0000,2048.0000,0.0068,1.7388,0.1337,1.7423,256,4
read,568239.2884,284628.6807,0.0273,131072.0000,2048.0000,0.0065,1.8420,0.1156,1.8453,256,4
