access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,4788.8871,306560.0783,0.0050,131072.0000,16.0000,0.0129,41.0455,0.3242,41.0551,48,0
read,5606.1945,358832.7689,0.0043,131072.0000,16.0000,0.0070,35.0662,0.3193,35.0698,48,0
write,4719.6643,302084.7671,0.0051,131072.0000,16.0000,0.0069,41.6536,0.3318,41.6572,48,1
read,5571.6975,356622.7703,0.0043,131072.0000,16.0000,0.0066,35.2835,0.2902,35.2869,48,1
write,4754.0755,304286.6051,0.0050,131072.0000,16.0000,0.0067,41.3522,0.3407,41.3557,48,2
read,5507.7250,352528.7618,0.0043,131072.0000,16.0000,0.0067,35.6933,0.2994,35.6968,48,2
write,4773.3935,305523.3962,0.0050,131072.0000,16.0000,0.0068,41.1848,0.3019,41.1883,48,3
read,5509.0013,352609.7774,0.0043,131072.0000,16.0000,0.0067,35.6851,0.4155,35.6885,48,3
write,4780.2391,305962.0497,0.0050,131072.0000,16.0000,0.0067,41.1257,0.2942,41.1293,48,4
read,5574.4528,356798.2089,0.0043,131072.0000,16.0000,0.0064,35.2662,0.2615,35.2695,48,4
