access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,290809.2347,0.0044,131072.0,16.0,0.0085,36.0572,0.2618,36.0627,40,0,1,32,4.43672236328125
write,291999.7891,0.0044,131072.0,16.0,0.0062,35.9102,0.2808,35.9133,40,1,1,32,4.4551732421875
write,292122.5181,0.0044,131072.0,16.0,0.0062,35.8951,0.2593,35.8982,40,2,1,32,4.457046875
write,291273.1578,0.0044,131072.0,16.0,0.0063,35.9997,0.3026,36.0029,40,3,1,32,4.444085546875
write,292058.2654,0.0044,131072.0,16.0,0.0061,35.903,0.3258,35.9061,40,4,1,32,4.4560642578125
write,206786.3849,0.0132,131072.0,16.0,0.0416,111.558,41.5008,111.5646,88,0,1,32,3.155123046875
write,212980.8769,0.0132,131072.0,16.0,0.0472,108.3133,38.7302,108.3167,88,1,1,32,3.24973076171875
write,211387.4632,0.0133,131072.0,16.0,0.0301,109.1298,39.0134,109.133,88,2,1,32,3.225423046875
write,212457.3329,0.0133,131072.0,16.0,0.0457,108.5803,38.472,108.5833,88,3,1,32,3.2417501953125
write,212870.7476,0.0131,131072.0,16.0,0.0298,108.3694,38.1873,108.3726,88,4,1,32,3.248052734375
write,171357.043,0.0088,131072.0,16.0,0.0229,73.431,37.7274,73.4378,48,0,1,32,2.61445849609375
write,171710.4443,0.0089,131072.0,16.0,0.0202,73.2798,37.7651,73.2828,48,1,1,32,2.61998818359375
write,171790.8947,0.0089,131072.0,16.0,0.0196,73.2455,37.6339,73.2487,48,2,1,32,2.62120830078125
write,171828.4128,0.0089,131072.0,16.0,0.0221,73.2295,37.7551,73.2327,48,3,1,32,2.62178115234375
write,171650.5209,0.0089,131072.0,16.0,0.0222,73.3054,37.7331,73.3087,48,4,1,32,2.6190626953125
write,286568.4545,0.0089,131072.0,16.0,0.0269,73.1815,2.8256,73.1885,80,0,1,32,4.37227109375
write,290972.004,0.0088,131072.0,16.0,0.0229,72.074,1.3496,72.0771,80,1,1,32,4.43969052734375
write,294206.6238,0.0086,131072.0,16.0,0.0222,71.2816,1.0911,71.2847,80,2,1,32,4.48904453125
write,294769.5543,0.0086,131072.0,16.0,0.0256,71.1455,0.9767,71.1497,80,3,1,32,4.497556640625
write,294569.4247,0.0086,131072.0,16.0,0.0247,71.1938,1.0906,71.1972,80,4,1,32,4.49456044921875
write,264397.8898,0.0087,131072.0,16.0,0.0292,71.3862,36.09,71.3931,72,0,1,32,4.0340029296875
write,263480.1701,0.0087,131072.0,16.0,0.0194,71.6349,36.4408,71.6382,72,1,1,32,4.0202005859375
write,262692.4001,0.0088,131072.0,16.0,0.0227,71.8497,36.6863,71.8529,72,2,1,32,4.00818642578125
write,262897.7898,0.0088,131072.0,16.0,0.0245,71.7936,36.7443,71.7968,72,3,1,32,4.01132265625
write,264117.1867,0.0086,131072.0,16.0,0.0234,71.4621,36.4225,71.4652,72,4,1,32,4.0299314453125
write,228118.3269,0.0135,131072.0,16.0,0.0392,110.3192,39.2594,110.3262,96,0,1,32,3.48058798828125
write,232813.4442,0.0132,131072.0,16.0,0.0417,108.0944,38.5027,108.0976,96,1,1,32,3.55234599609375
write,232797.4599,0.0132,131072.0,16.0,0.0463,108.1018,37.9947,108.1048,96,2,1,32,3.55210712890625
write,233740.8886,0.0131,131072.0,16.0,0.0394,107.6655,37.4387,107.6687,96,3,1,32,3.56649736328125
write,234306.6713,0.0131,131072.0,16.0,0.0373,107.4055,37.4133,107.4086,96,4,1,32,3.57513291015625
write,232778.3009,0.0087,131072.0,16.0,0.0258,72.0738,36.586,72.0806,64,0,1,32,3.55157900390625
write,232866.4244,0.0087,131072.0,16.0,0.021,72.0465,36.6883,72.0499,64,1,1,32,3.55309306640625
write,233012.6984,0.0087,131072.0,16.0,0.0226,72.0013,36.716,72.0047,64,2,1,32,3.55532451171875
write,232892.201,0.0087,131072.0,16.0,0.0223,72.0385,36.7256,72.0418,64,3,1,32,3.55349296875
write,233400.9669,0.0087,131072.0,16.0,0.0221,71.8815,36.619,71.8847,64,4,1,32,3.56126015625
write,201077.2599,0.0086,131072.0,16.0,0.0265,73.0071,37.2895,73.0131,56,0,1,32,3.06794228515625
write,202649.806,0.0087,131072.0,16.0,0.0226,72.4406,37.0526,72.4438,56,1,1,32,3.09205146484375
write,202721.2053,0.0087,131072.0,16.0,0.0221,72.415,36.9645,72.4182,56,2,1,32,3.09314658203125
write,202736.8192,0.0088,131072.0,16.0,0.0222,72.4095,36.9831,72.4127,56,3,1,32,3.0933818359375
write,203071.6869,0.0087,131072.0,16.0,0.0225,72.2901,36.8981,72.2933,56,4,1,32,3.09848984375
write,232388.9161,0.0044,131072.0,16.0,0.0063,36.0973,0.222,36.1008,32,0,1,32,3.54562939453125
write,232756.7244,0.0044,131072.0,16.0,0.0059,36.0402,0.1931,36.0432,32,1,1,32,3.55129140625
