access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,291085.5196,0.0043,131072.0,16.0,0.0104,36.023,0.563,36.0304,40,0,1,32,4.44069931640625
write,292839.0354,0.0043,131072.0,16.0,0.006,35.8072,0.4866,35.8103,40,1,1,32,4.46799150390625
write,293789.4182,0.0043,131072.0,16.0,0.0059,35.6914,0.4799,35.6944,40,2,1,32,4.4824978515625
write,294269.1181,0.0043,131072.0,16.0,0.0063,35.6332,0.4143,35.6365,40,3,1,32,4.489782421875
write,293918.3432,0.0043,131072.0,16.0,0.0061,35.6758,0.4282,35.6789,40,4,1,32,4.48444267578125
write,581931.7949,0.0044,131072.0,16.0,0.0121,39.6415,3.4553,39.649,88,0,1,32,8.87791455078125
write,593082.7242,0.0044,131072.0,16.0,0.093,38.8962,3.1851,38.9004,88,1,1,32,9.04875849609375
write,596799.166,0.0044,131072.0,16.0,0.0091,38.654,3.1021,38.6585,88,2,1,32,9.10537734375
write,591798.7615,0.0043,131072.0,16.0,0.0094,38.9806,3.4895,38.9853,88,3,1,32,9.0290470703125
write,591621.4304,0.0044,131072.0,16.0,0.0086,38.9923,3.5483,38.9966,88,4,1,32,9.02641796875
write,353626.4177,0.0043,131072.0,16.0,0.0071,35.5825,0.236,35.5868,48,0,1,32,5.39526494140625
write,354449.3442,0.0043,131072.0,16.0,0.0066,35.4999,0.2662,35.5033,48,1,1,32,5.40794345703125
write,354205.3805,0.0043,131072.0,16.0,0.0063,35.5243,0.256,35.5275,48,2,1,32,5.40425712890625
write,354910.0682,0.0043,131072.0,16.0,0.0063,35.4538,0.298,35.457,48,3,1,32,5.415008984375
write,354484.3623,0.0043,131072.0,16.0,0.0063,35.4964,0.298,35.4996,48,4,1,32,5.40851640625
write,514251.0293,0.0045,131072.0,16.0,0.0112,40.7807,4.9284,40.7877,80,0,1,32,7.84549296875
write,521823.4927,0.0045,131072.0,16.0,0.009,40.1889,4.6172,40.1935,80,1,1,32,7.96149248046875
write,519244.5651,0.0044,131072.0,16.0,0.0086,40.3885,5.0067,40.3928,80,2,1,32,7.922200390625
write,520549.1697,0.0045,131072.0,16.0,0.0081,40.2873,4.8552,40.2913,80,3,1,32,7.9421515625
write,514787.8728,0.0044,131072.0,16.0,0.0083,40.7382,5.3484,40.7424,80,4,1,32,7.85423154296875
write,513940.8567,0.0045,131072.0,16.0,0.0089,36.7248,0.6579,36.7295,72,0,1,32,7.8411078125
write,517118.001,0.0044,131072.0,16.0,0.008,36.4992,0.8614,36.5031,72,1,1,32,7.8897318359375
write,521194.6682,0.0044,131072.0,16.0,0.0078,36.2137,0.6458,36.2176,72,2,1,32,7.95194443359375
write,525029.9687,0.0044,131072.0,16.0,0.008,35.9491,0.4036,35.9531,72,3,1,32,8.010425390625
write,526533.7696,0.0044,131072.0,16.0,0.0081,35.8465,0.4714,35.8506,72,4,1,32,8.033346875
write,629044.5912,0.0044,131072.0,16.0,0.0106,40.0064,3.9506,40.0124,96,0,1,32,9.59703642578125
write,633299.1388,0.0044,131072.0,16.0,0.0091,39.7377,4.0088,39.7422,96,1,1,32,9.66226923828125
write,638625.1116,0.0044,131072.0,16.0,0.0087,39.4063,3.6726,39.4106,96,2,1,32,9.74357451171875
write,634906.6805,0.0044,131072.0,16.0,0.0089,39.637,3.9239,39.6414,96,3,1,32,9.68683466796875
write,629219.3899,0.0044,131072.0,16.0,0.0092,39.9953,4.3265,39.9999,96,4,1,32,9.60001748046875
write,463902.8654,0.0044,131072.0,16.0,0.0117,36.1654,0.5846,36.1734,64,0,1,32,7.0770146484375
write,465466.1151,0.0043,131072.0,16.0,0.0073,36.0439,0.67,36.0476,64,1,1,32,7.101725390625
write,467133.7072,0.0043,131072.0,16.0,0.0073,35.9152,0.6376,35.9189,64,2,1,32,7.1271646484375
write,464875.838,0.0043,131072.0,16.0,0.0071,36.0897,0.8878,36.0933,64,3,1,32,7.09273876953125
write,464664.231,0.0043,131072.0,16.0,0.0067,36.1061,0.8984,36.1096,64,4,1,32,7.08953388671875
write,404954.0882,0.0044,131072.0,16.0,0.0081,36.2512,0.6887,36.2559,56,0,1,32,6.1782998046875
write,406596.4844,0.0044,131072.0,16.0,0.0069,36.1047,0.811,36.1082,56,1,1,32,6.20357080078125
write,407394.2071,0.0044,131072.0,16.0,0.0067,36.0341,0.9354,36.0375,56,2,1,32,6.21574638671875
write,406803.5553,0.0044,131072.0,16.0,0.0069,36.0864,0.7973,36.0898,56,3,1,32,6.20674306640625
write,406443.0346,0.0044,131072.0,16.0,0.0066,36.1184,0.9749,36.1218,56,4,1,32,6.2012494140625
write,234628.552,0.0043,131072.0,16.0,0.0064,35.7527,0.2757,35.7562,32,0,1,32,3.5798009765625
write,234901.4653,0.0044,131072.0,16.0,0.0063,35.7112,0.2556,35.7145,32,1,1,32,3.583983203125
write,235697.7613,0.0043,131072.0,16.0,0.006,35.5905,0.1896,35.5936,32,2,1,32,3.59615322265625
write,235183.8599,0.0043,131072.0,16.0,0.0058,35.6683,0.2859,35.6712,32,3,1,32,3.5883244140625
write,235709.3306,0.0043,131072.0,16.0,0.0057,35.5888,0.2706,35.5917,32,4,1,32,3.59634072265625
write,56018.4185,0.0046,131072.0,16.0,0.0099,37.4368,0.1047,37.4439,8,0,1,32,0.854612890625
write,57363.0696,0.0045,131072.0,16.0,0.0059,36.5593,0.0636,36.5623,8,1,1,32,0.87521923828125
write,57142.899,0.0045,131072.0,16.0,0.0061,36.7001,0.0975,36.7032,8,2,1,32,0.87185830078125
write,57289.2922,0.0045,131072.0,16.0,0.0061,36.6064,0.0773,36.6094,8,3,1,32,0.87409169921875
write,57449.1253,0.0045,131072.0,16.0,0.0061,36.5045,0.0928,36.5076,8,4,1,32,0.87652880859375
write,176270.3269,0.0043,131072.0,16.0,0.0066,35.6921,0.1667,35.6956,24,0,1,32,2.68940615234375
write,175732.6514,0.0043,131072.0,16.0,0.0063,35.8013,0.28,35.8046,24,1,1,32,2.68122275390625
write,176003.4075,0.0043,131072.0,16.0,0.0061,35.7462,0.2755,35.7493,24,2,1,32,2.685366796875
write,176203.8971,0.0043,131072.0,16.0,0.0061,35.7055,0.1599,35.7087,24,3,1,32,2.68842412109375
write,176033.8861,0.0043,131072.0,16.0,0.0062,35.74,0.2668,35.7432,24,4,1,32,2.68582421875
write,116698.1401,0.0044,131072.0,16.0,0.0066,35.9415,0.1257,35.945,16,0,1,32,1.78049580078125
write,116637.3871,0.0044,131072.0,16.0,0.0065,35.9602,0.1805,35.9635,16,1,1,32,1.77958056640625
write,116555.5105,0.0044,131072.0,16.0,0.0063,35.9855,0.1615,35.9887,16,2,1,32,1.77833779296875
write,116857.1105,0.0044,131072.0,16.0,0.006,35.8926,0.1305,35.8956,16,3,1,32,1.7829462890625
write,116752.4017,0.0044,131072.0,16.0,0.0058,35.9248,0.1078,35.9278,16,4,1,32,1.7813517578125
write,19528.9172,0.0128,131072.0,1024.0,0.0063,1.6779,0.0547,1.6813,8,0,1,32,19.0327328125
write,19924.9061,0.0125,131072.0,1024.0,0.0062,1.6446,0.046,1.6477,8,1,1,32,19.4205859375
write,19939.8425,0.0127,131072.0,1024.0,0.0058,1.6433,0.0204,1.6463,8,2,1,32,19.43699365234375
