access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,4172788.1765,0.0086,131072.0,16.0,0.0646,72.3712,36.6097,72.4016,1152,0,16,32,63.6449986328125
write,4226842.1729,0.0086,131072.0,16.0,0.0733,71.4457,35.4467,71.4559,1152,1,16,32,64.48732548828124
write,4288109.3193,0.0085,131072.0,16.0,0.0622,70.425,35.5813,70.4494,1152,2,16,32,65.40868779296875
write,2962433.2114,0.0121,131072.0,16.0,0.0672,101.9398,51.5963,101.9518,1152,3,16,32,45.19784697265625
write,3596239.4826,0.01,131072.0,16.0,0.0792,83.9738,42.2235,84.0014,1152,4,16,32,54.856200390625
write,4600839.9777,0.0085,131072.0,16.0,0.0485,72.9311,3.5543,72.9373,1280,0,16,32,70.19724326171875
write,4691657.0666,0.0086,131072.0,16.0,0.0563,71.5194,3.5682,71.5326,1280,1,16,32,71.5757240234375
write,4153831.7602,0.0094,131072.0,16.0,0.0668,80.7795,7.6109,80.7953,1280,2,16,32,63.3700548828125
write,3892716.8329,0.0101,131072.0,16.0,0.0909,86.198,6.8108,86.2137,1280,3,16,32,59.38732705078125
write,4658269.4369,0.0085,131072.0,16.0,0.0665,72.032,2.4283,72.0576,1280,4,16,32,71.05430224609376
write,2720004.7922,0.0086,131072.0,16.0,0.0588,74.017,37.9078,74.031,768,0,16,32,41.49613623046875
write,2766606.3984,0.0086,131072.0,16.0,0.0564,72.7702,36.9597,72.7917,768,1,16,32,42.20259296875
write,2008726.6609,0.0116,131072.0,16.0,0.0916,100.226,38.4781,100.2498,768,2,16,32,30.64344013671875
write,2508890.3283,0.0091,131072.0,16.0,0.115,80.2453,37.6746,80.2531,768,3,16,32,38.27888134765625
write,2784349.0745,0.0085,131072.0,16.0,0.0509,72.3065,37.0769,72.3178,768,4,16,32,42.47919306640625
write,3408572.9006,0.0128,131072.0,16.0,0.1156,108.2854,39.1316,108.3339,1408,0,16,32,51.98742900390625
write,3508613.3705,0.0128,131072.0,16.0,0.0957,105.1979,38.2114,105.2058,1408,1,16,32,53.53317021484375
write,2754509.8193,0.016,131072.0,16.0,0.0991,133.998,39.8396,134.0253,1408,2,16,32,42.0219318359375
write,1973592.747,0.022,131072.0,16.0,0.1331,187.0187,82.8291,187.0447,1408,3,16,32,30.11045400390625
write,1049355.7669,0.0403,131072.0,16.0,0.1149,351.7384,81.2264,351.7462,1408,4,16,32,16.01154248046875
write,4350199.8323,0.0046,131072.0,16.0,0.0089,38.5665,0.6994,38.5723,640,0,16,32,66.36888125
write,4561938.7808,0.0044,131072.0,16.0,0.0062,36.7765,0.523,36.7797,640,1,16,32,69.6036583984375
write,4563242.1219,0.0045,131072.0,16.0,0.0064,36.766,0.4258,36.7692,640,2,16,32,69.62342451171875
write,4701184.4055,0.0043,131072.0,16.0,0.0063,35.6872,0.4439,35.6905,640,3,16,32,71.72779892578124
