access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,35710.8972,2285888.1605,0.0053,131072.0000,16.0000,0.0111,44.0368,0.6579,44.0444,384,0
read,39669.1495,2539039.3746,0.0048,131072.0000,16.0000,0.0069,39.6462,0.9337,39.6496,384,0
write,39217.4326,2510132.9808,0.0049,131072.0000,16.0000,0.0068,40.1028,0.5070,40.1062,384,1
read,39332.7862,2517505.5685,0.0048,131072.0000,16.0000,0.0069,39.9853,1.0631,39.9886,384,1
write,39181.0596,2507805.0906,0.0049,131072.0000,16.0000,0.0067,40.1400,0.5017,40.1435,384,2
read,39476.5772,2526716.4855,0.0048,131072.0000,16.0000,0.0066,39.8396,1.0331,39.8430,384,2
write,39137.5799,2505019.8449,0.0049,131072.0000,16.0000,0.0066,40.1846,0.7121,40.1881,384,3
read,39161.0397,2506513.1208,0.0048,131072.0000,16.0000,0.0064,40.1607,1.1246,40.1640,384,3
write,39195.2521,2508711.7528,0.0049,131072.0000,16.0000,0.0066,40.1255,0.4780,40.1289,384,4
read,39562.4183,2532207.7029,0.0048,131072.0000,16.0000,0.0065,39.7532,0.8043,39.7565,384,4
