access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,532511.1933,533232.4511,0.0200,131072.0000,1024.0000,0.0074,2.9497,0.5339,2.9537,384,0
read,513204.4919,513751.1487,0.0173,131072.0000,1024.0000,0.0065,3.0615,0.8855,3.0648,384,0
write,486165.6686,486685.9755,0.0244,131072.0000,1024.0000,0.0068,3.2318,0.2175,3.2352,384,1
read,448965.3705,449387.3878,0.0161,131072.0000,1024.0000,0.0065,3.5000,1.4881,3.5033,384,1
write,559286.8542,560015.6744,0.0208,131072.0000,1024.0000,0.0071,2.8086,0.2463,2.8123,384,2
read,764183.9080,765485.9603,0.0158,131072.0000,1024.0000,0.0073,2.0547,0.0767,2.0582,384,2
write,536957.3023,537570.1294,0.0222,131072.0000,1024.0000,0.0069,2.9259,0.2061,2.9292,384,3
read,777153.9839,778400.0652,0.0155,131072.0000,1024.0000,0.0065,2.0206,0.0860,2.0239,384,3
write,509389.5372,509983.9505,0.0220,131072.0000,1024.0000,0.0072,3.0841,0.5414,3.0877,384,4
read,771485.5959,772762.6102,0.0157,131072.0000,1024.0000,0.0066,2.0354,0.0703,2.0387,384,4
